budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.15872863052495811,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
4.0,add,0.35121026564221614,2.0,2.0,0.2848217821726909,3.0,0.0,1.0,0.0,0.0
5.0,delete,-0.060574287960367845,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
6.0,swap,0.3512881771660213,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
7.0,delete,-0.13563389586980043,3.0,1.0,0.2316864842551401,3.0,0.0,0.0,0.0,0.0
8.0,swap,0.35128817716602123,4.0,3.0,0.3512881771660213,2.0,0.0,0.0,1.0,0.0
9.0,add,0.2194308686273087,4.0,3.0,0.3512881771660213,2.0,1.0,0.0,1.0,0.0
10.0,delete,0.3512881771660213,4.0,3.0,0.3512881771660213,2.0,0.0,0.0,0.0,0.0
11.0,swap,-0.07605681780939849,4.0,3.0,0.3512881771660213,1.0,1.0,0.0,1.0,0.0
12.0,add,0.3504490551094263,5.0,3.0,0.35121026564221614,3.0,0.0,1.0,0.0,0.0
13.0,add,0.5529022526437067,5.0,3.0,0.35121026564221614,3.0,0.0,2.0,0.0,0.0
14.0,delete,-0.11692229789509113,5.0,3.0,0.35121026564221614,2.0,0.0,1.0,0.0,0.0
15.0,swap,-0.13889763511997305,5.0,3.0,0.35121026564221614,2.0,0.0,1.0,0.0,1.0
16.0,delete,0.28482178217269094,6.0,1.0,0.17573798623375242,3.0,0.0,0.0,0.0,0.0
17.0,add,0.28482178217269094,7.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
18.0,delete,-0.015824144146880895,7.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
19.0,swap,-0.015824144146880895,7.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
20.0,add,0.04207897977473335,8.0,2.0,0.04207897977473339,4.0,1.0,0.0,0.0,0.0
21.0,add,0.04207897977473342,8.0,2.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
22.0,delete,0.04207897977473338,8.0,2.0,0.04207897977473339,4.0,0.0,0.0,0.0,0.0
23.0,swap,-0.13563389586980046,8.0,2.0,0.04207897977473339,3.0,1.0,0.0,1.0,0.0
24.0,swap,-0.07159883691234585,9.0,2.0,0.2394477164631948,2.0,0.0,1.0,0.0,0.0
25.0,add,-0.1955141282768613,10.0,2.0,0.19974832807605697,3.0,0.0,1.0,0.0,0.0
26.0,swap,0.35128817716602123,11.0,4.0,0.35128817716602123,2.0,0.0,0.0,1.0,0.0
27.0,add,0.11713858768416592,11.0,4.0,0.35128817716602123,2.0,0.0,0.0,1.0,1.0
28.0,delete,-0.11704094364207568,11.0,4.0,0.35128817716602123,1.0,0.0,0.0,1.0,0.0
29.0,swap,-0.04493242237246088,11.0,4.0,0.35128817716602123,1.0,0.0,1.0,1.0,0.0
30.0,add,0.3509165733261983,12.0,4.0,0.3504490551094263,3.0,0.0,1.0,0.0,0.0
31.0,add,0.2926860796636729,12.0,4.0,0.3504490551094263,3.0,1.0,1.0,0.0,0.0
32.0,delete,-0.11632806586001107,12.0,4.0,0.3504490551094263,2.0,0.0,1.0,0.0,0.0
33.0,swap,-0.11632806586001113,12.0,4.0,0.3504490551094263,2.0,1.0,1.0,0.0,0.0
34.0,add,0.5530594747063103,13.0,4.0,0.5529022526437067,3.0,0.0,2.0,0.0,0.0
35.0,add,0.5529022526437067,13.0,4.0,0.5529022526437067,3.0,0.0,2.0,0.0,1.0
36.0,delete,0.4143531990967899,13.0,4.0,0.5529022526437067,3.0,0.0,1.0,0.0,0.0
37.0,swap,0.7736655170279713,13.0,4.0,0.5529022526437067,2.0,1.0,2.0,0.0,0.0
38.0,add,0.26469672212518536,14.0,2.0,0.2505824626320036,3.0,0.0,1.0,0.0,0.0
39.0,add,0.7876629038830235,15.0,3.0,0.569376539223697,3.0,0.0,2.0,0.0,0.0
40.0,add,0.2652270667926192,16.0,3.0,0.26469672212518536,3.0,0.0,1.0,0.0,0.0
41.0,add,0.26469672212518536,16.0,3.0,0.26469672212518536,3.0,0.0,1.0,0.0,1.0
42.0,delete,0.2848217821726909,16.0,3.0,0.26469672212518536,3.0,0.0,0.0,0.0,0.0
43.0,swap,-0.05998747991498151,16.0,3.0,0.26469672212518536,2.0,0.0,1.0,0.0,1.0
44.0,add,0.8131868528734122,17.0,4.0,0.7876629038830235,3.0,0.0,2.0,0.0,0.0
45.0,add,0.7876629038830235,17.0,4.0,0.7876629038830235,3.0,0.0,2.0,1.0,0.0
46.0,delete,0.6155723016183278,17.0,4.0,0.7876629038830235,2.0,0.0,2.0,0.0,0.0
47.0,swap,-0.15821392878224094,17.0,4.0,0.7876629038830235,3.0,1.0,1.0,0.0,0.0
48.0,delete,-0.13563389586980037,18.0,1.0,0.2300532278599443,3.0,0.0,0.0,0.0,0.0
49.0,swap,0.7722039570809591,19.0,5.0,0.7736655170279713,2.0,1.0,2.0,0.0,0.0
50.0,add,0.5941629986096787,19.0,5.0,0.7736655170279713,2.0,1.0,3.0,0.0,0.0
51.0,delete,0.5470455701621886,19.0,5.0,0.7736655170279713,1.0,1.0,2.0,0.0,0.0
52.0,swap,-0.11692229789509113,19.0,5.0,0.7736655170279713,2.0,1.0,1.0,0.0,1.0
53.0,add,0.1173351449549555,20.0,3.0,0.5349459969679833,3.0,0.0,1.0,0.0,1.0
54.0,add,0.5496654940598369,21.0,5.0,0.5530594747063103,3.0,0.0,2.0,0.0,0.0
55.0,add,0.5530594747063101,21.0,5.0,0.5530594747063103,3.0,0.0,2.0,1.0,0.0
56.0,delete,0.7739123679860274,21.0,5.0,0.5530594747063103,2.0,0.0,2.0,0.0,0.0
57.0,swap,0.15823593322600696,21.0,5.0,0.5530594747063103,2.0,0.0,2.0,1.0,0.0
58.0,add,-0.1356338958698004,22.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
59.0,delete,-0.015824144146880895,22.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
60.0,swap,-0.17032314923218828,22.0,2.0,-0.13563389586980037,2.0,1.0,0.0,0.0,0.0
61.0,add,-0.13004570656920744,23.0,1.0,0.006536404645826615,4.0,0.0,1.0,0.0,0.0
62.0,change,0.5708811955690484,24.0,4.0,0.5175865489368983,3.0,0.0,2.0,0.0,0.0
63.0,change,0.5640427237321428,25.0,5.0,0.5708811955690484,3.0,0.0,2.0,0.0,0.0
64.0,add,0.5708811955690483,25.0,5.0,0.5708811955690484,3.0,0.0,2.0,1.0,0.0
65.0,delete,0.43292572663715506,25.0,5.0,0.5708811955690484,2.0,0.0,2.0,0.0,0.0
66.0,swap,0.7646020647736113,25.0,5.0,0.5708811955690484,2.0,0.0,2.0,0.0,1.0
67.0,add,0.32320313738127737,26.0,4.0,0.2652270667926192,3.0,0.0,1.0,0.0,0.0
68.0,add,0.5493928279666529,26.0,4.0,0.2652270667926192,3.0,0.0,2.0,0.0,0.0
69.0,delete,-0.04509704486216161,26.0,4.0,0.2652270667926192,2.0,0.0,1.0,0.0,0.0
70.0,swap,-0.06994708842945004,26.0,4.0,0.2652270667926192,2.0,0.0,2.0,0.0,0.0
71.0,add,0.2848217821726909,27.0,2.0,0.35673961202029747,3.0,0.0,0.0,0.0,1.0
72.0,swap,0.7607233051939931,28.0,6.0,0.7646020647736113,2.0,0.0,2.0,0.0,1.0
73.0,add,0.7646020647736113,28.0,6.0,0.7646020647736113,2.0,0.0,2.0,1.0,1.0
74.0,delete,0.5503118806261131,28.0,6.0,0.7646020647736113,2.0,0.0,1.0,0.0,1.0
75.0,swap,-0.05401517838511055,28.0,6.0,0.7646020647736113,2.0,0.0,2.0,0.0,1.0
76.0,add,0.2848217821726909,29.0,3.0,0.2848217821726909,3.0,0.0,0.0,0.0,2.0
77.0,delete,0.2848217821726909,29.0,3.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
78.0,swap,0.03626807058251898,29.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
79.0,add,0.8114897368042698,30.0,5.0,0.8131868528734122,3.0,0.0,2.0,0.0,0.0
80.0,add,0.8131868528734122,30.0,5.0,0.8131868528734122,3.0,0.0,2.0,0.0,1.0
81.0,delete,0.6347265942568896,30.0,5.0,0.8131868528734122,2.0,0.0,2.0,0.0,0.0
82.0,swap,0.5133894429799029,30.0,5.0,0.8131868528734122,2.0,0.0,2.0,0.0,1.0
83.0,change,0.8192298264589414,31.0,4.0,0.7171958959575774,3.0,0.0,2.0,0.0,0.0
84.0,change,0.8192742196767054,32.0,5.0,0.8192298264589414,3.0,0.0,2.0,0.0,0.0
85.0,add,0.8192298264589414,32.0,5.0,0.8192298264589414,3.0,0.0,2.0,1.0,0.0
86.0,delete,0.5216343569128472,32.0,5.0,0.8192298264589414,2.0,0.0,2.0,0.0,0.0
