budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.55638399638462,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
2.0,delete,74.62234247519794,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.53690774433754,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
4.0,add,74.62234247519793,2.0,2.0,74.62234247519794,7.0,1.0,0.0,0.0,0.0
5.0,delete,74.7008621979592,2.0,2.0,74.62234247519794,6.0,0.0,0.0,0.0,0.0
6.0,swap,74.48702777169837,2.0,2.0,74.62234247519794,6.0,1.0,0.0,0.0,0.0
7.0,delete,74.53988496986284,3.0,1.0,74.60814373001335,7.0,0.0,0.0,0.0,0.0
8.0,add,74.7008621979592,4.0,3.0,74.7008621979592,6.0,0.0,0.0,0.0,1.0
9.0,delete,74.60294294120673,4.0,3.0,74.7008621979592,5.0,0.0,0.0,0.0,0.0
10.0,swap,74.67804878238846,4.0,3.0,74.7008621979592,5.0,0.0,0.0,1.0,0.0
11.0,delete,74.69520564932549,5.0,2.0,74.67067902987839,6.0,0.0,0.0,0.0,0.0
12.0,add,74.69520564932549,6.0,3.0,74.69520564932549,6.0,0.0,0.0,0.0,1.0
13.0,delete,74.67400169321328,6.0,3.0,74.69520564932549,5.0,0.0,0.0,0.0,0.0
14.0,swap,74.67400169321328,6.0,3.0,74.69520564932549,5.0,1.0,0.0,0.0,0.0
15.0,delete,74.63416553902063,7.0,1.0,74.6410607080457,7.0,0.0,0.0,0.0,0.0
16.0,add,74.68946494527412,8.0,4.0,74.69520564932549,6.0,0.0,0.0,0.0,2.0
17.0,delete,74.69520564932549,8.0,4.0,74.69520564932549,6.0,0.0,0.0,0.0,0.0
18.0,swap,74.69513621108742,8.0,4.0,74.69520564932549,6.0,0.0,0.0,1.0,0.0
19.0,add,74.55590226529668,9.0,2.0,74.55638399638462,8.0,0.0,0.0,1.0,0.0
20.0,add,74.54670540585157,9.0,2.0,74.55638399638462,8.0,0.0,0.0,1.0,1.0
21.0,delete,74.63453696819833,9.0,2.0,74.55638399638462,7.0,0.0,0.0,1.0,0.0
22.0,swap,74.63453696819833,9.0,2.0,74.55638399638462,7.0,0.0,0.0,1.0,1.0
23.0,add,74.63416553902063,10.0,2.0,74.63416553902063,7.0,1.0,0.0,0.0,0.0
24.0,delete,74.71381164012078,10.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,0.0
25.0,swap,74.4182121687506,10.0,2.0,74.63416553902063,6.0,1.0,0.0,0.0,0.0
26.0,add,74.62234247519794,11.0,3.0,74.62234247519793,7.0,1.0,0.0,0.0,0.0
27.0,add,74.65532653669229,11.0,3.0,74.62234247519793,7.0,1.0,0.0,1.0,0.0
28.0,delete,74.52605412102973,11.0,3.0,74.62234247519793,6.0,1.0,0.0,0.0,0.0
29.0,swap,74.70222119967289,11.0,3.0,74.62234247519793,6.0,1.0,0.0,0.0,1.0
30.0,add,74.45314362763433,12.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
31.0,delete,74.67560497072984,12.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
32.0,swap,74.4374273315449,12.0,2.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
33.0,delete,74.69064450339273,13.0,2.0,74.68190341911621,6.0,0.0,0.0,0.0,0.0
34.0,add,74.69520564932549,14.0,3.0,74.69375311375313,6.0,0.0,0.0,0.0,1.0
35.0,add,74.67075385189634,15.0,3.0,74.69064450339273,6.0,0.0,0.0,1.0,0.0
36.0,delete,74.60901220726088,15.0,3.0,74.69064450339273,5.0,0.0,0.0,0.0,0.0
37.0,swap,74.62376864251199,15.0,3.0,74.69064450339273,5.0,0.0,0.0,1.0,0.0
38.0,add,74.69520564932549,16.0,5.0,74.69520564932549,6.0,0.0,0.0,0.0,1.0
39.0,delete,74.67400169321328,16.0,5.0,74.69520564932549,5.0,0.0,0.0,0.0,0.0
40.0,swap,74.65637330402247,16.0,5.0,74.69520564932549,5.0,0.0,0.0,0.0,1.0
41.0,add,74.67741775333123,17.0,4.0,74.67400169321328,5.0,0.0,0.0,1.0,0.0
42.0,delete,74.53660261212278,17.0,4.0,74.67400169321328,4.0,0.0,0.0,0.0,0.0
43.0,swap,74.71754940845504,17.0,4.0,74.67400169321328,4.0,0.0,0.0,0.0,1.0
44.0,add,74.7562917581403,18.0,4.0,74.7008621979592,6.0,0.0,1.0,0.0,1.0
