budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.2293701002883815,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.229370100288381,1.0,1.0,5.808421654950915,9.0,1.0,0.0,0.0,0.0
4.0,add,6.2293701002883815,2.0,2.0,6.2293701002883815,9.0,0.0,0.0,0.0,1.0
5.0,delete,6.559110272822539,2.0,2.0,6.2293701002883815,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.550515304987327,2.0,2.0,6.2293701002883815,8.0,1.0,0.0,0.0,0.0
7.0,delete,6.384026489467956,3.0,1.0,6.392091444596657,9.0,0.0,0.0,0.0,0.0
8.0,swap,6.551848151187993,4.0,3.0,6.550515304987327,8.0,1.0,0.0,0.0,0.0
9.0,add,6.550515304987327,4.0,3.0,6.550515304987327,8.0,1.0,0.0,0.0,1.0
10.0,delete,6.998499116999053,4.0,3.0,6.550515304987327,7.0,1.0,0.0,0.0,0.0
11.0,swap,7.109189094376843,4.0,3.0,6.550515304987327,7.0,1.0,1.0,0.0,0.0
12.0,swap,6.22937010028838,5.0,2.0,6.229370100288381,9.0,1.0,0.0,0.0,0.0
13.0,add,6.229370100288381,5.0,2.0,6.229370100288381,9.0,1.0,0.0,0.0,1.0
14.0,delete,6.229370100288379,5.0,2.0,6.229370100288381,9.0,0.0,0.0,0.0,0.0
15.0,swap,6.081688681796843,5.0,2.0,6.229370100288381,8.0,2.0,0.0,0.0,0.0
16.0,add,6.384026489467958,6.0,2.0,6.384026489467956,9.0,1.0,0.0,0.0,0.0
17.0,delete,6.73766673041529,6.0,2.0,6.384026489467956,8.0,0.0,0.0,0.0,0.0
18.0,swap,5.911754971395623,6.0,2.0,6.384026489467956,8.0,0.0,1.0,0.0,0.0
19.0,delete,6.229370100288219,7.0,1.0,6.516324343890389,9.0,0.0,0.0,0.0,0.0
20.0,swap,6.5846937037087265,8.0,2.0,6.752113394507708,8.0,0.0,0.0,0.0,1.0
21.0,swap,7.117704634411629,9.0,4.0,7.109189094376843,7.0,1.0,1.0,0.0,0.0
22.0,add,6.773948919772762,9.0,4.0,7.109189094376843,7.0,1.0,1.0,0.0,1.0
23.0,delete,7.4093284715866785,9.0,4.0,7.109189094376843,6.0,1.0,1.0,0.0,0.0
24.0,swap,7.409328471586677,9.0,4.0,7.109189094376843,6.0,1.0,1.0,1.0,0.0
25.0,add,6.479243151650851,10.0,2.0,6.229370100288219,9.0,0.0,1.0,0.0,0.0
26.0,delete,6.576788776352446,10.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,0.0
27.0,swap,6.565356507691614,10.0,2.0,6.229370100288219,8.0,1.0,0.0,0.0,0.0
28.0,add,6.5846937037087265,11.0,3.0,6.5846937037087265,8.0,0.0,0.0,0.0,2.0
29.0,delete,7.035684139845951,11.0,3.0,6.5846937037087265,7.0,0.0,0.0,0.0,1.0
30.0,swap,6.597601947756433,11.0,3.0,6.5846937037087265,8.0,0.0,0.0,0.0,1.0
31.0,swap,6.735765907196557,12.0,2.0,6.867196228070471,8.0,0.0,0.0,1.0,0.0
32.0,swap,7.029486650707532,13.0,3.0,7.163899918346918,7.0,1.0,0.0,0.0,1.0
33.0,delete,7.408391042528352,14.0,5.0,7.4093284715866785,6.0,1.0,1.0,0.0,0.0
34.0,add,7.409328471586678,14.0,5.0,7.4093284715866785,6.0,1.0,1.0,0.0,1.0
35.0,delete,7.469576234512695,14.0,5.0,7.4093284715866785,5.0,1.0,1.0,0.0,0.0
36.0,swap,7.459530046073699,14.0,5.0,7.4093284715866785,5.0,1.0,1.0,1.0,0.0
37.0,swap,6.56535650769162,15.0,3.0,6.565356507691614,8.0,1.0,0.0,0.0,0.0
38.0,add,6.562231208340833,15.0,3.0,6.565356507691614,8.0,1.0,0.0,0.0,1.0
39.0,delete,7.001754090136826,15.0,3.0,6.565356507691614,7.0,1.0,0.0,0.0,0.0
40.0,swap,6.395851178596713,15.0,3.0,6.565356507691614,7.0,2.0,0.0,0.0,0.0
41.0,swap,6.736848158276987,16.0,3.0,6.735765907196557,8.0,0.0,0.0,1.0,0.0
42.0,add,6.327226689928155,16.0,3.0,6.735765907196557,8.0,0.0,0.0,1.0,1.0
43.0,delete,7.035684139845951,16.0,3.0,6.735765907196557,7.0,0.0,0.0,1.0,0.0
44.0,swap,6.587569043504,16.0,3.0,6.735765907196557,7.0,0.0,0.0,2.0,0.0
45.0,swap,7.0295422907208405,17.0,4.0,7.029486650707532,7.0,1.0,0.0,0.0,1.0
46.0,add,6.664122344933843,17.0,4.0,7.029486650707532,7.0,1.0,0.0,0.0,2.0
47.0,delete,6.998499116999053,17.0,4.0,7.029486650707532,7.0,1.0,0.0,0.0,0.0
48.0,swap,7.004766049329311,17.0,4.0,7.029486650707532,7.0,1.0,0.0,1.0,0.0
49.0,delete,5.501962747600276,18.0,1.0,6.761456281570355,9.0,0.0,0.0,0.0,0.0
50.0,swap,6.311937283600752,19.0,3.0,7.163767274223328,7.0,1.0,0.0,1.0,0.0
51.0,delete,7.031944155611075,20.0,4.0,7.4312308532576195,6.0,1.0,1.0,0.0,0.0
52.0,delete,7.433969527643984,21.0,6.0,7.469576234512695,5.0,1.0,1.0,0.0,0.0
53.0,add,7.469576234512695,21.0,6.0,7.469576234512695,5.0,1.0,1.0,0.0,1.0
54.0,delete,7.540913492728077,21.0,6.0,7.469576234512695,4.0,1.0,1.0,0.0,0.0
55.0,swap,7.377644663033612,21.0,6.0,7.469576234512695,5.0,1.0,0.0,1.0,0.0
56.0,delete,7.449201308556101,22.0,5.0,7.458336030486213,5.0,1.0,1.0,0.0,0.0
57.0,delete,7.265915746354855,23.0,4.0,7.40540033167033,6.0,1.0,1.0,0.0,0.0
