budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.08819791235654581,1.0,1.0,0.9346645654712499,4.0,0.0,1.0,0.0,0.0
2.0,delete,0.41493656343447627,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2677858814627587,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,1.0,0.0
4.0,add,0.41254423370054644,2.0,2.0,0.41493656343447627,3.0,0.0,0.0,1.0,0.0
5.0,delete,0.11888131581666003,2.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
6.0,swap,0.11888131581666003,2.0,2.0,0.41493656343447627,2.0,1.0,0.0,0.0,0.0
7.0,delete,0.2677858814627586,3.0,1.0,0.2663108571920857,3.0,0.0,0.0,0.0,0.0
8.0,add,0.41254423370054644,4.0,3.0,0.41254423370054644,3.0,0.0,0.0,1.0,0.0
9.0,add,0.07365110220676059,4.0,3.0,0.41254423370054644,3.0,0.0,1.0,1.0,0.0
10.0,delete,0.19438179577316267,4.0,3.0,0.41254423370054644,2.0,0.0,0.0,1.0,0.0
11.0,swap,0.04534973390260788,4.0,3.0,0.41254423370054644,2.0,1.0,0.0,1.0,0.0
12.0,add,0.4123534442381372,5.0,2.0,0.2276942198567248,3.0,0.0,0.0,1.0,0.0
13.0,add,0.4123534442381372,6.0,3.0,0.4123534442381372,3.0,0.0,0.0,1.0,0.0
14.0,add,0.23186717740553547,6.0,3.0,0.4123534442381372,3.0,0.0,1.0,1.0,0.0
15.0,delete,0.11888131581665994,6.0,3.0,0.4123534442381372,2.0,0.0,0.0,1.0,0.0
16.0,swap,0.011738197377449727,6.0,3.0,0.4123534442381372,2.0,0.0,0.0,1.0,1.0
17.0,delete,0.2865047968601896,7.0,1.0,0.23186783963500707,3.0,0.0,0.0,0.0,0.0
18.0,add,0.20719931510624293,8.0,2.0,0.2865047968601896,3.0,0.0,0.0,0.0,1.0
19.0,delete,0.08208499862389883,8.0,2.0,0.2865047968601896,2.0,0.0,0.0,0.0,0.0
20.0,swap,0.08208499862389883,8.0,2.0,0.2865047968601896,2.0,0.0,0.0,0.0,1.0
21.0,add,0.4123534442381372,9.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,0.0
22.0,add,0.4123534442381372,9.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,1.0
23.0,delete,0.41493656343447627,9.0,4.0,0.4123534442381372,3.0,0.0,0.0,0.0,0.0
24.0,swap,0.18887560283756202,9.0,4.0,0.4123534442381372,3.0,0.0,0.0,0.0,1.0
25.0,add,0.07754617769122976,10.0,2.0,0.08819791235654581,4.0,0.0,1.0,0.0,0.0
26.0,add,0.01341790327312273,10.0,2.0,0.08819791235654581,4.0,0.0,2.0,0.0,0.0
27.0,delete,0.027035501180537963,10.0,2.0,0.08819791235654581,3.0,0.0,1.0,0.0,0.0
28.0,swap,0.5223382048295124,10.0,2.0,0.08819791235654581,3.0,0.0,2.0,0.0,0.0
29.0,add,0.4045162906640828,11.0,2.0,0.26815598093627546,3.0,0.0,1.0,0.0,0.0
30.0,add,0.18277252501509406,12.0,2.0,0.2677858814627586,3.0,0.0,1.0,0.0,0.0
31.0,delete,0.08208499862389883,12.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,0.0
32.0,swap,0.04587789082598506,12.0,2.0,0.2677858814627586,2.0,0.0,1.0,0.0,0.0
33.0,add,0.37635388379296175,13.0,3.0,0.4045162906640828,3.0,0.0,1.0,0.0,0.0
34.0,add,0.40199804115867044,13.0,3.0,0.4045162906640828,3.0,0.0,1.0,1.0,0.0
35.0,delete,0.09250407643094917,13.0,3.0,0.4045162906640828,2.0,0.0,1.0,0.0,0.0
36.0,swap,0.09250407643094921,13.0,3.0,0.4045162906640828,2.0,1.0,1.0,0.0,0.0
37.0,change,0.4123534442381372,14.0,3.0,0.36817449979729,3.0,0.0,0.0,1.0,0.0
38.0,change,0.4123534442381372,15.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,0.0
39.0,add,0.4123534442381372,15.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,1.0
40.0,delete,0.11888131581665994,15.0,4.0,0.4123534442381372,2.0,0.0,0.0,1.0,0.0
41.0,swap,0.19317170393665517,15.0,4.0,0.4123534442381372,2.0,0.0,0.0,1.0,1.0
42.0,add,0.41493656343447627,16.0,5.0,0.41493656343447627,3.0,1.0,0.0,0.0,0.0
43.0,delete,0.19438179577316275,16.0,5.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
44.0,swap,0.19438179577316275,16.0,5.0,0.41493656343447627,2.0,0.0,0.0,0.0,1.0
45.0,change,0.4123534442381372,17.0,3.0,0.3225912312642292,3.0,0.0,0.0,1.0,0.0
46.0,delete,0.2677858814627586,18.0,1.0,0.2506749141918437,3.0,0.0,0.0,0.0,0.0
47.0,change,0.4123534442381372,19.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,0.0
48.0,add,0.4099760075587228,19.0,4.0,0.4123534442381372,3.0,0.0,0.0,1.0,1.0
49.0,delete,0.41493656343447627,19.0,4.0,0.4123534442381372,3.0,0.0,0.0,0.0,0.0
50.0,swap,0.05550435219672998,19.0,4.0,0.4123534442381372,2.0,0.0,1.0,1.0,0.0
51.0,add,0.2677858814627587,20.0,2.0,0.2677858814627586,3.0,0.0,0.0,1.0,0.0
52.0,delete,0.08208499862389883,20.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,0.0
53.0,swap,0.11888131581666003,20.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,1.0
54.0,add,0.9318978893120227,21.0,1.0,0.14570713986618972,4.0,0.0,0.0,1.0,0.0
