budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.042078979774733405,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.27285797185754895,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
4.0,swap,0.2760661209066701,2.0,2.0,0.27285797185754895,3.0,1.0,0.0,0.0,0.0
5.0,add,0.2833393574803503,2.0,2.0,0.27285797185754895,3.0,1.0,0.0,1.0,0.0
6.0,delete,-0.02172908192199717,2.0,2.0,0.27285797185754895,2.0,1.0,0.0,0.0,0.0
7.0,swap,0.14202030047080397,2.0,2.0,0.27285797185754895,3.0,1.0,0.0,0.0,0.0
8.0,swap,-0.08085407090030461,3.0,1.0,0.19051093375867523,3.0,0.0,0.0,0.0,1.0
9.0,add,0.28610663912185674,4.0,3.0,0.2833393574803503,3.0,1.0,0.0,1.0,0.0
10.0,add,-0.06387589427946738,4.0,3.0,0.2833393574803503,3.0,1.0,1.0,1.0,0.0
11.0,delete,-0.021729081921997073,4.0,3.0,0.2833393574803503,2.0,1.0,0.0,1.0,0.0
12.0,swap,0.14992492118251097,4.0,3.0,0.2833393574803503,2.0,1.0,0.0,1.0,1.0
13.0,swap,0.2696408900467813,5.0,3.0,0.2760661209066701,3.0,1.0,0.0,0.0,0.0
14.0,add,0.2760661209066701,5.0,3.0,0.2760661209066701,3.0,1.0,0.0,1.0,0.0
15.0,delete,0.28482178217269094,5.0,3.0,0.2760661209066701,3.0,0.0,0.0,0.0,0.0
16.0,swap,0.3404811444057923,5.0,3.0,0.2760661209066701,2.0,1.0,1.0,0.0,0.0
17.0,swap,-0.13563389586980043,6.0,1.0,0.17093836568056495,3.0,0.0,0.0,1.0,0.0
18.0,change,0.22971102066586804,7.0,2.0,0.28941521168772094,3.0,1.0,0.0,0.0,0.0
19.0,swap,0.3420444465501947,8.0,4.0,0.3404811444057923,2.0,1.0,1.0,0.0,0.0
20.0,add,0.12774656929069664,8.0,4.0,0.3404811444057923,2.0,1.0,1.0,0.0,1.0
21.0,delete,0.34889075390821006,8.0,4.0,0.3404811444057923,2.0,1.0,0.0,0.0,0.0
22.0,swap,-0.10760368671805899,8.0,4.0,0.3404811444057923,1.0,1.0,1.0,0.0,1.0
23.0,add,0.2848217821726909,9.0,4.0,0.28482178217269094,3.0,1.0,0.0,0.0,0.0
24.0,delete,-0.060574287960367845,9.0,4.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
25.0,swap,-0.015824144146880895,9.0,4.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
26.0,swap,0.12566457177529847,10.0,3.0,0.14202030047080397,3.0,1.0,0.0,0.0,0.0
27.0,add,0.0869149304253522,10.0,3.0,0.14202030047080397,3.0,1.0,1.0,0.0,0.0
28.0,delete,-0.10473058474669777,10.0,3.0,0.14202030047080397,2.0,1.0,0.0,0.0,0.0
29.0,swap,0.3121871220794532,10.0,3.0,0.14202030047080397,2.0,1.0,0.0,1.0,0.0
30.0,change,0.274014344517757,11.0,2.0,0.19971450093853516,3.0,1.0,0.0,0.0,0.0
31.0,swap,0.24255923065626606,12.0,4.0,0.2696408900467813,3.0,1.0,0.0,0.0,0.0
32.0,add,0.2696408900467813,12.0,4.0,0.2696408900467813,3.0,1.0,0.0,0.0,1.0
33.0,delete,-0.06526844078150112,12.0,4.0,0.2696408900467813,2.0,1.0,0.0,0.0,0.0
34.0,swap,0.10662138702116437,12.0,4.0,0.2696408900467813,2.0,1.0,1.0,0.0,0.0
35.0,swap,0.2848217821726909,13.0,3.0,0.21031184548736698,3.0,1.0,0.0,0.0,0.0
36.0,swap,0.28482178217269094,14.0,4.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
37.0,add,0.2848217821726909,14.0,4.0,0.2848217821726909,3.0,1.0,0.0,0.0,1.0
38.0,delete,0.3512881771660212,14.0,4.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
39.0,swap,0.22788445563602422,14.0,4.0,0.2848217821726909,2.0,2.0,0.0,0.0,0.0
40.0,add,-0.08085407090030461,15.0,2.0,-0.08085407090030461,3.0,0.0,0.0,0.0,2.0
41.0,delete,-0.015824144146880936,15.0,2.0,-0.08085407090030461,2.0,0.0,0.0,0.0,1.0
42.0,swap,0.40074678121150425,15.0,2.0,-0.08085407090030461,2.0,1.0,0.0,0.0,1.0
43.0,swap,-0.18951160155314745,16.0,1.0,0.15980064184746928,3.0,0.0,1.0,0.0,0.0
44.0,change,0.2181964788292309,17.0,3.0,0.22971102066586804,3.0,1.0,0.0,0.0,0.0
45.0,add,-0.05294414331385765,17.0,3.0,0.22971102066586804,3.0,1.0,0.0,0.0,1.0
46.0,delete,0.28482178217269094,17.0,3.0,0.22971102066586804,3.0,0.0,0.0,0.0,0.0
47.0,swap,0.28482178217269094,17.0,3.0,0.22971102066586804,3.0,0.0,0.0,0.0,1.0
48.0,delete,0.35128817716602123,18.0,5.0,0.3512881771660212,2.0,1.0,0.0,0.0,0.0
49.0,add,0.16188873149765282,18.0,5.0,0.3512881771660212,2.0,1.0,0.0,0.0,1.0
50.0,delete,0.5450285878445766,18.0,5.0,0.3512881771660212,1.0,1.0,0.0,0.0,0.0
51.0,swap,0.30839865215000695,18.0,5.0,0.3512881771660212,2.0,1.0,0.0,0.0,0.0
52.0,change,0.26192027178079075,19.0,3.0,0.274014344517757,3.0,1.0,0.0,0.0,0.0
