budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.229370100288219,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.227371415976023,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
4.0,add,5.378534542653036,2.0,2.0,6.229370100288219,9.0,0.0,1.0,0.0,0.0
5.0,delete,6.742667735615357,2.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.580474937186034,2.0,2.0,6.229370100288219,8.0,0.0,0.0,1.0,0.0
7.0,swap,6.226754723739611,3.0,2.0,6.227371415976023,9.0,0.0,0.0,1.0,0.0
8.0,add,6.227371415976023,3.0,2.0,6.227371415976023,9.0,0.0,0.0,1.0,1.0
9.0,delete,6.582695019396537,3.0,2.0,6.227371415976023,8.0,0.0,0.0,1.0,0.0
10.0,swap,6.740669051303165,3.0,2.0,6.227371415976023,8.0,0.0,0.0,1.0,1.0
11.0,swap,5.753244130632076,4.0,1.0,6.400972325278272,9.0,0.0,0.0,0.0,1.0
12.0,delete,6.582895358539185,5.0,3.0,6.582695019396537,8.0,0.0,0.0,1.0,0.0
13.0,add,6.582695019396537,5.0,3.0,6.582695019396537,8.0,0.0,0.0,1.0,1.0
14.0,delete,6.852850168312857,5.0,3.0,6.582695019396537,7.0,0.0,0.0,1.0,0.0
15.0,swap,6.415251873783156,5.0,3.0,6.582695019396537,7.0,1.0,0.0,1.0,0.0
16.0,delete,6.5591102728223944,6.0,2.0,6.603277487885654,8.0,0.0,0.0,1.0,0.0
17.0,swap,6.229370100288218,7.0,1.0,6.431900768170689,9.0,0.0,0.0,0.0,1.0
18.0,delete,6.852734627639373,8.0,4.0,6.852850168312857,7.0,0.0,0.0,1.0,0.0
19.0,add,6.766393121294183,8.0,4.0,6.852850168312857,7.0,0.0,1.0,1.0,0.0
20.0,delete,7.2339145735786845,8.0,4.0,6.852850168312857,6.0,0.0,0.0,1.0,0.0
21.0,swap,6.492172552417232,8.0,4.0,6.852850168312857,6.0,0.0,1.0,1.0,0.0
22.0,delete,6.559110272822394,9.0,3.0,6.5591102728223944,8.0,0.0,0.0,1.0,0.0
23.0,add,6.288515195988766,9.0,3.0,6.5591102728223944,8.0,1.0,0.0,1.0,0.0
24.0,delete,6.559110272822395,9.0,3.0,6.5591102728223944,8.0,0.0,0.0,0.0,0.0
25.0,swap,6.809754194847365,9.0,3.0,6.5591102728223944,7.0,0.0,0.0,1.0,1.0
26.0,swap,6.741088237553639,10.0,3.0,6.740669051303165,8.0,0.0,0.0,1.0,1.0
27.0,add,6.137008410620006,10.0,3.0,6.740669051303165,8.0,0.0,0.0,1.0,2.0
28.0,delete,6.587569043503828,10.0,3.0,6.740669051303165,7.0,0.0,0.0,1.0,1.0
29.0,swap,7.008746629156741,10.0,3.0,6.740669051303165,7.0,1.0,0.0,1.0,1.0
30.0,delete,6.740669051303165,11.0,2.0,6.652657323118646,8.0,0.0,0.0,1.0,0.0
31.0,delete,6.860270087021141,12.0,3.0,6.839613008648466,7.0,0.0,0.0,1.0,0.0
32.0,delete,6.740362655041107,13.0,3.0,6.740669051303165,8.0,0.0,0.0,1.0,0.0
33.0,add,6.602989786478807,13.0,3.0,6.740669051303165,8.0,1.0,0.0,1.0,0.0
34.0,delete,7.008746629156742,13.0,3.0,6.740669051303165,7.0,0.0,0.0,1.0,0.0
35.0,swap,6.635555907420191,13.0,3.0,6.740669051303165,7.0,0.0,0.0,1.0,1.0
36.0,delete,7.232784127547351,14.0,5.0,7.2339145735786845,6.0,0.0,0.0,1.0,0.0
37.0,add,7.2339145735786845,14.0,5.0,7.2339145735786845,6.0,0.0,0.0,1.0,1.0
38.0,delete,7.227480037235217,14.0,5.0,7.2339145735786845,5.0,0.0,0.0,1.0,0.0
39.0,swap,7.250560285838603,14.0,5.0,7.2339145735786845,6.0,0.0,1.0,0.0,0.0
40.0,add,6.229399256399054,15.0,2.0,6.229370100288218,9.0,0.0,0.0,1.0,1.0
41.0,delete,6.565356507691618,15.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,1.0
42.0,swap,6.556124949277418,15.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,2.0
43.0,delete,6.859908406191828,16.0,4.0,6.860270087021141,7.0,0.0,0.0,1.0,0.0
44.0,add,6.883570429483074,16.0,4.0,6.860270087021141,7.0,0.0,0.0,1.0,1.0
45.0,delete,6.770753922161559,16.0,4.0,6.860270087021141,6.0,0.0,0.0,1.0,0.0
46.0,swap,7.057186100237308,16.0,4.0,6.860270087021141,6.0,0.0,0.0,1.0,1.0
47.0,swap,5.911348305439436,17.0,1.0,6.670049473035934,9.0,1.0,0.0,0.0,0.0
48.0,delete,6.854132666572805,18.0,3.0,6.969606643752649,7.0,0.0,0.0,1.0,0.0
49.0,delete,6.8513847553476115,19.0,4.0,7.235730719555707,7.0,0.0,0.0,0.0,0.0
50.0,swap,7.19254896500356,20.0,6.0,7.250560285838603,6.0,0.0,1.0,0.0,0.0
51.0,add,7.0835601256839915,20.0,6.0,7.250560285838603,6.0,1.0,1.0,0.0,0.0
52.0,delete,7.267273456332577,20.0,6.0,7.250560285838603,5.0,0.0,1.0,0.0,0.0
53.0,swap,7.344044330941754,20.0,6.0,7.250560285838603,5.0,0.0,2.0,0.0,0.0
54.0,delete,7.227480037235218,21.0,6.0,7.227480037235217,5.0,0.0,0.0,1.0,0.0
55.0,add,6.887426914074925,21.0,6.0,7.227480037235217,5.0,0.0,1.0,1.0,0.0
56.0,delete,7.22748003723522,21.0,6.0,7.227480037235217,5.0,0.0,0.0,0.0,0.0
57.0,swap,7.450375017331362,21.0,6.0,7.227480037235217,4.0,1.0,0.0,1.0,0.0
