budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
4.0,add,0.873597849947558,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
5.0,add,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
6.0,delete,0.3040764312848323,2.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
7.0,swap,0.1936930498708801,2.0,2.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
8.0,add,0.873597849947558,3.0,1.0,0.6226835387559231,4.0,0.0,0.0,0.0,1.0
9.0,add,0.873597849947558,4.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
10.0,delete,0.3040764312848323,4.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
11.0,swap,0.26622721585628073,4.0,2.0,0.873597849947558,3.0,0.0,0.0,1.0,1.0
12.0,add,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
13.0,add,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
14.0,delete,0.2677858814627575,5.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
15.0,swap,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
16.0,add,0.8684525127287878,6.0,1.0,0.639961267086252,4.0,0.0,0.0,1.0,0.0
17.0,add,0.8684525127287878,7.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
18.0,add,0.8645604557060148,7.0,2.0,0.8684525127287878,4.0,0.0,0.0,2.0,0.0
19.0,delete,0.2677858814627575,7.0,2.0,0.8684525127287878,3.0,0.0,0.0,1.0,0.0
20.0,swap,0.18248968617730524,7.0,2.0,0.8684525127287878,3.0,0.0,1.0,1.0,0.0
21.0,change,0.873597849947558,8.0,2.0,0.7524354562505978,4.0,1.0,0.0,0.0,0.0
22.0,change,0.873597849947558,9.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
23.0,add,0.06977886153040666,9.0,3.0,0.873597849947558,4.0,1.0,1.0,0.0,0.0
24.0,delete,0.2677858814627581,9.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
25.0,swap,0.04201984168528631,9.0,3.0,0.873597849947558,3.0,1.0,1.0,0.0,0.0
26.0,add,0.8684525127287878,10.0,3.0,0.8684525127287878,4.0,1.0,0.0,1.0,0.0
27.0,add,0.8684525127287896,10.0,3.0,0.8684525127287878,4.0,2.0,0.0,1.0,0.0
28.0,delete,0.873597849947558,10.0,3.0,0.8684525127287878,4.0,1.0,0.0,0.0,0.0
29.0,swap,0.873597849947558,10.0,3.0,0.8684525127287878,4.0,1.0,0.0,0.0,1.0
30.0,add,0.873597849947558,11.0,2.0,0.8705106476162963,4.0,2.0,0.0,0.0,0.0
31.0,add,0.8684525127287901,12.0,4.0,0.8684525127287896,4.0,2.0,0.0,1.0,0.0
32.0,add,0.8684525127287896,12.0,4.0,0.8684525127287896,4.0,2.0,0.0,1.0,1.0
33.0,delete,0.8684525127287896,12.0,4.0,0.8684525127287896,4.0,1.0,0.0,1.0,0.0
34.0,swap,0.055467845975168066,12.0,4.0,0.8684525127287896,3.0,2.0,1.0,1.0,0.0
35.0,delete,0.873597849947558,13.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
36.0,add,0.873597849947558,13.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
37.0,delete,0.2677858814627575,13.0,4.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
38.0,swap,0.3040764312848323,13.0,4.0,0.873597849947558,3.0,1.0,0.0,1.0,0.0
39.0,add,0.873597849947558,14.0,2.0,0.7290024632023773,4.0,1.0,0.0,0.0,1.0
40.0,add,0.873597849947558,15.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
41.0,add,0.873597849947558,15.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,2.0
42.0,delete,0.873597849947558,15.0,3.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
43.0,swap,0.1743153194279231,15.0,3.0,0.873597849947558,3.0,1.0,1.0,0.0,1.0
44.0,add,0.873597849947558,16.0,1.0,0.646446499922467,4.0,1.0,0.0,0.0,0.0
45.0,add,0.8735978499475604,17.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
46.0,add,0.873597849947558,17.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
47.0,delete,0.2677858814627581,17.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
48.0,swap,0.25765607418937125,17.0,2.0,0.873597849947558,3.0,1.0,1.0,0.0,0.0
49.0,add,0.873597849947558,18.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
50.0,add,0.873597849947558,18.0,3.0,0.873597849947558,4.0,2.0,0.0,0.0,1.0
51.0,delete,0.1721723516748124,18.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
52.0,swap,0.8684525127287878,18.0,3.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
53.0,add,0.873597849947558,19.0,2.0,0.7322836828492549,4.0,0.0,0.0,0.0,2.0
54.0,add,0.1233222454809244,20.0,3.0,0.873597849947558,4.0,0.0,1.0,0.0,2.0
55.0,delete,0.3040764312848323,20.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
56.0,swap,0.873597849947558,20.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
57.0,add,0.8684525127287878,21.0,3.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
58.0,add,0.8684525127287878,21.0,3.0,0.8684525127287878,4.0,1.0,0.0,1.0,0.0
59.0,delete,0.30230329150181523,21.0,3.0,0.8684525127287878,3.0,0.0,0.0,1.0,0.0
60.0,swap,0.09324972767032289,21.0,3.0,0.8684525127287878,3.0,1.0,0.0,1.0,0.0
61.0,add,0.8684525127287892,22.0,4.0,0.8684525127287878,4.0,1.0,0.0,1.0,0.0
62.0,add,0.8532479788325792,22.0,4.0,0.8684525127287878,4.0,1.0,0.0,2.0,0.0
63.0,delete,0.2677858814627575,22.0,4.0,0.8684525127287878,3.0,1.0,0.0,1.0,0.0
64.0,swap,0.04436144177290667,22.0,4.0,0.8684525127287878,3.0,1.0,0.0,1.0,1.0
65.0,add,0.873597849947558,23.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
66.0,add,0.10888459553534005,23.0,4.0,0.873597849947558,4.0,1.0,1.0,0.0,1.0
67.0,delete,0.3040764312848323,23.0,4.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
68.0,swap,0.2677858814627575,23.0,4.0,0.873597849947558,3.0,1.0,0.0,0.0,2.0
69.0,add,0.873597849947558,24.0,3.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
70.0,add,0.8696825154081763,24.0,3.0,0.873597849947558,4.0,2.0,0.0,1.0,0.0
71.0,delete,0.2677858814627575,24.0,3.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
72.0,swap,0.873597849947558,24.0,3.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
73.0,add,0.8661642303870685,25.0,3.0,0.7058555793780654,4.0,1.0,0.0,1.0,1.0
74.0,add,0.8661642303870685,26.0,4.0,0.8661642303870685,4.0,1.0,0.0,1.0,1.0
75.0,add,0.8661642303870685,26.0,4.0,0.8661642303870685,4.0,1.0,0.0,1.0,2.0
76.0,delete,0.30230329150181523,26.0,4.0,0.8661642303870685,3.0,1.0,0.0,1.0,1.0
77.0,swap,0.8684525127287878,26.0,4.0,0.8661642303870685,4.0,1.0,0.0,1.0,1.0
78.0,swap,0.873597849947558,27.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
79.0,add,0.873597849947558,27.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,1.0
80.0,delete,0.3040764312848323,27.0,4.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
81.0,swap,0.8684525127287896,27.0,4.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
82.0,add,0.873597849947558,28.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
83.0,add,0.873597849947558,28.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,1.0
84.0,delete,0.873597849947558,28.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
85.0,swap,0.2677858814627575,28.0,4.0,0.873597849947558,3.0,3.0,0.0,0.0,0.0
86.0,add,0.8645604557060148,29.0,3.0,0.8645604557060148,4.0,0.0,0.0,2.0,0.0
87.0,add,0.8633191489715046,29.0,3.0,0.8645604557060148,4.0,0.0,0.0,2.0,1.0
88.0,delete,0.2650289370000909,29.0,3.0,0.8645604557060148,3.0,0.0,0.0,2.0,0.0
89.0,swap,0.13900959612711775,29.0,3.0,0.8645604557060148,3.0,0.0,1.0,2.0,0.0
90.0,add,0.873597849947558,30.0,2.0,0.7092701421555122,4.0,1.0,0.0,0.0,1.0
91.0,add,0.873597849947558,31.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
92.0,add,0.3149977500952874,31.0,3.0,0.873597849947558,4.0,1.0,1.0,0.0,1.0
93.0,delete,0.3040764312848323,31.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
94.0,swap,0.017696040242924673,31.0,3.0,0.873597849947558,3.0,2.0,0.0,0.0,1.0
95.0,add,0.8696825154081768,32.0,4.0,0.8696825154081763,4.0,2.0,0.0,1.0,0.0
96.0,add,0.8696825154081763,32.0,4.0,0.8696825154081763,4.0,2.0,0.0,1.0,1.0
97.0,delete,0.8696825154081719,32.0,4.0,0.8696825154081763,4.0,1.0,0.0,1.0,0.0
98.0,swap,0.26659909213401606,32.0,4.0,0.8696825154081763,3.0,2.0,0.0,1.0,1.0
99.0,add,0.873597849947558,33.0,3.0,0.8735978499475604,4.0,1.0,0.0,0.0,0.0
100.0,add,0.8735978499475604,33.0,3.0,0.8735978499475604,4.0,1.0,0.0,0.0,1.0
101.0,delete,0.2677858814627581,33.0,3.0,0.8735978499475604,3.0,1.0,0.0,0.0,0.0
