budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473338,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,add,-0.08085407090030461,2.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
5.0,delete,-0.060574287960367845,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
6.0,swap,-0.015824144146880936,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
7.0,add,0.04207897977473336,3.0,2.0,0.04207897977473338,4.0,0.0,0.0,1.0,1.0
8.0,delete,0.2848217821726909,3.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
9.0,swap,0.28482178217269083,3.0,2.0,0.04207897977473338,3.0,0.0,0.0,1.0,1.0
10.0,swap,-0.1356338958698004,4.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,0.0
11.0,add,-0.13563389586980035,4.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,1.0
12.0,delete,-0.015824144146880936,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,0.0
13.0,swap,0.11713858768416593,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,1.0
14.0,add,-0.19716849838468808,5.0,1.0,0.16345038097371212,4.0,0.0,1.0,0.0,0.0
15.0,add,0.2848217821726909,6.0,3.0,0.2848217821726909,3.0,0.0,0.0,0.0,2.0
16.0,delete,0.3512881771660213,6.0,3.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
17.0,swap,-0.015824144146881033,6.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,1.0
18.0,swap,0.28482178217269083,7.0,3.0,0.28482178217269083,3.0,0.0,0.0,1.0,1.0
19.0,add,0.2824982188122223,7.0,3.0,0.28482178217269083,3.0,0.0,1.0,1.0,1.0
20.0,delete,0.35128817716602123,7.0,3.0,0.28482178217269083,2.0,0.0,0.0,1.0,1.0
21.0,swap,-0.015824144146880978,7.0,3.0,0.28482178217269083,2.0,0.0,0.0,1.0,2.0
22.0,delete,0.28482178217269094,8.0,1.0,0.031892319791284374,3.0,0.0,0.0,0.0,0.0
23.0,add,-0.0808540709003046,9.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
24.0,delete,0.3512881771660213,9.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
25.0,swap,-0.17573655179729253,9.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
26.0,add,0.04207897977473338,10.0,1.0,0.16497523955883708,4.0,0.0,0.0,0.0,1.0
27.0,add,0.04207897977473343,11.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
28.0,delete,-0.08085407090030462,11.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
29.0,swap,-0.13563389586980037,11.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
30.0,add,0.35128817716602123,12.0,3.0,0.3512881771660213,2.0,0.0,0.0,1.0,0.0
31.0,delete,-0.11704094364207562,12.0,3.0,0.3512881771660213,1.0,0.0,0.0,0.0,0.0
32.0,swap,-0.11704094364207562,12.0,3.0,0.3512881771660213,1.0,0.0,0.0,0.0,1.0
33.0,add,-0.18289771317404294,13.0,2.0,-0.19716849838468808,4.0,0.0,1.0,0.0,0.0
34.0,add,0.16324188168533071,13.0,2.0,-0.19716849838468808,4.0,0.0,1.0,0.0,1.0
35.0,delete,0.04207897977473338,13.0,2.0,-0.19716849838468808,4.0,0.0,0.0,0.0,0.0
36.0,swap,-0.24998151340596622,13.0,2.0,-0.19716849838468808,3.0,0.0,2.0,0.0,0.0
37.0,delete,-0.13563389586980043,14.0,1.0,0.05675408233528387,3.0,0.0,0.0,0.0,0.0
38.0,swap,-0.13739677513549012,15.0,1.0,-0.06111744881442323,3.0,0.0,1.0,0.0,0.0
39.0,add,-0.13563389586980043,16.0,2.0,-0.13563389586980043,3.0,1.0,0.0,0.0,0.0
40.0,delete,-0.015824144146880936,16.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
41.0,swap,-0.09498170137704327,16.0,2.0,-0.13563389586980043,2.0,0.0,1.0,0.0,0.0
42.0,add,0.04207897977473338,17.0,3.0,0.04207897977473336,4.0,0.0,0.0,1.0,1.0
43.0,add,0.061278266580676435,17.0,3.0,0.04207897977473336,4.0,0.0,0.0,2.0,1.0
44.0,delete,0.28482178217269083,17.0,3.0,0.04207897977473336,3.0,0.0,0.0,1.0,1.0
45.0,swap,0.2848217821726908,17.0,3.0,0.04207897977473336,3.0,0.0,0.0,2.0,1.0
46.0,delete,-0.1732685478721674,18.0,2.0,0.22627689934113052,3.0,0.0,0.0,0.0,1.0
47.0,swap,-0.0938603981473591,19.0,2.0,-0.13739677513549012,3.0,0.0,1.0,0.0,0.0
48.0,add,0.13297148762816033,19.0,2.0,-0.13739677513549012,3.0,0.0,1.0,0.0,1.0
49.0,delete,0.23567879502849431,19.0,2.0,-0.13739677513549012,2.0,0.0,1.0,0.0,0.0
50.0,swap,0.28482178217269094,19.0,2.0,-0.13739677513549012,3.0,0.0,0.0,0.0,1.0
51.0,add,0.28482178217269083,20.0,3.0,0.28482178217269094,3.0,0.0,0.0,1.0,1.0
52.0,delete,-0.015824144146880895,20.0,3.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
53.0,swap,-0.015824144146880895,20.0,3.0,0.28482178217269094,2.0,0.0,0.0,0.0,2.0
54.0,swap,-0.13563389586980037,21.0,1.0,0.028446241642562257,3.0,0.0,0.0,0.0,1.0
55.0,swap,0.2848217821726909,22.0,2.0,0.23752116323534883,3.0,0.0,0.0,0.0,2.0
56.0,add,0.2848217821726908,23.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,2.0
57.0,delete,0.11422439833927708,23.0,3.0,0.2848217821726909,2.0,0.0,0.0,0.0,2.0
58.0,swap,0.2592351095138174,23.0,3.0,0.2848217821726909,2.0,1.0,0.0,0.0,2.0
59.0,add,0.2848217821726909,24.0,4.0,0.2848217821726908,3.0,0.0,0.0,1.0,2.0
60.0,add,0.2848217821726908,24.0,4.0,0.2848217821726908,3.0,1.0,0.0,1.0,2.0
61.0,delete,0.2848217821726909,24.0,4.0,0.2848217821726908,3.0,0.0,0.0,0.0,2.0
62.0,swap,0.35128817716602123,24.0,4.0,0.2848217821726908,2.0,0.0,0.0,2.0,2.0
63.0,add,0.35128817716602123,25.0,4.0,0.3512881771660213,2.0,1.0,0.0,0.0,1.0
64.0,delete,0.3512881771660213,25.0,4.0,0.3512881771660213,2.0,0.0,0.0,0.0,0.0
65.0,swap,-0.08687062945916335,25.0,4.0,0.3512881771660213,1.0,1.0,0.0,0.0,1.0
66.0,add,0.04207897977473338,26.0,2.0,0.14301595809510498,4.0,0.0,0.0,0.0,2.0
67.0,add,0.04207897977473342,27.0,3.0,0.04207897977473343,4.0,1.0,0.0,0.0,1.0
68.0,add,0.2305395586405538,27.0,3.0,0.04207897977473343,4.0,1.0,1.0,0.0,1.0
69.0,delete,0.04207897977473343,27.0,3.0,0.04207897977473343,4.0,1.0,0.0,0.0,0.0
70.0,swap,-0.1356338958698004,27.0,3.0,0.04207897977473343,3.0,1.0,0.0,0.0,2.0
71.0,add,0.04207897977473338,28.0,1.0,0.12451833385474363,4.0,0.0,0.0,0.0,1.0
72.0,add,0.04207897977473343,29.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
73.0,delete,0.04207897977473338,29.0,2.0,0.04207897977473338,4.0,0.0,0.0,0.0,0.0
74.0,swap,-0.3171855834772402,29.0,2.0,0.04207897977473338,3.0,0.0,1.0,0.0,1.0
75.0,add,-0.13563389586980037,30.0,2.0,-0.13563389586980037,3.0,0.0,0.0,1.0,1.0
76.0,delete,-0.13563389586980037,30.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,0.0
77.0,swap,0.13851950441255295,30.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
78.0,swap,0.0308361037413811,31.0,2.0,0.2566509547737934,3.0,1.0,0.0,0.0,1.0
79.0,add,0.08283623226435483,32.0,3.0,-0.015824144146880936,2.0,0.0,1.0,0.0,1.0
80.0,delete,-0.11704094364207562,32.0,3.0,-0.015824144146880936,1.0,0.0,0.0,0.0,1.0
81.0,swap,-0.015824144146880992,32.0,3.0,-0.015824144146880936,2.0,0.0,0.0,1.0,0.0
82.0,add,0.04207897977473342,33.0,3.0,0.04207897977473343,4.0,1.0,0.0,0.0,1.0
83.0,add,0.04207897977473343,33.0,3.0,0.04207897977473343,4.0,2.0,0.0,0.0,1.0
84.0,delete,-0.06331100139140133,33.0,3.0,0.04207897977473343,3.0,1.0,0.0,0.0,1.0
85.0,swap,-0.022773527552849053,33.0,3.0,0.04207897977473343,3.0,2.0,0.0,0.0,1.0
86.0,swap,0.13023061118099377,34.0,3.0,0.0308361037413811,3.0,1.0,0.0,0.0,1.0
87.0,add,-0.10933366114124816,34.0,3.0,0.0308361037413811,3.0,2.0,0.0,0.0,1.0
88.0,delete,0.0308361037413811,34.0,3.0,0.0308361037413811,3.0,1.0,0.0,0.0,0.0
89.0,swap,-0.17706241622583355,34.0,3.0,0.0308361037413811,2.0,2.0,0.0,0.0,1.0
90.0,delete,0.23706170047301536,35.0,3.0,0.23567879502849431,2.0,0.0,1.0,0.0,0.0
91.0,add,0.3433987918839858,35.0,3.0,0.23567879502849431,2.0,0.0,2.0,0.0,0.0
92.0,delete,-0.018824767251137547,35.0,3.0,0.23567879502849431,1.0,0.0,1.0,0.0,0.0
93.0,swap,0.3512881771660213,35.0,3.0,0.23567879502849431,2.0,0.0,0.0,0.0,1.0
94.0,add,0.13313964902754155,36.0,3.0,0.13297148762816033,3.0,0.0,1.0,0.0,1.0
95.0,add,0.1758581857675363,36.0,3.0,0.13297148762816033,3.0,0.0,1.0,1.0,1.0
96.0,delete,-0.191130411769479,36.0,3.0,0.13297148762816033,2.0,0.0,1.0,0.0,1.0
97.0,swap,-0.13739677513549012,36.0,3.0,0.13297148762816033,3.0,0.0,1.0,0.0,1.0
98.0,add,-0.15817350479959028,37.0,3.0,-0.0808540709003046,3.0,0.0,0.0,1.0,1.0
99.0,delete,-0.30331709035832527,37.0,3.0,-0.0808540709003046,2.0,0.0,0.0,0.0,1.0
100.0,swap,-0.30331709035832527,37.0,3.0,-0.0808540709003046,2.0,0.0,0.0,0.0,2.0
101.0,swap,0.1797898458714896,38.0,3.0,0.13851950441255295,3.0,1.0,0.0,0.0,0.0
102.0,add,0.13851950441255292,38.0,3.0,0.13851950441255295,3.0,2.0,0.0,0.0,0.0
103.0,delete,0.44797513141272144,38.0,3.0,0.13851950441255295,2.0,1.0,0.0,0.0,0.0
104.0,swap,0.05338574628588913,38.0,3.0,0.13851950441255295,2.0,1.0,0.0,1.0,0.0
105.0,swap,-0.48394415534774804,39.0,2.0,0.1916379464790412,2.0,0.0,0.0,0.0,2.0
106.0,add,0.19137168867469828,40.0,4.0,0.2848217821726909,3.0,0.0,1.0,0.0,2.0
107.0,delete,0.3512881771660213,40.0,4.0,0.2848217821726909,2.0,0.0,0.0,0.0,2.0
108.0,swap,0.2848217821726909,40.0,4.0,0.2848217821726909,3.0,0.0,0.0,1.0,1.0
109.0,add,0.18984140056699378,41.0,3.0,0.04207897977473338,4.0,0.0,1.0,0.0,2.0
110.0,delete,0.04207897977473338,41.0,3.0,0.04207897977473338,4.0,0.0,0.0,0.0,1.0
111.0,swap,-0.1356338958698004,41.0,3.0,0.04207897977473338,3.0,0.0,0.0,1.0,2.0
112.0,add,-0.08085407090030466,42.0,3.0,-0.08085407090030462,3.0,0.0,0.0,1.0,1.0
113.0,delete,-0.2585669465448384,42.0,3.0,-0.08085407090030462,2.0,0.0,0.0,0.0,1.0
114.0,swap,-0.21025158503082286,42.0,3.0,-0.08085407090030462,2.0,1.0,0.0,0.0,1.0
115.0,swap,-0.16831954952131734,43.0,3.0,-0.0938603981473591,3.0,0.0,1.0,0.0,0.0
116.0,add,-0.0938603981473591,43.0,3.0,-0.0938603981473591,3.0,0.0,1.0,0.0,1.0
117.0,delete,0.28482178217269094,43.0,3.0,-0.0938603981473591,3.0,0.0,0.0,0.0,0.0
118.0,swap,-0.21679344882239712,43.0,3.0,-0.0938603981473591,2.0,0.0,1.0,0.0,1.0
119.0,delete,-0.13563389586980043,44.0,2.0,0.19772967476169495,3.0,0.0,0.0,0.0,1.0
120.0,add,0.12847158261150793,45.0,3.0,-0.13563389586980043,3.0,0.0,1.0,0.0,1.0
121.0,delete,-0.015824144146880936,45.0,3.0,-0.13563389586980043,2.0,0.0,0.0,0.0,1.0
122.0,swap,-0.13182074191298201,45.0,3.0,-0.13563389586980043,3.0,0.0,1.0,0.0,0.0
123.0,swap,0.11713858768416598,46.0,3.0,0.11713858768416593,2.0,0.0,0.0,1.0,1.0
124.0,add,0.29338801818861987,46.0,3.0,0.11713858768416593,2.0,1.0,0.0,1.0,1.0
125.0,delete,0.11713858768416598,46.0,3.0,0.11713858768416593,2.0,0.0,0.0,0.0,1.0
126.0,swap,-0.06555738303803488,46.0,3.0,0.11713858768416593,2.0,0.0,1.0,1.0,0.0
127.0,delete,-0.015824144146880895,47.0,3.0,-0.015824144146880936,2.0,0.0,0.0,1.0,0.0
128.0,add,-0.015824144146880936,47.0,3.0,-0.015824144146880936,2.0,0.0,0.0,2.0,0.0
129.0,delete,-0.015824144146880895,47.0,3.0,-0.015824144146880936,2.0,0.0,0.0,0.0,0.0
130.0,swap,0.35037958716169726,47.0,3.0,-0.015824144146880936,1.0,0.0,1.0,1.0,0.0
131.0,add,0.1649901292038432,48.0,3.0,0.16324188168533071,4.0,0.0,1.0,0.0,1.0
132.0,add,0.16324188168533071,48.0,3.0,0.16324188168533071,4.0,0.0,1.0,0.0,2.0
133.0,delete,0.029634779513313485,48.0,3.0,0.16324188168533071,3.0,0.0,1.0,0.0,1.0
