budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.48395569167225,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
2.0,delete,74.63416553902063,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.65671535699848,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
4.0,swap,74.65885341513608,2.0,2.0,74.65671535699848,7.0,1.0,0.0,0.0,0.0
5.0,add,74.65671535699848,2.0,2.0,74.65671535699848,7.0,1.0,0.0,0.0,1.0
6.0,delete,74.63260065835752,2.0,2.0,74.65671535699848,6.0,1.0,0.0,0.0,0.0
7.0,swap,74.56892252618341,2.0,2.0,74.65671535699848,7.0,0.0,0.0,0.0,1.0
8.0,add,74.76217460049905,3.0,2.0,74.63416553902063,7.0,0.0,0.0,0.0,1.0
9.0,delete,74.52482483630274,3.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,0.0
10.0,swap,74.50978366420935,3.0,2.0,74.63416553902063,6.0,0.0,1.0,0.0,0.0
11.0,add,74.48227131729342,4.0,2.0,74.48395569167225,8.0,0.0,1.0,0.0,0.0
12.0,add,74.48395569167225,4.0,2.0,74.48395569167225,8.0,0.0,1.0,0.0,1.0
13.0,delete,74.35565904578318,4.0,2.0,74.48395569167225,7.0,0.0,1.0,0.0,0.0
14.0,swap,74.41703225296887,4.0,2.0,74.48395569167225,7.0,0.0,1.0,0.0,1.0
15.0,delete,74.62027420950717,5.0,1.0,74.60773716000794,7.0,0.0,0.0,0.0,0.0
16.0,swap,74.51003434388922,6.0,1.0,74.63476146273479,7.0,0.0,0.0,0.0,1.0
17.0,add,74.62359975338897,7.0,2.0,74.62027420950717,7.0,0.0,0.0,0.0,1.0
18.0,delete,74.49168800593672,7.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,0.0
19.0,swap,74.6873842884917,7.0,2.0,74.62027420950717,6.0,0.0,0.0,1.0,0.0
20.0,add,74.51003434388922,8.0,2.0,74.51003434388922,7.0,0.0,0.0,0.0,2.0
21.0,delete,74.58336064172028,8.0,2.0,74.51003434388922,6.0,0.0,0.0,0.0,1.0
22.0,swap,74.45788011736478,8.0,2.0,74.51003434388922,6.0,1.0,0.0,0.0,1.0
23.0,add,74.76217460049905,9.0,3.0,74.76217460049905,7.0,0.0,0.0,0.0,2.0
24.0,delete,74.76558379918043,9.0,3.0,74.76217460049905,6.0,0.0,0.0,0.0,1.0
25.0,swap,74.73063217542992,9.0,3.0,74.76217460049905,6.0,0.0,0.0,1.0,1.0
26.0,delete,74.49605353349583,10.0,1.0,74.6465714065878,7.0,0.0,0.0,0.0,0.0
27.0,add,74.49605353349583,11.0,2.0,74.49605353349583,7.0,0.0,0.0,0.0,1.0
28.0,delete,74.64840748163559,11.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
29.0,swap,74.49543610096983,11.0,2.0,74.49605353349583,6.0,0.0,1.0,0.0,0.0
30.0,swap,74.65719752490325,12.0,3.0,74.65885341513608,7.0,1.0,0.0,0.0,0.0
31.0,add,74.65885341513608,12.0,3.0,74.65885341513608,7.0,1.0,0.0,0.0,1.0
32.0,delete,74.65062226657318,12.0,3.0,74.65885341513608,6.0,1.0,0.0,0.0,0.0
33.0,swap,74.56279657010722,12.0,3.0,74.65885341513608,6.0,1.0,0.0,0.0,1.0
34.0,swap,74.68740681495834,13.0,3.0,74.6873842884917,6.0,0.0,0.0,1.0,0.0
35.0,add,74.55715397006759,13.0,3.0,74.6873842884917,6.0,0.0,0.0,1.0,1.0
36.0,delete,74.63427976467526,13.0,3.0,74.6873842884917,5.0,0.0,0.0,1.0,0.0
37.0,swap,74.58759061958048,13.0,3.0,74.6873842884917,6.0,1.0,0.0,0.0,0.0
38.0,swap,74.49539453004246,14.0,1.0,74.59727588748133,7.0,0.0,0.0,1.0,0.0
39.0,swap,74.497186849221,15.0,2.0,74.49539453004246,7.0,0.0,0.0,1.0,0.0
40.0,add,74.52624575618779,15.0,2.0,74.49539453004246,7.0,0.0,1.0,1.0,0.0
41.0,delete,74.63342952765265,15.0,2.0,74.49539453004246,6.0,0.0,0.0,1.0,0.0
42.0,swap,74.61916396617566,15.0,2.0,74.49539453004246,6.0,0.0,0.0,2.0,0.0
43.0,add,74.62438993851015,16.0,3.0,74.52482483630274,6.0,1.0,0.0,0.0,0.0
44.0,delete,74.65399045576491,16.0,3.0,74.52482483630274,5.0,0.0,0.0,0.0,0.0
45.0,swap,74.63013414026925,16.0,3.0,74.52482483630274,5.0,0.0,0.0,1.0,0.0
46.0,add,74.58100233110025,17.0,1.0,74.44457479987798,8.0,0.0,1.0,0.0,0.0
47.0,add,74.57874078561814,18.0,2.0,74.58100233110025,8.0,0.0,1.0,0.0,0.0
48.0,add,74.58129717321424,18.0,2.0,74.58100233110025,8.0,0.0,1.0,1.0,0.0
49.0,delete,74.5446404073888,18.0,2.0,74.58100233110025,7.0,0.0,1.0,0.0,0.0
50.0,swap,74.58298068462845,18.0,2.0,74.58100233110025,7.0,1.0,1.0,0.0,0.0
51.0,add,74.64946838881286,19.0,3.0,74.64840748163559,6.0,0.0,0.0,0.0,1.0
52.0,delete,74.56874366169157,19.0,3.0,74.64840748163559,5.0,0.0,0.0,0.0,0.0
53.0,swap,74.73660815083531,19.0,3.0,74.64840748163559,5.0,0.0,1.0,0.0,0.0
54.0,swap,74.50530650220686,20.0,3.0,74.50978366420935,6.0,0.0,1.0,0.0,0.0
55.0,add,74.50978366420935,20.0,3.0,74.50978366420935,6.0,0.0,1.0,0.0,1.0
56.0,delete,74.51433883478524,20.0,3.0,74.50978366420935,5.0,0.0,1.0,0.0,0.0
57.0,swap,74.68949671679337,20.0,3.0,74.50978366420935,5.0,1.0,1.0,0.0,0.0
58.0,add,74.65622035299087,21.0,3.0,74.65671535699848,7.0,1.0,0.0,0.0,1.0
59.0,add,74.6644015408951,21.0,3.0,74.65671535699848,7.0,1.0,0.0,1.0,1.0
60.0,delete,74.63416553902063,21.0,3.0,74.65671535699848,7.0,0.0,0.0,0.0,1.0
61.0,swap,74.64215573797043,21.0,3.0,74.65671535699848,6.0,1.0,1.0,0.0,1.0
