budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950916,1.0,1.0,5.808421654950915,10.0,1.0,0.0,0.0,0.0
2.0,delete,6.229370100288219,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,5.020140870121087,1.0,1.0,5.808421654950915,9.0,0.0,1.0,0.0,0.0
4.0,add,5.744034813902239,2.0,2.0,6.229370100288219,9.0,0.0,0.0,0.0,1.0
5.0,delete,6.565356507691618,2.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.565356507691619,2.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,1.0
7.0,delete,6.229370100288218,3.0,1.0,6.276029482393423,9.0,0.0,0.0,0.0,0.0
8.0,add,6.354696035015543,4.0,2.0,6.229370100288218,9.0,0.0,1.0,0.0,0.0
9.0,delete,6.0041092704196775,4.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,0.0
10.0,swap,6.343720561191066,4.0,2.0,6.229370100288218,8.0,0.0,1.0,0.0,0.0
11.0,add,6.565356507691619,5.0,3.0,6.565356507691619,8.0,0.0,0.0,0.0,2.0
12.0,delete,6.862265490454494,5.0,3.0,6.565356507691619,7.0,0.0,0.0,0.0,1.0
13.0,swap,6.9469282719646115,5.0,3.0,6.565356507691619,7.0,0.0,1.0,0.0,1.0
14.0,delete,6.3840264894679555,6.0,1.0,6.400960378781719,9.0,0.0,0.0,0.0,0.0
15.0,add,6.3840264894679555,7.0,2.0,6.3840264894679555,9.0,0.0,0.0,0.0,1.0
16.0,delete,6.742667735615489,7.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,0.0
17.0,swap,6.837911567389752,7.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,1.0
18.0,add,6.837911567389752,8.0,3.0,6.837911567389752,8.0,0.0,0.0,0.0,2.0
