budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.8696825154081719,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
2.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2935038441171352,1.0,1.0,0.873597849947558,3.0,0.0,1.0,0.0,0.0
4.0,add,0.8696825154081719,2.0,2.0,0.8696825154081719,4.0,0.0,0.0,1.0,0.0
5.0,add,0.8657855661243155,2.0,2.0,0.8696825154081719,4.0,0.0,0.0,2.0,0.0
6.0,delete,0.26659909213401584,2.0,2.0,0.8696825154081719,3.0,0.0,0.0,1.0,0.0
7.0,swap,0.873597849947558,2.0,2.0,0.8696825154081719,4.0,0.0,0.0,0.0,1.0
8.0,add,0.873597849947558,3.0,1.0,0.7490695078044466,4.0,0.0,0.0,0.0,1.0
9.0,add,0.873597849947558,4.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
10.0,delete,0.3040764312848323,4.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
11.0,swap,0.11731916609425042,4.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
12.0,add,0.1721723516748124,5.0,2.0,0.3040764312848323,3.0,0.0,0.0,0.0,1.0
13.0,delete,0.10893748078630526,5.0,2.0,0.3040764312848323,2.0,0.0,0.0,0.0,0.0
14.0,swap,0.02103745608180309,5.0,2.0,0.3040764312848323,2.0,0.0,1.0,0.0,0.0
15.0,swap,0.32111003913716574,6.0,2.0,0.2935038441171352,3.0,0.0,1.0,0.0,0.0
16.0,add,0.2935038441171352,6.0,2.0,0.2935038441171352,3.0,0.0,1.0,0.0,1.0
17.0,delete,0.08797489888404104,6.0,2.0,0.2935038441171352,2.0,0.0,1.0,0.0,0.0
18.0,swap,0.057323710919559547,6.0,2.0,0.2935038441171352,2.0,1.0,1.0,0.0,0.0
19.0,add,0.8735978499475604,7.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
20.0,delete,0.08208499862389862,7.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
21.0,swap,0.26659909213401567,7.0,3.0,0.873597849947558,3.0,0.0,0.0,1.0,1.0
22.0,add,0.8475227799416859,8.0,1.0,0.5946850647501588,4.0,0.0,1.0,0.0,0.0
23.0,add,0.8480607578852107,9.0,2.0,0.8475227799416859,4.0,0.0,1.0,0.0,0.0
