budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
2.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,add,0.2848217821726909,2.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
5.0,delete,-0.015824144146880936,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
6.0,swap,-0.10448097672578399,2.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
7.0,add,0.04207897977473339,3.0,2.0,0.04207897977473339,4.0,0.0,0.0,1.0,0.0
8.0,add,0.07697126412136614,3.0,2.0,0.04207897977473339,4.0,1.0,0.0,1.0,0.0
9.0,delete,0.04207897977473338,3.0,2.0,0.04207897977473339,4.0,0.0,0.0,0.0,0.0
10.0,swap,-0.48266453942676113,3.0,2.0,0.04207897977473339,3.0,0.0,1.0,1.0,0.0
11.0,delete,0.28482178217269094,4.0,1.0,0.11233461086817921,3.0,0.0,0.0,0.0,0.0
12.0,add,0.27267931892462943,5.0,2.0,0.28482178217269094,3.0,0.0,1.0,0.0,0.0
13.0,delete,0.3512881771660213,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
14.0,swap,0.3512881771660213,5.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
15.0,add,0.3512881771660213,6.0,3.0,0.3512881771660213,2.0,0.0,0.0,1.0,0.0
16.0,delete,-0.11704094364207562,6.0,3.0,0.3512881771660213,1.0,0.0,0.0,0.0,0.0
17.0,swap,-0.1077207587144986,6.0,3.0,0.3512881771660213,1.0,1.0,0.0,0.0,0.0
18.0,delete,-0.13563389586980043,7.0,1.0,0.16690385215559334,3.0,0.0,0.0,0.0,0.0
19.0,add,0.35128817716602123,8.0,3.0,0.3512881771660213,2.0,1.0,0.0,0.0,1.0
20.0,delete,-0.11704094364207562,8.0,3.0,0.3512881771660213,1.0,0.0,0.0,0.0,1.0
21.0,swap,-0.11704094364207562,8.0,3.0,0.3512881771660213,1.0,1.0,0.0,0.0,1.0
22.0,swap,-0.13563389586980037,9.0,2.0,-0.1356338958698004,3.0,0.0,0.0,1.0,0.0
23.0,add,-0.10484850196717307,9.0,2.0,-0.1356338958698004,3.0,1.0,0.0,1.0,0.0
24.0,delete,-0.4839441553477481,9.0,2.0,-0.1356338958698004,2.0,0.0,0.0,1.0,0.0
25.0,swap,-0.06057428796036787,9.0,2.0,-0.1356338958698004,2.0,1.0,0.0,1.0,0.0
26.0,add,0.2848217821726909,10.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,1.0
27.0,delete,0.3512881771660213,10.0,3.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
28.0,swap,-0.021499390005834253,10.0,3.0,0.2848217821726909,2.0,0.0,1.0,0.0,1.0
