budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.55792845499235,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
2.0,delete,74.57922355224049,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.6202742095072,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
4.0,swap,74.62027420950716,2.0,2.0,74.6202742095072,7.0,0.0,0.0,1.0,0.0
5.0,add,74.5935906431018,2.0,2.0,74.6202742095072,7.0,0.0,1.0,1.0,0.0
6.0,delete,74.49168800593672,2.0,2.0,74.6202742095072,6.0,0.0,0.0,1.0,0.0
7.0,swap,74.49168800593671,2.0,2.0,74.6202742095072,6.0,0.0,0.0,2.0,0.0
8.0,add,74.57922355224049,3.0,2.0,74.57922355224049,7.0,0.0,0.0,0.0,1.0
9.0,delete,74.46459110340069,3.0,2.0,74.57922355224049,6.0,0.0,0.0,0.0,0.0
10.0,swap,74.62861363892578,3.0,2.0,74.57922355224049,6.0,1.0,0.0,0.0,0.0
11.0,add,74.55643576245748,4.0,2.0,74.55792845499235,8.0,0.0,0.0,1.0,0.0
12.0,add,74.57988491528772,4.0,2.0,74.55792845499235,8.0,0.0,1.0,1.0,0.0
13.0,delete,74.62432734125835,4.0,2.0,74.55792845499235,7.0,0.0,0.0,1.0,0.0
14.0,swap,74.6224571700609,4.0,2.0,74.55792845499235,7.0,0.0,0.0,1.0,1.0
15.0,add,74.5559015470189,5.0,1.0,74.58820672881136,8.0,0.0,0.0,0.0,1.0
16.0,delete,74.55316758757426,6.0,1.0,74.56291296170187,7.0,0.0,0.0,0.0,0.0
17.0,add,74.51169891349507,7.0,2.0,74.5559015470189,8.0,0.0,1.0,0.0,1.0
18.0,delete,74.49605353349583,7.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
19.0,swap,74.4872065775996,7.0,2.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
20.0,swap,74.54175174829783,8.0,1.0,74.56350301479793,7.0,0.0,0.0,1.0,0.0
21.0,add,74.55316758757426,9.0,2.0,74.55316758757426,7.0,0.0,0.0,0.0,1.0
22.0,delete,74.71381164012078,9.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
23.0,swap,74.46011683830083,9.0,2.0,74.55316758757426,6.0,0.0,1.0,0.0,0.0
24.0,swap,74.546330645369,10.0,2.0,74.54175174829783,7.0,0.0,0.0,1.0,0.0
25.0,add,74.54332799520601,10.0,2.0,74.54175174829783,7.0,0.0,0.0,2.0,0.0
26.0,delete,74.55316758757426,10.0,2.0,74.54175174829783,7.0,0.0,0.0,0.0,0.0
27.0,swap,74.70152028130487,10.0,2.0,74.54175174829783,6.0,0.0,0.0,2.0,0.0
28.0,add,74.71381164012078,11.0,3.0,74.71381164012078,6.0,1.0,0.0,0.0,0.0
29.0,delete,74.6869539043357,11.0,3.0,74.71381164012078,5.0,0.0,0.0,0.0,0.0
30.0,swap,74.39390652281703,11.0,3.0,74.71381164012078,5.0,0.0,0.0,0.0,1.0
31.0,swap,74.70152028130485,12.0,3.0,74.70152028130487,6.0,0.0,0.0,2.0,0.0
32.0,add,74.46170260760809,12.0,3.0,74.70152028130487,6.0,0.0,0.0,2.0,1.0
33.0,delete,74.6662934301303,12.0,3.0,74.70152028130487,5.0,0.0,0.0,2.0,0.0
34.0,swap,74.67687340544039,12.0,3.0,74.70152028130487,5.0,0.0,0.0,3.0,0.0
35.0,delete,74.53988496986284,13.0,1.0,74.57514432433192,7.0,0.0,0.0,0.0,0.0
36.0,delete,74.62365567522806,14.0,3.0,74.62432734125835,7.0,0.0,0.0,1.0,0.0
37.0,add,74.62432734125835,14.0,3.0,74.62432734125835,7.0,0.0,0.0,1.0,1.0
38.0,delete,74.44950914617456,14.0,3.0,74.62432734125835,6.0,0.0,0.0,1.0,0.0
39.0,swap,74.45646019983218,14.0,3.0,74.62432734125835,6.0,1.0,0.0,1.0,0.0
40.0,swap,74.54076886114966,15.0,1.0,74.58642878973038,7.0,0.0,0.0,0.0,1.0
41.0,add,74.53988496986284,16.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
42.0,delete,74.50231233450025,16.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
43.0,swap,74.50271478857492,16.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,1.0
44.0,add,74.51003434388922,17.0,2.0,74.54076886114966,7.0,0.0,0.0,0.0,2.0
45.0,delete,74.45790152519143,17.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,1.0
46.0,swap,74.38802786725677,17.0,2.0,74.54076886114966,6.0,0.0,0.0,1.0,1.0
47.0,swap,74.62861363892576,18.0,3.0,74.62861363892578,6.0,1.0,0.0,0.0,0.0
48.0,add,74.62861363892578,18.0,3.0,74.62861363892578,6.0,1.0,0.0,0.0,1.0
49.0,delete,74.60651697401975,18.0,3.0,74.62861363892578,5.0,1.0,0.0,0.0,0.0
50.0,swap,74.66309685718227,18.0,3.0,74.62861363892578,6.0,0.0,1.0,0.0,0.0
51.0,add,74.55590154701892,19.0,1.0,74.54968050601225,8.0,1.0,0.0,0.0,0.0
52.0,add,74.57922355224049,20.0,3.0,74.57922355224049,7.0,0.0,0.0,0.0,2.0
53.0,delete,74.46841073917916,20.0,3.0,74.57922355224049,6.0,0.0,0.0,0.0,1.0
54.0,swap,74.46841073917913,20.0,3.0,74.57922355224049,6.0,0.0,0.0,1.0,1.0
55.0,add,74.5559015470189,21.0,2.0,74.55590154701892,8.0,1.0,0.0,0.0,0.0
56.0,add,74.55590154701892,21.0,2.0,74.55590154701892,8.0,1.0,0.0,0.0,1.0
57.0,delete,74.49605353349584,21.0,2.0,74.55590154701892,7.0,1.0,0.0,0.0,0.0
58.0,swap,74.64069480198471,21.0,2.0,74.55590154701892,7.0,1.0,1.0,0.0,0.0
59.0,swap,74.6202742095072,22.0,3.0,74.62027420950716,7.0,0.0,0.0,1.0,0.0
60.0,add,74.63227491313482,22.0,3.0,74.62027420950716,7.0,0.0,0.0,2.0,0.0
61.0,delete,74.46459110340066,22.0,3.0,74.62027420950716,6.0,0.0,0.0,1.0,0.0
62.0,swap,74.51568523273171,22.0,3.0,74.62027420950716,6.0,1.0,0.0,1.0,0.0
63.0,swap,74.6406948019847,23.0,3.0,74.64069480198471,7.0,1.0,1.0,0.0,0.0
64.0,add,74.80668973142596,23.0,3.0,74.64069480198471,7.0,1.0,1.0,0.0,1.0
65.0,delete,74.49266179796606,23.0,3.0,74.64069480198471,6.0,1.0,1.0,0.0,0.0
66.0,swap,74.63372094567683,23.0,3.0,74.64069480198471,6.0,1.0,1.0,1.0,0.0
67.0,add,74.5559015470189,24.0,3.0,74.55590154701892,8.0,1.0,0.0,0.0,1.0
68.0,add,74.55590154701892,24.0,3.0,74.55590154701892,8.0,1.0,0.0,0.0,2.0
69.0,delete,74.63416553902063,24.0,3.0,74.55590154701892,7.0,1.0,0.0,0.0,1.0
70.0,swap,74.62269368766813,24.0,3.0,74.55590154701892,7.0,1.0,1.0,0.0,1.0
