budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,5.521084501744535,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,5.501962747600275,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
4.0,add,5.808421654950915,2.0,2.0,5.808421654950915,10.0,0.0,0.0,0.0,2.0
5.0,delete,6.3840264894679555,2.0,2.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
6.0,swap,5.891621987575354,2.0,2.0,5.808421654950915,9.0,0.0,1.0,0.0,1.0
7.0,add,5.808421654950915,3.0,1.0,5.973122946736284,10.0,0.0,0.0,0.0,1.0
8.0,add,6.3819954555991725,4.0,3.0,6.3840264894679555,9.0,0.0,0.0,1.0,1.0
9.0,delete,6.742667735615489,4.0,3.0,6.3840264894679555,8.0,0.0,0.0,0.0,1.0
10.0,swap,6.384026489467955,4.0,3.0,6.3840264894679555,9.0,1.0,0.0,0.0,0.0
11.0,delete,5.501962747600276,5.0,2.0,6.473179042537643,9.0,0.0,0.0,0.0,1.0
12.0,add,6.742667735615489,6.0,4.0,6.742667735615489,8.0,0.0,0.0,0.0,2.0
13.0,delete,7.035684139845951,6.0,4.0,6.742667735615489,7.0,0.0,0.0,0.0,1.0
14.0,swap,6.905408351975142,6.0,4.0,6.742667735615489,7.0,0.0,1.0,0.0,1.0
15.0,add,5.808421654950915,7.0,1.0,6.282943841467961,10.0,0.0,0.0,0.0,1.0
16.0,delete,6.3840264894679555,8.0,3.0,6.856606990763018,9.0,0.0,0.0,0.0,0.0
17.0,add,7.035684139845951,9.0,5.0,7.035684139845951,7.0,0.0,0.0,0.0,2.0
18.0,delete,7.035684139845951,9.0,5.0,7.035684139845951,7.0,0.0,0.0,0.0,0.0
19.0,swap,7.214522505658881,9.0,5.0,7.035684139845951,6.0,1.0,0.0,0.0,1.0
20.0,delete,6.229370100288379,10.0,2.0,6.645696368333847,9.0,0.0,0.0,0.0,1.0
21.0,delete,6.587569043503996,11.0,4.0,7.080393731299183,7.0,0.0,0.0,0.0,1.0
22.0,swap,6.918470298760287,12.0,5.0,6.905408351975142,7.0,0.0,1.0,0.0,1.0
23.0,add,6.106452982398215,12.0,5.0,6.905408351975142,7.0,1.0,1.0,0.0,1.0
24.0,delete,6.8270517187953415,12.0,5.0,6.905408351975142,6.0,0.0,1.0,0.0,1.0
25.0,swap,6.833156801924664,12.0,5.0,6.905408351975142,6.0,0.0,1.0,0.0,2.0
26.0,delete,6.72005903857372,13.0,3.0,6.797618929481024,8.0,0.0,0.0,0.0,1.0
27.0,add,6.72005903857372,14.0,4.0,6.72005903857372,8.0,0.0,0.0,0.0,2.0
28.0,delete,6.9687260515255645,14.0,4.0,6.72005903857372,7.0,0.0,0.0,0.0,1.0
29.0,swap,7.018399075051151,14.0,4.0,6.72005903857372,7.0,0.0,0.0,0.0,2.0
30.0,add,7.018385892415144,15.0,5.0,7.018399075051151,7.0,1.0,0.0,0.0,2.0
31.0,delete,6.969182797738963,15.0,5.0,7.018399075051151,6.0,0.0,0.0,0.0,2.0
32.0,swap,6.963221550732317,15.0,5.0,7.018399075051151,6.0,1.0,0.0,0.0,2.0
33.0,add,6.43188452195962,16.0,5.0,6.9687260515255645,7.0,0.0,0.0,0.0,2.0
34.0,delete,7.201168121127199,16.0,5.0,6.9687260515255645,6.0,0.0,0.0,0.0,1.0
35.0,swap,6.931008935782315,16.0,5.0,6.9687260515255645,6.0,1.0,0.0,0.0,1.0
36.0,swap,6.699687907818836,17.0,4.0,6.992297328984393,7.0,0.0,0.0,0.0,2.0
37.0,add,7.016111758722263,18.0,6.0,7.018385892415144,7.0,1.0,0.0,0.0,2.0
38.0,add,6.644934306515071,18.0,6.0,7.018385892415144,7.0,1.0,0.0,0.0,3.0
39.0,delete,6.916190743834299,18.0,6.0,7.018385892415144,6.0,1.0,0.0,0.0,2.0
40.0,swap,6.916190743834298,18.0,6.0,7.018385892415144,6.0,1.0,0.0,0.0,3.0
41.0,delete,7.113631298380196,19.0,4.0,6.883196907598675,7.0,0.0,0.0,0.0,1.0
42.0,add,5.838417749917274,20.0,1.0,6.631399429631815,10.0,0.0,1.0,0.0,0.0
43.0,add,6.794931739593233,21.0,5.0,7.113631298380196,7.0,0.0,0.0,0.0,2.0
44.0,delete,7.058453774061363,21.0,5.0,7.113631298380196,6.0,0.0,0.0,0.0,1.0
45.0,swap,7.086493803728616,21.0,5.0,7.113631298380196,6.0,0.0,1.0,0.0,1.0
46.0,swap,7.046467289713677,22.0,6.0,7.086493803728616,6.0,0.0,1.0,0.0,1.0
47.0,add,7.086493803728616,22.0,6.0,7.086493803728616,6.0,0.0,1.0,0.0,2.0
48.0,delete,7.328052977485363,22.0,6.0,7.086493803728616,5.0,0.0,1.0,0.0,1.0
49.0,swap,7.307157673745617,22.0,6.0,7.086493803728616,5.0,0.0,1.0,1.0,1.0
50.0,delete,6.198463037155184,23.0,2.0,6.8099346392760545,9.0,0.0,0.0,0.0,1.0
51.0,delete,6.552392818819367,24.0,4.0,7.029539165902615,7.0,0.0,0.0,0.0,1.0
52.0,add,7.058453774061363,25.0,6.0,7.058453774061363,6.0,0.0,0.0,0.0,2.0
53.0,delete,7.005093342911078,25.0,6.0,7.058453774061363,5.0,0.0,0.0,0.0,1.0
54.0,swap,7.005093342911078,25.0,6.0,7.058453774061363,5.0,1.0,0.0,0.0,1.0
55.0,delete,6.837911567389752,26.0,3.0,6.898674305164936,8.0,0.0,0.0,0.0,1.0
56.0,add,6.2793513697542505,27.0,4.0,6.837911567389752,8.0,0.0,0.0,0.0,2.0
57.0,delete,6.837911567389752,27.0,4.0,6.837911567389752,8.0,0.0,0.0,0.0,0.0
