budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
4.0,add,0.8696825154081719,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
5.0,delete,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
6.0,swap,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
7.0,add,0.873597849947558,3.0,1.0,0.8726190163127114,4.0,0.0,0.0,0.0,1.0
8.0,add,0.08663741797017321,4.0,2.0,0.873597849947558,4.0,0.0,1.0,0.0,1.0
9.0,delete,0.2677858814627575,4.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
10.0,swap,0.3040764312848323,4.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
11.0,add,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
12.0,delete,0.3040764312848323,5.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
13.0,swap,0.3040764312848323,5.0,3.0,0.873597849947558,3.0,0.0,0.0,1.0,0.0
14.0,add,0.09472063208523038,6.0,1.0,0.5913022144030354,4.0,0.0,1.0,0.0,0.0
15.0,add,0.873597849947558,7.0,3.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
16.0,delete,0.11731916609425042,7.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
17.0,swap,0.8684525127287878,7.0,3.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
18.0,add,0.8696825154081719,8.0,3.0,0.8696825154081719,4.0,0.0,0.0,1.0,1.0
19.0,add,0.8696825154081719,8.0,3.0,0.8696825154081719,4.0,0.0,0.0,1.0,2.0
20.0,delete,0.8696825154081719,8.0,3.0,0.8696825154081719,4.0,0.0,0.0,1.0,0.0
21.0,swap,0.11719131559423906,8.0,3.0,0.8696825154081719,3.0,0.0,0.0,1.0,2.0
22.0,add,0.873597849947558,9.0,2.0,0.7191842754453853,4.0,0.0,0.0,0.0,2.0
23.0,add,0.873597849947558,10.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,2.0
24.0,delete,0.11731916609425042,10.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
25.0,swap,0.02447512335735363,10.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,2.0
