budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.13563389586980035,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
4.0,add,0.28482178217269094,2.0,2.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
5.0,delete,0.3512881771660213,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
6.0,swap,0.04999834151390212,2.0,2.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
7.0,delete,-0.13563389586980037,3.0,1.0,0.24273252075632631,3.0,0.0,0.0,0.0,0.0
8.0,add,0.04207897977473338,4.0,2.0,0.04207897977473339,4.0,1.0,0.0,0.0,0.0
9.0,add,-0.12469064098746033,4.0,2.0,0.04207897977473339,4.0,1.0,1.0,0.0,0.0
10.0,delete,0.2848217821726909,4.0,2.0,0.04207897977473339,3.0,1.0,0.0,0.0,0.0
11.0,swap,0.2848217821726909,4.0,2.0,0.04207897977473339,3.0,1.0,0.0,0.0,1.0
12.0,add,0.3512881771660213,5.0,3.0,0.3512881771660213,2.0,0.0,0.0,1.0,0.0
13.0,delete,-0.11704094364207562,5.0,3.0,0.3512881771660213,1.0,0.0,0.0,0.0,0.0
14.0,swap,-0.11704094364207562,5.0,3.0,0.3512881771660213,1.0,1.0,0.0,0.0,0.0
15.0,add,0.04207897977473338,6.0,1.0,0.10582217658147766,4.0,0.0,0.0,0.0,1.0
16.0,add,0.28482178217269094,7.0,3.0,0.28482178217269094,3.0,0.0,0.0,1.0,1.0
17.0,delete,0.28482178217269094,7.0,3.0,0.28482178217269094,3.0,0.0,0.0,0.0,0.0
18.0,swap,0.41040032038346685,7.0,3.0,0.28482178217269094,2.0,0.0,1.0,0.0,1.0
19.0,delete,0.2848217821726909,8.0,1.0,0.17568603288783854,3.0,0.0,0.0,0.0,0.0
20.0,add,-0.08085407090030464,9.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
21.0,delete,-0.060574287960367845,9.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
22.0,swap,-0.015824144146880992,9.0,2.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
23.0,add,0.03416812203086805,10.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
24.0,delete,-0.13563389586980037,10.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
25.0,swap,-0.13563389586980037,10.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,2.0
26.0,add,0.22656213738293046,11.0,2.0,0.3162164167253849,3.0,1.0,0.0,0.0,0.0
27.0,add,0.2518513143061152,12.0,3.0,0.22656213738293046,3.0,1.0,0.0,0.0,0.0
28.0,add,-0.06368536670591238,12.0,3.0,0.22656213738293046,3.0,2.0,0.0,0.0,0.0
29.0,delete,0.28482178217269094,12.0,3.0,0.22656213738293046,3.0,0.0,0.0,0.0,0.0
30.0,swap,0.28482178217269094,12.0,3.0,0.22656213738293046,3.0,0.0,0.0,0.0,1.0
31.0,swap,0.04709185991298853,13.0,3.0,0.04999834151390212,2.0,0.0,1.0,0.0,0.0
32.0,add,0.16678666622577853,13.0,3.0,0.04999834151390212,2.0,0.0,2.0,0.0,0.0
33.0,delete,-0.0927152416906568,13.0,3.0,0.04999834151390212,1.0,0.0,1.0,0.0,0.0
34.0,swap,-0.3860502909836983,13.0,3.0,0.04999834151390212,1.0,0.0,1.0,0.0,1.0
35.0,swap,-0.13563389586980037,14.0,2.0,-0.13563389586980035,3.0,1.0,0.0,0.0,0.0
36.0,add,-0.13563389586980035,14.0,2.0,-0.13563389586980035,3.0,2.0,0.0,0.0,0.0
37.0,delete,-0.25531696128072956,14.0,2.0,-0.13563389586980035,2.0,1.0,0.0,0.0,0.0
38.0,swap,-0.1979997279838972,14.0,2.0,-0.13563389586980035,2.0,2.0,0.0,0.0,0.0
39.0,swap,0.41066676355171483,15.0,4.0,0.41040032038346685,2.0,0.0,1.0,0.0,1.0
40.0,add,0.4104003203834669,15.0,4.0,0.41040032038346685,2.0,0.0,1.0,1.0,1.0
41.0,delete,-0.060574287960367845,15.0,4.0,0.41040032038346685,2.0,0.0,0.0,0.0,1.0
42.0,swap,0.41040032038346685,15.0,4.0,0.41040032038346685,2.0,0.0,1.0,0.0,1.0
43.0,add,0.26047026586950395,16.0,2.0,0.2630869563529489,3.0,0.0,1.0,0.0,0.0
44.0,add,0.26969744570280296,17.0,3.0,0.26047026586950395,3.0,0.0,1.0,0.0,0.0
45.0,add,0.260470265869504,17.0,3.0,0.26047026586950395,3.0,1.0,1.0,0.0,0.0
46.0,delete,-0.027843240464218377,17.0,3.0,0.26047026586950395,2.0,0.0,1.0,0.0,0.0
47.0,swap,-0.17894757144338067,17.0,3.0,0.26047026586950395,3.0,0.0,0.0,0.0,1.0
48.0,add,0.21841420470203146,18.0,2.0,-0.13563389586980037,3.0,0.0,1.0,0.0,0.0
49.0,delete,-0.015824144146880895,18.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
50.0,swap,-0.0605742879603679,18.0,2.0,-0.13563389586980037,2.0,0.0,0.0,1.0,0.0
51.0,add,0.28482178217269083,19.0,4.0,0.28482178217269094,3.0,0.0,0.0,1.0,1.0
52.0,add,0.2848217821726909,19.0,4.0,0.28482178217269094,3.0,0.0,0.0,2.0,1.0
53.0,delete,0.35128817716602123,19.0,4.0,0.28482178217269094,2.0,0.0,0.0,1.0,1.0
54.0,swap,0.28482178217269094,19.0,4.0,0.28482178217269094,3.0,1.0,0.0,0.0,1.0
55.0,delete,-0.13563389586980043,20.0,1.0,0.14705274654739148,3.0,0.0,0.0,0.0,0.0
56.0,add,-0.13563389586980043,21.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,0.0
57.0,delete,-0.015824144146880936,21.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
58.0,swap,-0.015824144146880936,21.0,2.0,-0.13563389586980043,2.0,1.0,0.0,0.0,0.0
59.0,add,0.28482178217269094,22.0,4.0,0.28482178217269094,3.0,0.0,0.0,0.0,1.0
60.0,delete,-0.060574287960367845,22.0,4.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
61.0,swap,-0.09800607711039819,22.0,4.0,0.28482178217269094,2.0,0.0,1.0,0.0,0.0
62.0,delete,-0.060574287960367845,23.0,2.0,0.11712361676197283,2.0,0.0,0.0,0.0,0.0
63.0,swap,-0.015824144146880992,24.0,3.0,-0.015824144146880992,2.0,0.0,0.0,1.0,0.0
64.0,add,-0.015824144146880992,24.0,3.0,-0.015824144146880992,2.0,0.0,0.0,1.0,1.0
65.0,delete,-0.5318175981133538,24.0,3.0,-0.015824144146880992,1.0,0.0,0.0,1.0,0.0
66.0,swap,-0.5318175981133538,24.0,3.0,-0.015824144146880992,1.0,0.0,0.0,1.0,1.0
67.0,delete,0.2848217821726909,25.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
68.0,add,0.2848217821726909,25.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,1.0
69.0,delete,0.34608259623952903,25.0,3.0,0.2848217821726909,2.0,1.0,0.0,0.0,0.0
70.0,swap,0.5831088489218516,25.0,3.0,0.2848217821726909,2.0,1.0,1.0,0.0,0.0
71.0,add,0.042078979774733405,26.0,1.0,0.140994246344627,4.0,0.0,0.0,1.0,0.0
72.0,add,0.042078979774733405,27.0,2.0,0.042078979774733405,4.0,0.0,0.0,1.0,0.0
73.0,add,0.058148924037587424,27.0,2.0,0.042078979774733405,4.0,0.0,1.0,1.0,0.0
74.0,delete,-0.13563389586980037,27.0,2.0,0.042078979774733405,3.0,0.0,0.0,1.0,0.0
75.0,swap,0.28482178217269083,27.0,2.0,0.042078979774733405,3.0,0.0,0.0,2.0,0.0
76.0,swap,0.2848217821726909,28.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,1.0
77.0,add,0.28482178217269083,28.0,3.0,0.2848217821726909,3.0,2.0,0.0,0.0,1.0
78.0,delete,0.2848217821726909,28.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,0.0
79.0,swap,-0.01582414414688091,28.0,3.0,0.2848217821726909,2.0,1.0,0.0,0.0,2.0
80.0,delete,-0.13563389586980037,29.0,2.0,0.35673135833589065,3.0,1.0,0.0,0.0,0.0
81.0,swap,0.5828038906072354,30.0,4.0,0.5831088489218516,2.0,1.0,1.0,0.0,0.0
82.0,add,0.5831088489218517,30.0,4.0,0.5831088489218516,2.0,1.0,1.0,1.0,0.0
83.0,delete,0.40697166029666776,30.0,4.0,0.5831088489218516,1.0,1.0,1.0,0.0,0.0
84.0,swap,0.40697166029666765,30.0,4.0,0.5831088489218516,1.0,1.0,1.0,1.0,0.0
85.0,swap,-0.060574287960367845,31.0,3.0,0.5125929818088547,2.0,1.0,0.0,0.0,1.0
