budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
2.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.53639250129517,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
4.0,add,74.55590154701893,2.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
5.0,delete,74.57922355224049,2.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
6.0,swap,74.62234247519794,2.0,2.0,74.5559015470189,7.0,0.0,0.0,1.0,1.0
7.0,add,74.53988496986284,3.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
8.0,delete,74.69767574259765,3.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
9.0,swap,74.4374273315449,3.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,1.0
10.0,swap,74.54069841246688,4.0,2.0,74.53639250129517,7.0,1.0,0.0,0.0,0.0
11.0,add,74.53639250129517,4.0,2.0,74.53639250129517,7.0,1.0,0.0,0.0,1.0
12.0,delete,74.62367345511038,4.0,2.0,74.53639250129517,6.0,1.0,0.0,0.0,0.0
13.0,swap,74.54474357945048,4.0,2.0,74.53639250129517,7.0,0.0,1.0,0.0,0.0
14.0,add,74.5559015470189,5.0,1.0,74.57834228036907,8.0,0.0,0.0,0.0,1.0
15.0,add,74.5559015470189,6.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
16.0,delete,74.62027420950717,6.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
17.0,swap,74.54677282747481,6.0,2.0,74.5559015470189,7.0,0.0,1.0,0.0,1.0
18.0,delete,74.62027420950717,7.0,1.0,74.55371825346705,7.0,0.0,0.0,0.0,0.0
19.0,add,74.62027420950717,8.0,2.0,74.62027420950717,7.0,0.0,0.0,0.0,1.0
20.0,delete,74.46459110340069,8.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,0.0
21.0,swap,74.46053372007306,8.0,2.0,74.62027420950717,6.0,0.0,1.0,0.0,0.0
22.0,swap,74.55235756849585,9.0,1.0,74.55638008992362,7.0,0.0,0.0,1.0,0.0
23.0,swap,74.5526497982512,10.0,2.0,74.55235756849585,7.0,0.0,0.0,1.0,0.0
24.0,add,74.55235756849585,10.0,2.0,74.55235756849585,7.0,1.0,0.0,1.0,0.0
25.0,delete,74.55316758757426,10.0,2.0,74.55235756849585,7.0,0.0,0.0,0.0,0.0
26.0,swap,74.39032032179172,10.0,2.0,74.55235756849585,6.0,1.0,0.0,1.0,0.0
27.0,swap,74.62234247519793,11.0,3.0,74.62234247519794,7.0,0.0,0.0,1.0,1.0
28.0,add,74.61316899446315,11.0,3.0,74.62234247519794,7.0,0.0,0.0,2.0,1.0
29.0,delete,74.44448781867585,11.0,3.0,74.62234247519794,6.0,0.0,0.0,1.0,1.0
30.0,swap,74.6468599251483,11.0,3.0,74.62234247519794,7.0,0.0,1.0,1.0,0.0
31.0,add,74.56456882800605,12.0,1.0,74.57658987216512,8.0,0.0,1.0,0.0,0.0
32.0,add,74.69767574259765,13.0,3.0,74.69767574259765,6.0,0.0,0.0,0.0,1.0
33.0,delete,74.61327609623662,13.0,3.0,74.69767574259765,5.0,0.0,0.0,0.0,0.0
34.0,swap,74.66153842253149,13.0,3.0,74.69767574259765,5.0,1.0,0.0,0.0,0.0
35.0,delete,74.55316758757426,14.0,1.0,74.57754877433837,7.0,0.0,0.0,0.0,0.0
36.0,add,74.55316758757426,15.0,2.0,74.55316758757426,7.0,0.0,0.0,0.0,1.0
37.0,delete,74.65642499256553,15.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
38.0,swap,74.41656190998987,15.0,2.0,74.55316758757426,6.0,0.0,1.0,0.0,0.0
39.0,add,74.59380863134602,16.0,2.0,74.56456882800605,8.0,0.0,1.0,0.0,0.0
40.0,add,74.55659825601947,16.0,2.0,74.56456882800605,8.0,0.0,1.0,0.0,1.0
41.0,delete,74.5559015470189,16.0,2.0,74.56456882800605,8.0,0.0,0.0,0.0,0.0
42.0,swap,74.60420752184645,16.0,2.0,74.56456882800605,7.0,0.0,1.0,0.0,1.0
43.0,add,74.6555863924147,17.0,3.0,74.62027420950717,7.0,0.0,1.0,0.0,1.0
44.0,delete,74.46459110340069,17.0,3.0,74.62027420950717,6.0,0.0,0.0,0.0,1.0
45.0,swap,74.64494185732724,17.0,3.0,74.62027420950717,6.0,1.0,0.0,0.0,1.0
46.0,add,74.68766497839923,18.0,3.0,74.53988496986284,7.0,0.0,1.0,0.0,1.0
47.0,delete,74.69520564932549,18.0,3.0,74.53988496986284,6.0,0.0,0.0,0.0,1.0
48.0,swap,74.68874283244854,18.0,3.0,74.53988496986284,6.0,0.0,1.0,0.0,1.0
49.0,delete,74.39026641504398,19.0,2.0,74.66754150099086,6.0,0.0,0.0,0.0,0.0
50.0,add,74.65642499256553,20.0,3.0,74.65642499256553,6.0,0.0,0.0,0.0,1.0
51.0,delete,74.60294294120673,20.0,3.0,74.65642499256553,5.0,0.0,0.0,0.0,0.0
52.0,swap,74.68253856315204,20.0,3.0,74.65642499256553,5.0,1.0,0.0,0.0,0.0
53.0,add,74.55095291665695,21.0,3.0,74.55316758757426,7.0,0.0,0.0,1.0,1.0
54.0,delete,74.4374273315449,21.0,3.0,74.55316758757426,6.0,0.0,0.0,0.0,1.0
55.0,swap,74.68748663782905,21.0,3.0,74.55316758757426,6.0,1.0,0.0,0.0,1.0
56.0,swap,74.63215649648045,22.0,3.0,74.60420752184645,7.0,0.0,1.0,0.0,1.0
57.0,add,74.60420752184645,22.0,3.0,74.60420752184645,7.0,0.0,1.0,0.0,2.0
58.0,delete,74.42366340924451,22.0,3.0,74.60420752184645,6.0,0.0,1.0,0.0,1.0
59.0,swap,74.77009971899322,22.0,3.0,74.60420752184645,6.0,0.0,2.0,0.0,1.0
60.0,delete,74.62311429224816,23.0,3.0,74.62367345511038,6.0,1.0,0.0,0.0,0.0
61.0,add,74.62367345511038,23.0,3.0,74.62367345511038,6.0,1.0,0.0,0.0,1.0
62.0,delete,74.58475882595549,23.0,3.0,74.62367345511038,5.0,1.0,0.0,0.0,0.0
63.0,swap,74.52157280964865,23.0,3.0,74.62367345511038,5.0,1.0,1.0,0.0,0.0
64.0,add,74.5559015470189,24.0,3.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
65.0,add,74.60234456348579,24.0,3.0,74.5559015470189,8.0,1.0,0.0,0.0,2.0
66.0,delete,74.5559015470189,24.0,3.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
67.0,swap,74.5559015470189,24.0,3.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
68.0,add,74.62108599718736,25.0,3.0,74.62027420950717,7.0,0.0,1.0,0.0,1.0
69.0,delete,74.75015567724908,25.0,3.0,74.62027420950717,6.0,0.0,0.0,0.0,1.0
70.0,swap,74.72879610243093,25.0,3.0,74.62027420950717,6.0,0.0,0.0,0.0,2.0
71.0,add,74.62056980145893,26.0,2.0,74.68007799659364,7.0,0.0,0.0,1.0,0.0
72.0,add,74.62076052736057,27.0,3.0,74.62056980145893,7.0,0.0,0.0,1.0,0.0
73.0,add,74.61317091946246,27.0,3.0,74.62056980145893,7.0,0.0,0.0,2.0,0.0
74.0,delete,74.6979004647746,27.0,3.0,74.62056980145893,6.0,0.0,0.0,1.0,0.0
75.0,swap,74.46644374168896,27.0,3.0,74.62056980145893,6.0,0.0,0.0,1.0,1.0
76.0,add,74.53470781718951,28.0,2.0,74.65287460750902,7.0,0.0,0.0,1.0,0.0
77.0,add,74.46459110340069,29.0,3.0,74.46459110340069,6.0,0.0,0.0,0.0,1.0
78.0,delete,74.22641515629765,29.0,3.0,74.46459110340069,5.0,0.0,0.0,0.0,0.0
79.0,swap,74.72053429287739,29.0,3.0,74.46459110340069,5.0,0.0,0.0,0.0,1.0
80.0,swap,74.53182909909734,30.0,1.0,74.55256233408498,7.0,0.0,1.0,0.0,0.0
81.0,add,74.59164960366176,31.0,3.0,74.59380863134602,8.0,0.0,1.0,0.0,0.0
82.0,add,74.58708641470191,31.0,3.0,74.59380863134602,8.0,0.0,1.0,0.0,1.0
83.0,delete,74.57672296268018,31.0,3.0,74.59380863134602,7.0,0.0,1.0,0.0,0.0
84.0,swap,74.50722789640757,31.0,3.0,74.59380863134602,7.0,0.0,1.0,1.0,0.0
85.0,swap,74.51682401943502,32.0,2.0,74.53182909909734,7.0,0.0,1.0,0.0,0.0
86.0,add,74.53182909909734,32.0,2.0,74.53182909909734,7.0,1.0,1.0,0.0,0.0
87.0,delete,74.64709014880812,32.0,2.0,74.53182909909734,6.0,0.0,1.0,0.0,0.0
88.0,swap,74.37872730244011,32.0,2.0,74.53182909909734,6.0,0.0,2.0,0.0,0.0
89.0,add,74.53340490957632,33.0,3.0,74.53470781718951,7.0,0.0,0.0,1.0,0.0
90.0,add,74.53470781718951,33.0,3.0,74.53470781718951,7.0,1.0,0.0,1.0,0.0
91.0,delete,74.4056417990148,33.0,3.0,74.53470781718951,6.0,0.0,0.0,1.0,0.0
92.0,swap,74.44158471891271,33.0,3.0,74.53470781718951,6.0,1.0,0.0,1.0,0.0
93.0,add,74.50943487787144,34.0,3.0,74.57922355224049,7.0,1.0,0.0,0.0,1.0
94.0,delete,74.44448781867587,34.0,3.0,74.57922355224049,6.0,0.0,0.0,0.0,1.0
95.0,swap,74.44448781867585,34.0,3.0,74.57922355224049,6.0,0.0,0.0,1.0,1.0
96.0,swap,74.54179356252456,35.0,3.0,74.54474357945048,7.0,0.0,1.0,0.0,0.0
97.0,add,74.54474357945048,35.0,3.0,74.54474357945048,7.0,0.0,1.0,0.0,1.0
98.0,delete,74.37770987709575,35.0,3.0,74.54474357945048,6.0,0.0,1.0,0.0,0.0
99.0,swap,74.39161541670497,35.0,3.0,74.54474357945048,6.0,0.0,1.0,0.0,1.0
100.0,delete,74.49605353349583,36.0,1.0,74.57542640730902,7.0,0.0,0.0,0.0,0.0
101.0,swap,74.54992005313356,37.0,3.0,74.54677282747481,7.0,0.0,1.0,0.0,1.0
102.0,add,74.54677282747481,37.0,3.0,74.54677282747481,7.0,0.0,1.0,0.0,2.0
103.0,delete,74.39912864371601,37.0,3.0,74.54677282747481,6.0,0.0,1.0,0.0,1.0
104.0,swap,74.75712639920938,37.0,3.0,74.54677282747481,6.0,0.0,2.0,0.0,1.0
105.0,add,74.4592433183093,38.0,2.0,74.49605353349583,7.0,0.0,1.0,0.0,0.0
106.0,delete,74.60592683865944,38.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
107.0,swap,74.38892371536731,38.0,2.0,74.49605353349583,6.0,0.0,0.0,1.0,0.0
108.0,add,74.5559015470189,39.0,1.0,74.56855139155581,8.0,0.0,0.0,0.0,1.0
109.0,add,74.60234456348579,40.0,2.0,74.5559015470189,8.0,0.0,0.0,0.0,2.0
110.0,delete,74.57922355224049,40.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
111.0,swap,74.57083012024849,40.0,2.0,74.5559015470189,7.0,0.0,1.0,0.0,1.0
112.0,add,74.60234456348579,41.0,3.0,74.60234456348579,8.0,0.0,0.0,0.0,3.0
113.0,delete,74.54465735248613,41.0,3.0,74.60234456348579,7.0,0.0,0.0,0.0,2.0
114.0,swap,74.74773276314129,41.0,3.0,74.60234456348579,7.0,0.0,0.0,0.0,3.0
115.0,add,74.53910394639675,42.0,3.0,74.57922355224049,7.0,0.0,0.0,1.0,1.0
116.0,delete,74.46459110340069,42.0,3.0,74.57922355224049,6.0,0.0,0.0,0.0,1.0
