budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.2293701002883815,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,5.956954487668417,1.0,1.0,5.808421654950915,9.0,0.0,1.0,0.0,0.0
4.0,add,6.220654615712005,2.0,2.0,6.2293701002883815,9.0,0.0,0.0,1.0,0.0
5.0,delete,6.565356507691749,2.0,2.0,6.2293701002883815,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.5846937037087265,2.0,2.0,6.2293701002883815,8.0,0.0,0.0,1.0,0.0
7.0,delete,6.229370100288379,3.0,1.0,6.400018731850215,9.0,0.0,0.0,0.0,0.0
8.0,swap,6.5846937037087265,4.0,3.0,6.5846937037087265,8.0,0.0,0.0,1.0,0.0
9.0,add,6.5846937037087265,4.0,3.0,6.5846937037087265,8.0,0.0,0.0,1.0,1.0
10.0,delete,7.025682129445821,4.0,3.0,6.5846937037087265,7.0,0.0,0.0,1.0,0.0
11.0,swap,6.858821142445881,4.0,3.0,6.5846937037087265,7.0,0.0,0.0,1.0,1.0
12.0,swap,6.4755102936476305,5.0,2.0,6.727716876603577,8.0,0.0,1.0,0.0,0.0
13.0,add,6.565356507691749,6.0,3.0,6.565356507691749,8.0,0.0,0.0,0.0,1.0
14.0,delete,6.862265490454484,6.0,3.0,6.565356507691749,7.0,0.0,0.0,0.0,0.0
15.0,swap,6.422930317423471,6.0,3.0,6.565356507691749,7.0,0.0,1.0,0.0,0.0
16.0,delete,6.229370100288218,7.0,1.0,6.554569101247363,9.0,0.0,0.0,0.0,0.0
17.0,delete,7.025682129445821,8.0,4.0,7.025682129445821,7.0,0.0,0.0,1.0,0.0
18.0,add,7.024331637788569,8.0,4.0,7.025682129445821,7.0,0.0,0.0,2.0,0.0
19.0,delete,7.234808274194581,8.0,4.0,7.025682129445821,6.0,0.0,0.0,1.0,0.0
20.0,swap,7.240598870457312,8.0,4.0,7.025682129445821,6.0,1.0,0.0,1.0,0.0
21.0,delete,6.854132666572807,9.0,3.0,7.110220608266419,7.0,0.0,0.0,1.0,0.0
22.0,swap,6.565356507691749,10.0,2.0,6.863058932284056,8.0,0.0,0.0,1.0,0.0
23.0,swap,7.2405988704573145,11.0,5.0,7.240598870457312,6.0,1.0,0.0,1.0,0.0
24.0,add,6.952688593608922,11.0,5.0,7.240598870457312,6.0,1.0,0.0,1.0,1.0
25.0,delete,7.2405988704573145,11.0,5.0,7.240598870457312,6.0,1.0,0.0,0.0,0.0
26.0,swap,7.3805276362125865,11.0,5.0,7.240598870457312,5.0,1.0,1.0,1.0,0.0
27.0,delete,7.234808274194581,12.0,5.0,7.234808274194581,6.0,0.0,0.0,1.0,0.0
28.0,add,7.227674286266767,12.0,5.0,7.234808274194581,6.0,0.0,1.0,1.0,0.0
29.0,delete,7.23480827419458,12.0,5.0,7.234808274194581,6.0,0.0,0.0,0.0,0.0
30.0,swap,7.385069546399277,12.0,5.0,7.234808274194581,5.0,0.0,1.0,1.0,0.0
31.0,delete,6.851384755347611,13.0,3.0,7.164429289978302,7.0,0.0,0.0,1.0,0.0
32.0,delete,7.240598870457386,14.0,4.0,7.2634337310499575,6.0,0.0,0.0,1.0,0.0
33.0,delete,7.240598870457386,15.0,5.0,7.240598870457386,6.0,0.0,0.0,1.0,0.0
34.0,add,7.240598870457386,15.0,5.0,7.240598870457386,6.0,0.0,0.0,1.0,1.0
35.0,delete,7.4161744864462396,15.0,5.0,7.240598870457386,5.0,0.0,0.0,1.0,0.0
36.0,swap,7.155234175483683,15.0,5.0,7.240598870457386,5.0,1.0,0.0,1.0,0.0
37.0,swap,7.404256726308629,16.0,6.0,7.385069546399277,5.0,0.0,1.0,1.0,0.0
38.0,add,7.432947275416676,16.0,6.0,7.385069546399277,5.0,0.0,2.0,1.0,0.0
39.0,delete,7.510070120638066,16.0,6.0,7.385069546399277,5.0,0.0,0.0,1.0,0.0
40.0,swap,7.39115807895912,16.0,6.0,7.385069546399277,5.0,0.0,1.0,1.0,0.0
41.0,delete,7.240598870457314,17.0,4.0,7.31062900927674,6.0,0.0,0.0,1.0,0.0
42.0,delete,6.384026489467956,18.0,1.0,6.959078819355784,9.0,0.0,0.0,0.0,0.0
43.0,delete,7.2405988704573145,19.0,5.0,7.240598870457314,6.0,0.0,0.0,1.0,0.0
44.0,add,7.240598870457314,19.0,5.0,7.240598870457314,6.0,0.0,0.0,1.0,1.0
45.0,delete,7.4161744864462396,19.0,5.0,7.240598870457314,5.0,0.0,0.0,1.0,0.0
46.0,swap,7.234203109694025,19.0,5.0,7.240598870457314,5.0,0.0,0.0,2.0,0.0
47.0,delete,7.025682129445823,20.0,5.0,7.025682129445821,7.0,0.0,0.0,1.0,0.0
48.0,add,7.025682129445821,20.0,5.0,7.025682129445821,7.0,0.0,0.0,1.0,1.0
49.0,delete,7.234808274194581,20.0,5.0,7.025682129445821,6.0,0.0,0.0,1.0,0.0
50.0,swap,7.220474133402837,20.0,5.0,7.025682129445821,6.0,0.0,0.0,2.0,0.0
51.0,swap,6.3894582730527105,21.0,2.0,7.120964672271311,8.0,0.0,1.0,0.0,0.0
52.0,add,7.024623590679069,22.0,5.0,7.024331637788569,7.0,0.0,0.0,2.0,0.0
53.0,add,6.97973515196131,22.0,5.0,7.024331637788569,7.0,0.0,1.0,2.0,0.0
54.0,delete,7.2395234633124526,22.0,5.0,7.024331637788569,6.0,0.0,0.0,2.0,0.0
55.0,swap,7.048921136379078,22.0,5.0,7.024331637788569,7.0,0.0,0.0,2.0,0.0
56.0,swap,7.357983338411676,23.0,5.0,7.424700349544354,5.0,0.0,0.0,1.0,1.0
