budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2865047968601896,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.26620866986289704,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,1.0,0.0
4.0,add,0.12259260718244477,2.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
5.0,delete,0.2865047968601896,2.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
6.0,swap,0.055691316911308957,2.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,2.0
7.0,add,0.2865047968601896,3.0,2.0,0.2865047968601896,3.0,0.0,0.0,0.0,1.0
8.0,delete,0.08208499862389883,3.0,2.0,0.2865047968601896,2.0,0.0,0.0,0.0,0.0
9.0,swap,0.08199070871257738,3.0,2.0,0.2865047968601896,2.0,0.0,0.0,1.0,0.0
10.0,swap,0.26620866986289704,4.0,2.0,0.26620866986289704,3.0,0.0,0.0,1.0,0.0
11.0,add,0.26620866986289704,4.0,2.0,0.26620866986289704,3.0,0.0,0.0,1.0,1.0
12.0,delete,0.2677858814627586,4.0,2.0,0.26620866986289704,3.0,0.0,0.0,0.0,0.0
13.0,swap,0.02333429918978672,4.0,2.0,0.26620866986289704,2.0,1.0,0.0,1.0,0.0
14.0,add,0.27520288931694725,5.0,1.0,0.34986332160629824,4.0,0.0,1.0,0.0,0.0
15.0,add,0.24638531704528474,6.0,2.0,0.27520288931694725,4.0,0.0,1.0,0.0,0.0
16.0,add,0.15639846589888856,6.0,2.0,0.27520288931694725,4.0,0.0,2.0,0.0,0.0
17.0,delete,0.9346645654712499,6.0,2.0,0.27520288931694725,4.0,0.0,0.0,0.0,0.0
18.0,swap,0.08210714076837108,6.0,2.0,0.27520288931694725,3.0,0.0,1.0,1.0,0.0
19.0,add,0.2865047968601896,7.0,3.0,0.2865047968601896,3.0,0.0,0.0,0.0,2.0
20.0,delete,0.2865047968601896,7.0,3.0,0.2865047968601896,3.0,0.0,0.0,0.0,0.0
21.0,swap,0.1261598172181565,7.0,3.0,0.2865047968601896,2.0,1.0,0.0,0.0,1.0
22.0,add,0.9346645654712499,8.0,1.0,0.31611508965537255,4.0,1.0,0.0,0.0,0.0
23.0,add,0.9346645654712504,9.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
24.0,add,0.9346645654712499,9.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
25.0,delete,0.2865047968601901,9.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,0.0
26.0,swap,0.2677858814627587,9.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,1.0
27.0,add,0.9346645654712499,10.0,3.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
28.0,add,0.9346645654712504,10.0,3.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
29.0,delete,0.2677858814627586,10.0,3.0,0.9346645654712504,3.0,1.0,0.0,0.0,0.0
30.0,swap,0.03781254590246829,10.0,3.0,0.9346645654712504,3.0,2.0,0.0,0.0,0.0
31.0,add,0.9346645654712504,11.0,3.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
32.0,add,0.9318978893120237,11.0,3.0,0.9346645654712499,4.0,1.0,0.0,1.0,1.0
33.0,delete,0.9346645654712499,11.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
