budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473339,1.0,1.0,0.04207897977473338,4.0,0.0,0.0,1.0,0.0
2.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.21040081190094787,1.0,1.0,0.04207897977473338,3.0,1.0,0.0,0.0,0.0
4.0,swap,0.18874872279881924,2.0,2.0,0.21040081190094787,3.0,1.0,0.0,0.0,0.0
5.0,add,0.21040081190094787,2.0,2.0,0.21040081190094787,3.0,1.0,0.0,0.0,1.0
6.0,delete,0.6119657728550516,2.0,2.0,0.21040081190094787,2.0,1.0,0.0,0.0,0.0
7.0,swap,0.6119657728550516,2.0,2.0,0.21040081190094787,2.0,1.0,0.0,0.0,1.0
8.0,swap,-0.08085407090030462,3.0,1.0,0.36669637846216363,3.0,0.0,0.0,0.0,1.0
9.0,delete,0.4988076710367104,4.0,3.0,0.6119657728550516,2.0,1.0,0.0,0.0,0.0
10.0,add,0.6119657728550516,4.0,3.0,0.6119657728550516,2.0,1.0,0.0,1.0,0.0
11.0,delete,0.7948689552417532,4.0,3.0,0.6119657728550516,1.0,1.0,0.0,0.0,0.0
12.0,swap,-0.0695193019082161,4.0,3.0,0.6119657728550516,2.0,1.0,0.0,0.0,0.0
13.0,delete,0.5695804016922764,5.0,2.0,0.48961777401607004,2.0,1.0,0.0,0.0,0.0
14.0,swap,-0.13563389586980037,6.0,1.0,0.37803012002982617,3.0,0.0,0.0,0.0,1.0
15.0,add,-0.1356338958698004,7.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,0.0
16.0,delete,-0.060574287960367845,7.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
17.0,swap,-0.015824144146880936,7.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,1.0
18.0,delete,0.5760952869028508,8.0,3.0,0.5695804016922764,2.0,1.0,0.0,0.0,0.0
19.0,add,0.5695804016922764,8.0,3.0,0.5695804016922764,2.0,1.0,0.0,0.0,1.0
20.0,delete,-0.015824144146880895,8.0,3.0,0.5695804016922764,2.0,0.0,0.0,0.0,0.0
21.0,swap,0.002834875772037284,8.0,3.0,0.5695804016922764,2.0,1.0,0.0,0.0,0.0
22.0,swap,0.6072947799820486,9.0,3.0,0.6119657728550516,2.0,1.0,0.0,0.0,1.0
23.0,add,0.6119657728550516,9.0,3.0,0.6119657728550516,2.0,1.0,0.0,0.0,2.0
24.0,delete,0.7948689552417532,9.0,3.0,0.6119657728550516,1.0,1.0,0.0,0.0,1.0
25.0,swap,0.47290219727193594,9.0,3.0,0.6119657728550516,1.0,1.0,0.0,1.0,1.0
26.0,swap,-0.13563389586980037,10.0,2.0,0.6197994956411682,3.0,0.0,0.0,0.0,1.0
27.0,delete,0.6977458654886104,11.0,4.0,0.7948689552417532,1.0,1.0,0.0,0.0,1.0
28.0,add,0.7948689552417534,11.0,4.0,0.7948689552417532,1.0,1.0,0.0,1.0,1.0
