budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.54787219559593,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
2.0,delete,74.55316758757426,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.55316117944005,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
4.0,add,74.5531675875743,2.0,2.0,74.55316758757426,7.0,0.0,0.0,1.0,0.0
5.0,delete,74.7008621979592,2.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
6.0,swap,74.71381164012078,2.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,1.0
7.0,swap,74.55316466117978,3.0,2.0,74.55316117944005,7.0,0.0,0.0,1.0,0.0
8.0,add,74.55316117944005,3.0,2.0,74.55316117944005,7.0,1.0,0.0,1.0,0.0
9.0,delete,74.70086219795918,3.0,2.0,74.55316117944005,6.0,0.0,0.0,1.0,0.0
10.0,swap,74.71380446342944,3.0,2.0,74.55316117944005,6.0,0.0,0.0,2.0,0.0
11.0,add,74.54789725472432,4.0,2.0,74.54787219559593,8.0,0.0,0.0,1.0,0.0
12.0,add,74.5560505771702,4.0,2.0,74.54787219559593,8.0,0.0,0.0,1.0,1.0
13.0,delete,74.49807708639018,4.0,2.0,74.54787219559593,7.0,0.0,0.0,1.0,0.0
14.0,swap,74.66782217547771,4.0,2.0,74.54787219559593,7.0,0.0,0.0,1.0,1.0
15.0,delete,74.53988496986284,5.0,1.0,74.63025225330713,7.0,0.0,0.0,0.0,0.0
16.0,swap,74.69291355720347,6.0,1.0,74.61483073628969,7.0,0.0,1.0,0.0,0.0
17.0,add,74.5363883240005,7.0,2.0,74.53988496986284,7.0,0.0,1.0,0.0,0.0
18.0,delete,74.4374273315449,7.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
19.0,swap,74.43742733154488,7.0,2.0,74.53988496986284,6.0,0.0,0.0,1.0,0.0
20.0,swap,74.68933348601537,8.0,2.0,74.69291355720347,7.0,0.0,1.0,0.0,0.0
21.0,add,74.44402089705248,8.0,2.0,74.69291355720347,7.0,0.0,2.0,0.0,0.0
22.0,delete,74.50798385761557,8.0,2.0,74.69291355720347,6.0,0.0,1.0,0.0,0.0
23.0,swap,74.61100831437496,8.0,2.0,74.69291355720347,6.0,1.0,1.0,0.0,0.0
24.0,add,74.5559015470189,9.0,1.0,74.56354385787168,8.0,0.0,0.0,0.0,1.0
25.0,add,74.54609523151865,10.0,2.0,74.5559015470189,8.0,0.0,0.0,0.0,2.0
26.0,delete,74.62234247519794,10.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
27.0,swap,74.53022580859162,10.0,2.0,74.5559015470189,7.0,0.0,1.0,0.0,1.0
28.0,swap,74.71375746617763,11.0,3.0,74.71380446342944,6.0,0.0,0.0,2.0,0.0
29.0,add,74.71380446342944,11.0,3.0,74.71380446342944,6.0,0.0,0.0,2.0,1.0
30.0,delete,74.67386652647558,11.0,3.0,74.71380446342944,5.0,0.0,0.0,2.0,0.0
31.0,swap,74.68695390433567,11.0,3.0,74.71380446342944,5.0,0.0,0.0,2.0,1.0
32.0,swap,74.62027420950717,12.0,1.0,74.62912829672348,7.0,0.0,0.0,0.0,1.0
33.0,add,74.71096263756009,13.0,2.0,74.62027420950717,7.0,0.0,1.0,0.0,1.0
34.0,delete,74.69767574259764,13.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,1.0
35.0,swap,74.67277998434876,13.0,2.0,74.62027420950717,6.0,0.0,1.0,0.0,1.0
36.0,add,74.7008621979592,14.0,3.0,74.7008621979592,6.0,0.0,0.0,0.0,1.0
37.0,delete,74.67400169321328,14.0,3.0,74.7008621979592,5.0,0.0,0.0,0.0,0.0
38.0,swap,74.64941514736917,14.0,3.0,74.7008621979592,5.0,0.0,1.0,0.0,0.0
39.0,swap,74.67080832889629,15.0,3.0,74.67277998434876,6.0,0.0,1.0,0.0,1.0
40.0,add,74.70060313795697,15.0,3.0,74.67277998434876,6.0,0.0,1.0,1.0,1.0
41.0,delete,74.6910654414007,15.0,3.0,74.67277998434876,5.0,0.0,1.0,0.0,1.0
42.0,swap,74.62668083260061,15.0,3.0,74.67277998434876,5.0,1.0,1.0,0.0,1.0
43.0,delete,74.49605353349583,16.0,1.0,74.5905832735203,7.0,0.0,0.0,0.0,0.0
44.0,add,74.62234247519794,17.0,3.0,74.62234247519794,7.0,1.0,0.0,0.0,1.0
45.0,delete,74.69520564932549,17.0,3.0,74.62234247519794,6.0,0.0,0.0,0.0,1.0
46.0,swap,74.41352000901887,17.0,3.0,74.62234247519794,6.0,0.0,1.0,0.0,1.0
47.0,add,74.70363621331934,18.0,3.0,74.71096263756009,7.0,0.0,1.0,0.0,1.0
48.0,add,74.71096263756009,18.0,3.0,74.71096263756009,7.0,0.0,1.0,0.0,2.0
49.0,delete,74.70648181808012,18.0,3.0,74.71096263756009,6.0,0.0,1.0,0.0,1.0
50.0,swap,74.68776870557984,18.0,3.0,74.71096263756009,6.0,1.0,1.0,0.0,1.0
51.0,swap,74.6950242234639,19.0,3.0,74.68933348601537,7.0,0.0,1.0,0.0,0.0
52.0,add,74.68988967935074,19.0,3.0,74.68933348601537,7.0,0.0,2.0,0.0,0.0
53.0,delete,74.49216768818685,19.0,3.0,74.68933348601537,6.0,0.0,1.0,0.0,0.0
54.0,swap,74.57795824081893,19.0,3.0,74.68933348601537,6.0,0.0,2.0,0.0,0.0
55.0,add,74.49605353349583,20.0,2.0,74.49605353349583,7.0,0.0,0.0,0.0,1.0
56.0,delete,74.60592683865944,20.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
57.0,swap,74.69752988746907,20.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,1.0
58.0,add,74.62235712077961,21.0,1.0,74.56694604043564,8.0,0.0,1.0,0.0,0.0
59.0,delete,74.70086219795918,22.0,3.0,74.70086219795918,6.0,0.0,0.0,1.0,0.0
60.0,add,74.70086219795918,22.0,3.0,74.70086219795918,6.0,0.0,0.0,1.0,1.0
61.0,delete,74.61304723775822,22.0,3.0,74.70086219795918,5.0,0.0,0.0,1.0,0.0
62.0,swap,74.645477708764,22.0,3.0,74.70086219795918,5.0,0.0,0.0,1.0,1.0
63.0,add,74.6222796637916,23.0,2.0,74.62235712077961,8.0,0.0,1.0,0.0,0.0
64.0,add,74.62235712077963,23.0,2.0,74.62235712077961,8.0,1.0,1.0,0.0,0.0
65.0,delete,74.44450589199329,23.0,2.0,74.62235712077961,7.0,0.0,1.0,0.0,0.0
66.0,swap,74.44450589199329,23.0,2.0,74.62235712077961,7.0,0.0,1.0,0.0,1.0
67.0,add,74.71381164012078,24.0,3.0,74.71381164012078,6.0,0.0,0.0,0.0,2.0
68.0,delete,74.6869539043357,24.0,3.0,74.71381164012078,5.0,0.0,0.0,0.0,1.0
69.0,swap,74.62153164711664,24.0,3.0,74.71381164012078,5.0,0.0,0.0,0.0,2.0
70.0,add,74.69752988746907,25.0,3.0,74.69752988746907,6.0,0.0,0.0,0.0,2.0
71.0,delete,74.69711875362403,25.0,3.0,74.69752988746907,5.0,0.0,0.0,0.0,1.0
72.0,swap,74.697118753624,25.0,3.0,74.69752988746907,5.0,0.0,0.0,1.0,1.0
73.0,add,74.6715542721624,26.0,3.0,74.60592683865944,6.0,0.0,1.0,0.0,0.0
74.0,delete,74.57581005116269,26.0,3.0,74.60592683865944,5.0,0.0,0.0,0.0,0.0
75.0,swap,74.68860945638788,26.0,3.0,74.60592683865944,5.0,0.0,0.0,1.0,0.0
76.0,add,74.69767574259764,27.0,3.0,74.69767574259764,6.0,0.0,0.0,0.0,2.0
77.0,delete,74.60904903502511,27.0,3.0,74.69767574259764,5.0,0.0,0.0,0.0,1.0
78.0,swap,74.6662265386515,27.0,3.0,74.69767574259764,5.0,0.0,0.0,0.0,2.0
79.0,add,74.62027420950717,28.0,2.0,74.7039624024199,7.0,0.0,0.0,0.0,2.0
80.0,add,74.55316758757426,29.0,3.0,74.5531675875743,7.0,0.0,0.0,1.0,0.0
81.0,add,74.49545476858138,29.0,3.0,74.5531675875743,7.0,0.0,0.0,1.0,1.0
82.0,delete,74.55316758757426,29.0,3.0,74.5531675875743,7.0,0.0,0.0,0.0,0.0
83.0,swap,74.43742733154488,29.0,3.0,74.5531675875743,6.0,0.0,0.0,2.0,0.0
84.0,swap,74.55308268357399,30.0,3.0,74.55316466117978,7.0,0.0,0.0,1.0,0.0
85.0,add,74.55352454243122,30.0,3.0,74.55316466117978,7.0,0.0,0.0,2.0,0.0
86.0,delete,74.44692019544799,30.0,3.0,74.55316466117978,6.0,0.0,0.0,1.0,0.0
87.0,swap,74.38571477909828,30.0,3.0,74.55316466117978,6.0,0.0,0.0,1.0,1.0
88.0,swap,74.66782217547768,31.0,3.0,74.66782217547771,7.0,0.0,0.0,1.0,1.0
89.0,add,74.66782217547771,31.0,3.0,74.66782217547771,7.0,0.0,0.0,1.0,2.0
90.0,delete,74.62234247519795,31.0,3.0,74.66782217547771,7.0,0.0,0.0,1.0,0.0
91.0,swap,74.69313789624084,31.0,3.0,74.66782217547771,6.0,0.0,1.0,1.0,1.0
92.0,swap,74.62027420950716,32.0,1.0,74.63464887486025,7.0,0.0,0.0,1.0,0.0
93.0,add,74.62235712077961,33.0,3.0,74.62235712077963,8.0,1.0,1.0,0.0,0.0
94.0,add,74.62235712077963,33.0,3.0,74.62235712077963,8.0,1.0,1.0,0.0,1.0
95.0,delete,74.4445058919933,33.0,3.0,74.62235712077963,7.0,1.0,1.0,0.0,0.0
96.0,swap,74.55590154701889,33.0,3.0,74.62235712077963,8.0,2.0,0.0,0.0,0.0
97.0,swap,74.62027420950717,34.0,2.0,74.62027420950716,7.0,0.0,0.0,1.0,0.0
98.0,add,74.62237972530082,34.0,2.0,74.62027420950716,7.0,0.0,0.0,2.0,0.0
99.0,delete,74.52482483630271,34.0,2.0,74.62027420950716,6.0,0.0,0.0,1.0,0.0
100.0,swap,74.6202742095072,34.0,2.0,74.62027420950716,7.0,0.0,0.0,1.0,0.0
101.0,add,74.49605353349583,35.0,3.0,74.49605353349583,7.0,0.0,0.0,0.0,2.0
102.0,delete,74.49605353349583,35.0,3.0,74.49605353349583,7.0,0.0,0.0,0.0,0.0
103.0,swap,74.63114092273649,35.0,3.0,74.49605353349583,6.0,0.0,0.0,1.0,1.0
104.0,swap,74.62027420950717,36.0,3.0,74.6202742095072,7.0,0.0,0.0,1.0,0.0
105.0,add,74.6202741785145,36.0,3.0,74.6202742095072,7.0,0.0,0.0,2.0,0.0
106.0,delete,74.64494185732727,36.0,3.0,74.6202742095072,6.0,0.0,0.0,1.0,0.0
107.0,swap,74.67691179517196,36.0,3.0,74.6202742095072,6.0,0.0,0.0,2.0,0.0
108.0,add,74.62247142471071,37.0,3.0,74.62237972530082,7.0,0.0,0.0,2.0,0.0
109.0,add,74.62542529440663,37.0,3.0,74.62237972530082,7.0,0.0,0.0,2.0,1.0
110.0,delete,74.64715552860608,37.0,3.0,74.62237972530082,6.0,0.0,0.0,2.0,0.0
111.0,swap,74.65698042471011,37.0,3.0,74.62237972530082,7.0,1.0,0.0,1.0,0.0
112.0,add,74.53643757072682,38.0,3.0,74.5363883240005,7.0,0.0,1.0,0.0,0.0
113.0,add,74.53837497984888,38.0,3.0,74.5363883240005,7.0,0.0,1.0,1.0,0.0
114.0,delete,74.53988496986284,38.0,3.0,74.5363883240005,7.0,0.0,0.0,0.0,0.0
115.0,swap,74.63991211056884,38.0,3.0,74.5363883240005,6.0,1.0,1.0,0.0,0.0
116.0,add,74.55598354284601,39.0,3.0,74.5560505771702,8.0,0.0,0.0,1.0,1.0
117.0,add,74.5560505771702,39.0,3.0,74.5560505771702,8.0,1.0,0.0,1.0,1.0
118.0,delete,74.50234905263363,39.0,3.0,74.5560505771702,7.0,0.0,0.0,1.0,1.0
119.0,swap,74.53599150560996,39.0,3.0,74.5560505771702,7.0,1.0,0.0,1.0,1.0
120.0,delete,74.64494185732727,40.0,2.0,74.66765676471798,6.0,0.0,0.0,0.0,1.0
121.0,swap,74.58815301944797,41.0,2.0,74.67238754504066,6.0,1.0,0.0,0.0,1.0
122.0,swap,74.61298980189814,42.0,3.0,74.61100831437496,6.0,1.0,1.0,0.0,0.0
123.0,add,74.61100831437496,42.0,3.0,74.61100831437496,6.0,1.0,1.0,0.0,1.0
124.0,delete,74.61099238853176,42.0,3.0,74.61100831437496,6.0,0.0,1.0,0.0,0.0
