budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.229370100288219,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,5.521084501744536,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
4.0,add,6.229370100288218,2.0,2.0,6.229370100288219,9.0,1.0,0.0,0.0,0.0
5.0,delete,6.73766673041529,2.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.308898903127134,2.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,1.0
7.0,delete,5.501962747600276,3.0,1.0,6.376326458529715,9.0,0.0,0.0,0.0,0.0
8.0,add,6.737666730415288,4.0,3.0,6.73766673041529,8.0,0.0,0.0,1.0,0.0
9.0,delete,7.007094084834156,4.0,3.0,6.73766673041529,7.0,0.0,0.0,0.0,0.0
10.0,swap,6.831901789420548,4.0,3.0,6.73766673041529,7.0,1.0,0.0,0.0,0.0
11.0,delete,6.576788776352446,5.0,2.0,6.828582333771321,8.0,0.0,0.0,0.0,0.0
12.0,add,7.007094084834156,6.0,4.0,7.007094084834156,7.0,0.0,0.0,0.0,1.0
13.0,delete,6.926646534799279,6.0,4.0,7.007094084834156,6.0,0.0,0.0,0.0,0.0
14.0,swap,7.077130647093818,6.0,4.0,7.007094084834156,6.0,0.0,1.0,0.0,0.0
15.0,delete,6.3840264894679555,7.0,1.0,6.597632602455736,9.0,0.0,0.0,0.0,0.0
16.0,delete,7.025682129445821,8.0,3.0,7.004491337890352,7.0,0.0,0.0,0.0,0.0
17.0,add,7.025682129445821,9.0,4.0,7.025682129445821,7.0,0.0,0.0,0.0,1.0
18.0,delete,6.959726364450001,9.0,4.0,7.025682129445821,6.0,0.0,0.0,0.0,0.0
19.0,swap,7.2045911538280025,9.0,4.0,7.025682129445821,6.0,0.0,1.0,0.0,0.0
20.0,delete,6.009905279586272,10.0,2.0,6.926472596277886,8.0,0.0,0.0,0.0,0.0
21.0,swap,7.195840171072929,11.0,5.0,7.2045911538280025,6.0,0.0,1.0,0.0,0.0
22.0,add,6.757290270733773,11.0,5.0,7.2045911538280025,6.0,0.0,1.0,0.0,1.0
23.0,delete,7.335259473047745,11.0,5.0,7.2045911538280025,5.0,0.0,1.0,0.0,0.0
24.0,swap,7.119450876728191,11.0,5.0,7.2045911538280025,5.0,0.0,2.0,0.0,0.0
25.0,delete,7.026464368123197,12.0,3.0,7.053457326692808,7.0,0.0,0.0,0.0,0.0
26.0,add,6.663418221414008,13.0,4.0,7.026464368123197,7.0,0.0,0.0,0.0,1.0
27.0,delete,7.236355873709786,13.0,4.0,7.026464368123197,6.0,0.0,0.0,0.0,0.0
28.0,swap,6.971055984505913,13.0,4.0,7.026464368123197,6.0,0.0,0.0,1.0,0.0
29.0,swap,7.220474133402839,14.0,4.0,7.122486389082129,6.0,0.0,0.0,1.0,0.0
30.0,swap,7.220474133402838,15.0,5.0,7.220474133402839,6.0,0.0,0.0,1.0,0.0
31.0,add,7.220474133402839,15.0,5.0,7.220474133402839,6.0,0.0,0.0,1.0,1.0
32.0,delete,7.486665895913269,15.0,5.0,7.220474133402839,5.0,0.0,0.0,1.0,0.0
33.0,swap,6.631924245507528,15.0,5.0,7.220474133402839,5.0,0.0,1.0,1.0,0.0
34.0,add,6.536523114000063,16.0,5.0,7.025682129445821,7.0,0.0,0.0,0.0,2.0
35.0,delete,7.354952808987815,16.0,5.0,7.025682129445821,6.0,0.0,0.0,0.0,1.0
36.0,swap,6.933553809240041,16.0,5.0,7.025682129445821,7.0,0.0,1.0,0.0,0.0
37.0,swap,6.883962862825272,17.0,4.0,6.831901789420548,7.0,1.0,0.0,0.0,0.0
38.0,add,6.836176619078843,17.0,4.0,6.831901789420548,7.0,1.0,0.0,1.0,0.0
39.0,delete,6.707920286070093,17.0,4.0,6.831901789420548,6.0,1.0,0.0,0.0,0.0
40.0,swap,6.73432351610282,17.0,4.0,6.831901789420548,6.0,1.0,0.0,0.0,1.0
41.0,swap,7.123367920418818,18.0,5.0,7.077130647093818,6.0,0.0,1.0,0.0,0.0
42.0,add,6.670794445124891,18.0,5.0,7.077130647093818,6.0,0.0,1.0,0.0,1.0
43.0,delete,7.337489547693547,18.0,5.0,7.077130647093818,5.0,0.0,1.0,0.0,0.0
44.0,swap,7.337489547693547,18.0,5.0,7.077130647093818,5.0,1.0,1.0,0.0,0.0
45.0,delete,5.521084501744535,19.0,1.0,6.864831119854604,9.0,0.0,0.0,0.0,0.0
46.0,swap,7.218035055171638,20.0,4.0,7.109254421604925,6.0,0.0,0.0,0.0,1.0
47.0,add,6.945524799343108,21.0,5.0,7.218035055171638,6.0,0.0,0.0,0.0,2.0
48.0,delete,7.199663828474617,21.0,5.0,7.218035055171638,5.0,0.0,0.0,0.0,1.0
49.0,swap,7.199439598718086,21.0,5.0,7.218035055171638,5.0,1.0,0.0,0.0,1.0
50.0,delete,6.5846937037087265,22.0,2.0,6.9812668774348525,8.0,0.0,0.0,0.0,0.0
51.0,add,6.65857752923807,23.0,5.0,7.007094084834156,7.0,0.0,0.0,0.0,2.0
52.0,delete,6.926646534799279,23.0,5.0,7.007094084834156,6.0,0.0,0.0,0.0,1.0
53.0,swap,7.224279775722917,23.0,5.0,7.007094084834156,6.0,0.0,1.0,0.0,1.0
54.0,add,7.236355873709787,24.0,5.0,7.236355873709786,6.0,0.0,0.0,1.0,0.0
55.0,delete,7.2149939650257915,24.0,5.0,7.236355873709786,5.0,0.0,0.0,0.0,0.0
56.0,swap,7.214993965025791,24.0,5.0,7.236355873709786,5.0,0.0,0.0,0.0,1.0
57.0,delete,7.2405988704573865,25.0,4.0,7.225674919367789,6.0,0.0,0.0,0.0,0.0
