budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.26659909213401567,1.0,1.0,0.873597849947558,3.0,0.0,0.0,1.0,0.0
4.0,add,0.873597849947558,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
5.0,add,0.873597849947558,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
6.0,delete,0.2677858814627581,2.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
7.0,swap,0.2677858814627581,2.0,2.0,0.873597849947558,3.0,1.0,0.0,1.0,0.0
8.0,add,0.873597849947558,3.0,1.0,0.6312730625536381,4.0,1.0,0.0,0.0,0.0
9.0,add,0.873597849947558,4.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
10.0,add,0.8684525127287896,4.0,2.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
11.0,delete,0.2677858814627575,4.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
12.0,swap,0.08208499862389862,4.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
13.0,add,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
14.0,add,0.12714258558052785,5.0,3.0,0.873597849947558,4.0,1.0,1.0,0.0,0.0
15.0,delete,0.873597849947558,5.0,3.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
16.0,swap,0.873597849947558,5.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
17.0,add,0.873597849947558,6.0,1.0,0.6335586100644254,4.0,0.0,0.0,0.0,1.0
18.0,add,0.873597849947558,7.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
19.0,delete,0.3040764312848323,7.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
20.0,swap,0.11731916609425042,7.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
21.0,change,0.873597849947558,8.0,2.0,0.7243067970741519,4.0,1.0,0.0,0.0,0.0
22.0,change,0.873597849947558,9.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
23.0,add,0.70015323960831,9.0,3.0,0.873597849947558,4.0,1.0,1.0,0.0,0.0
24.0,delete,0.873597849947558,9.0,3.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
25.0,swap,0.1839642702167073,9.0,3.0,0.873597849947558,3.0,1.0,1.0,0.0,0.0
26.0,add,0.873597849947558,10.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
27.0,delete,0.3040764312848323,10.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
28.0,swap,0.11731916609425042,10.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
29.0,change,0.873597849947558,11.0,2.0,0.6478029609511609,4.0,1.0,0.0,0.0,0.0
30.0,change,0.873597849947558,12.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
31.0,add,0.873597849947558,12.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
32.0,delete,0.2677858814627581,12.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
33.0,swap,0.2677858814627575,12.0,3.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
34.0,add,0.873597849947558,13.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
35.0,add,0.873597849947558,13.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,2.0
36.0,delete,0.30407643128483264,13.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
37.0,swap,0.30276636134333035,13.0,3.0,0.873597849947558,3.0,1.0,0.0,1.0,1.0
38.0,add,0.873597849947558,14.0,4.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
39.0,delete,0.2677858814627575,14.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
40.0,swap,0.04436144177290667,14.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
41.0,swap,0.873597849947558,15.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
42.0,add,0.8684525127287892,15.0,4.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
43.0,delete,0.3040764312848323,15.0,4.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
44.0,swap,0.03890313344175093,15.0,4.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
45.0,add,0.7287181468597818,16.0,1.0,0.5861784583582882,4.0,0.0,1.0,0.0,0.0
46.0,add,0.8325034522696022,17.0,2.0,0.7287181468597818,4.0,0.0,1.0,0.0,0.0
47.0,add,0.7287181468597818,17.0,2.0,0.7287181468597818,4.0,0.0,1.0,0.0,1.0
48.0,delete,0.5024170758393123,17.0,2.0,0.7287181468597818,3.0,0.0,1.0,0.0,0.0
49.0,swap,0.25410693729432116,17.0,2.0,0.7287181468597818,3.0,1.0,1.0,0.0,0.0
50.0,add,0.8675175207708005,18.0,3.0,0.8325034522696022,4.0,0.0,1.0,0.0,0.0
51.0,add,0.8325034522696027,18.0,3.0,0.8325034522696022,4.0,1.0,1.0,0.0,0.0
52.0,delete,0.873597849947558,18.0,3.0,0.8325034522696022,4.0,0.0,0.0,0.0,0.0
53.0,swap,0.09817266092330541,18.0,3.0,0.8325034522696022,3.0,0.0,2.0,0.0,0.0
54.0,change,0.7454475359360377,19.0,2.0,0.7008589872361737,4.0,0.0,1.0,0.0,0.0
55.0,change,0.6437275973891095,20.0,3.0,0.7454475359360377,4.0,0.0,1.0,0.0,0.0
56.0,add,0.7454475359360377,20.0,3.0,0.7454475359360377,4.0,1.0,1.0,0.0,0.0
57.0,delete,0.873597849947558,20.0,3.0,0.7454475359360377,4.0,0.0,0.0,0.0,0.0
58.0,swap,0.27862272262240306,20.0,3.0,0.7454475359360377,3.0,0.0,1.0,0.0,1.0
59.0,delete,0.3978886627466969,21.0,3.0,0.5024170758393123,3.0,0.0,1.0,0.0,0.0
60.0,add,0.5024170758393123,21.0,3.0,0.5024170758393123,3.0,0.0,1.0,0.0,1.0
61.0,delete,0.13448315332252994,21.0,3.0,0.5024170758393123,2.0,0.0,1.0,0.0,0.0
62.0,swap,0.06784515300536915,21.0,3.0,0.5024170758393123,2.0,0.0,1.0,0.0,1.0
63.0,add,0.873597849947558,22.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
64.0,add,0.873597849947558,22.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
65.0,delete,0.3040764312848323,22.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
66.0,swap,0.2677858814627575,22.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
67.0,change,0.873597849947558,23.0,2.0,0.6385311725180528,4.0,1.0,0.0,0.0,0.0
68.0,change,0.873597849947558,24.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
69.0,add,0.873597849947558,24.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
70.0,delete,0.3040764312848323,24.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
71.0,swap,0.2665990921340155,24.0,3.0,0.873597849947558,3.0,1.0,0.0,1.0,0.0
72.0,add,0.873597849947558,25.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
73.0,add,0.873597849947558,25.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,2.0
74.0,delete,0.873597849947558,25.0,4.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
75.0,swap,0.10812507923979141,25.0,4.0,0.873597849947558,3.0,1.0,1.0,0.0,1.0
76.0,change,0.873597849947558,26.0,2.0,0.6509316832095893,4.0,1.0,0.0,0.0,0.0
77.0,change,0.873597849947558,27.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
78.0,add,0.8696825154081719,27.0,3.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
79.0,delete,0.3040764312848323,27.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
80.0,swap,0.873597849947558,27.0,3.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
81.0,add,0.873597849947558,28.0,4.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
82.0,delete,0.3040764312848323,28.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
83.0,swap,0.11731916609425042,28.0,4.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
84.0,add,0.8684525127287896,29.0,3.0,0.8684525127287896,4.0,1.0,0.0,1.0,0.0
85.0,add,0.8633374806385159,29.0,3.0,0.8684525127287896,4.0,1.0,0.0,2.0,0.0
86.0,delete,0.2662086698628963,29.0,3.0,0.8684525127287896,3.0,1.0,0.0,1.0,0.0
87.0,swap,0.873597849947558,29.0,3.0,0.8684525127287896,4.0,2.0,0.0,0.0,0.0
88.0,add,0.8696825154081739,30.0,2.0,0.74800980518131,4.0,1.0,0.0,1.0,0.0
89.0,add,0.8696825154081719,31.0,3.0,0.8696825154081739,4.0,1.0,0.0,1.0,0.0
90.0,add,0.6039630995430991,31.0,3.0,0.8696825154081739,4.0,1.0,1.0,1.0,0.0
91.0,delete,0.26659909213401595,31.0,3.0,0.8696825154081739,3.0,1.0,0.0,1.0,0.0
92.0,swap,0.873597849947558,31.0,3.0,0.8696825154081739,4.0,2.0,0.0,0.0,0.0
93.0,swap,0.873597849947558,32.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
94.0,add,0.8684525127287892,32.0,4.0,0.873597849947558,4.0,2.0,0.0,1.0,0.0
95.0,delete,0.2677858814627575,32.0,4.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
96.0,swap,0.2662086698628966,32.0,4.0,0.873597849947558,3.0,2.0,0.0,1.0,0.0
97.0,add,0.873597849947558,33.0,3.0,0.7205032958060047,4.0,2.0,0.0,0.0,0.0
98.0,add,0.873597849947558,34.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
99.0,add,0.873597849947558,34.0,4.0,0.873597849947558,4.0,2.0,0.0,0.0,1.0
100.0,delete,0.2677858814627575,34.0,4.0,0.873597849947558,3.0,2.0,0.0,0.0,0.0
101.0,swap,0.2677858814627575,34.0,4.0,0.873597849947558,3.0,2.0,0.0,0.0,1.0
