budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,swap,0.2848217821726909,2.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
5.0,add,0.26384126767424126,2.0,2.0,0.28482178217269094,3.0,1.0,0.0,1.0,0.0
6.0,delete,-0.015824144146880895,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,1.0,0.0
7.0,swap,-0.01582414414688091,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,2.0,0.0
8.0,swap,-0.13563389586980043,3.0,1.0,0.16036730874517224,3.0,0.0,0.0,0.0,1.0
9.0,swap,0.2848217821726909,4.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
10.0,add,0.2848217821726909,4.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,1.0
11.0,delete,-0.06057428796036786,4.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
12.0,swap,-0.015824144146880895,4.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,1.0
13.0,add,0.26059798474686574,5.0,3.0,0.26384126767424126,3.0,1.0,0.0,1.0,0.0
14.0,add,0.2641357644627078,5.0,3.0,0.26384126767424126,3.0,2.0,0.0,1.0,0.0
15.0,delete,-0.04275025089129089,5.0,3.0,0.26384126767424126,2.0,1.0,0.0,1.0,0.0
16.0,swap,-0.04293005449291439,5.0,3.0,0.26384126767424126,3.0,1.0,1.0,0.0,0.0
17.0,swap,0.28482178217269083,6.0,1.0,0.11417865885139729,3.0,1.0,0.0,0.0,0.0
18.0,swap,0.28482178217269083,7.0,2.0,0.28482178217269083,3.0,1.0,0.0,0.0,0.0
