budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.5559015470189,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
2.0,delete,74.55316758757426,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.55664808390776,1.0,1.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
4.0,swap,74.55523124736435,2.0,2.0,74.55664808390776,7.0,1.0,0.0,0.0,0.0
5.0,add,74.55664808390777,2.0,2.0,74.55664808390776,7.0,2.0,0.0,0.0,0.0
6.0,delete,74.56669742471823,2.0,2.0,74.55664808390776,6.0,1.0,0.0,0.0,0.0
7.0,swap,74.55916598688279,2.0,2.0,74.55664808390776,6.0,1.0,0.0,1.0,0.0
8.0,swap,74.62234247519794,3.0,1.0,74.55887816535619,7.0,0.0,0.0,1.0,0.0
9.0,swap,74.62234247519794,4.0,2.0,74.62234247519794,7.0,0.0,0.0,1.0,0.0
10.0,add,74.62234247519794,4.0,2.0,74.62234247519794,7.0,1.0,0.0,1.0,0.0
11.0,delete,74.6906445033927,4.0,2.0,74.62234247519794,6.0,0.0,0.0,1.0,0.0
12.0,swap,74.53766453633271,4.0,2.0,74.62234247519794,7.0,0.0,1.0,0.0,0.0
13.0,delete,74.6906445033927,5.0,3.0,74.6906445033927,6.0,0.0,0.0,1.0,0.0
14.0,add,74.6906445033927,5.0,3.0,74.6906445033927,6.0,0.0,0.0,1.0,1.0
15.0,delete,74.67804878238847,5.0,3.0,74.6906445033927,5.0,0.0,0.0,1.0,0.0
16.0,swap,74.65717189609609,5.0,3.0,74.6906445033927,5.0,0.0,0.0,2.0,0.0
17.0,swap,74.50365739688031,6.0,1.0,74.6147312126693,7.0,1.0,0.0,0.0,0.0
18.0,delete,74.62234247519794,7.0,2.0,74.68143083773253,7.0,0.0,0.0,0.0,0.0
19.0,delete,74.67804878238846,8.0,4.0,74.67804878238847,5.0,0.0,0.0,1.0,0.0
20.0,add,74.67804878238847,8.0,4.0,74.67804878238847,5.0,0.0,0.0,1.0,1.0
21.0,delete,74.6844528291427,8.0,4.0,74.67804878238847,4.0,0.0,0.0,1.0,0.0
22.0,swap,74.67822256683291,8.0,4.0,74.67804878238847,4.0,1.0,0.0,1.0,0.0
23.0,swap,74.65717189609612,9.0,4.0,74.65717189609609,5.0,0.0,0.0,2.0,0.0
24.0,add,74.65717189609609,9.0,4.0,74.65717189609609,5.0,0.0,0.0,2.0,1.0
25.0,delete,74.70568958119618,9.0,4.0,74.65717189609609,4.0,0.0,0.0,2.0,0.0
26.0,swap,74.18118274061584,9.0,4.0,74.65717189609609,4.0,0.0,1.0,2.0,0.0
27.0,add,74.54513557576101,10.0,2.0,74.55316758757426,7.0,0.0,0.0,0.0,1.0
28.0,delete,74.65642499256553,10.0,2.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
29.0,swap,74.43742733154487,10.0,2.0,74.55316758757426,6.0,0.0,0.0,1.0,0.0
30.0,swap,74.53644761614925,11.0,3.0,74.53766453633271,7.0,0.0,1.0,0.0,0.0
31.0,add,74.53766408416251,11.0,3.0,74.53766453633271,7.0,0.0,1.0,1.0,0.0
32.0,delete,74.65650655361344,11.0,3.0,74.53766453633271,6.0,0.0,1.0,0.0,0.0
33.0,swap,74.73271221875918,11.0,3.0,74.53766453633271,6.0,0.0,1.0,0.0,1.0
34.0,swap,74.5397319171899,12.0,2.0,74.60019900180342,6.0,0.0,1.0,1.0,0.0
35.0,delete,74.63114092273649,13.0,2.0,74.63924898132983,6.0,0.0,0.0,1.0,0.0
36.0,delete,74.62376864251199,14.0,3.0,74.6793643486282,5.0,0.0,0.0,1.0,0.0
37.0,delete,74.6844528291427,15.0,5.0,74.6844528291427,4.0,0.0,0.0,1.0,0.0
38.0,add,74.6844528291427,15.0,5.0,74.6844528291427,4.0,0.0,0.0,1.0,1.0
39.0,delete,74.46068933480802,15.0,5.0,74.6844528291427,3.0,0.0,0.0,1.0,0.0
40.0,swap,74.61284071829306,15.0,5.0,74.6844528291427,3.0,0.0,1.0,1.0,0.0
41.0,swap,74.54528165860624,16.0,3.0,74.55916598688279,6.0,1.0,0.0,1.0,0.0
42.0,add,74.55916598688279,16.0,3.0,74.55916598688279,6.0,1.0,0.0,1.0,1.0
43.0,delete,74.47253296798492,16.0,3.0,74.55916598688279,5.0,1.0,0.0,1.0,0.0
44.0,swap,74.5853021212492,16.0,3.0,74.55916598688279,5.0,2.0,0.0,1.0,0.0
45.0,swap,74.57922355224046,17.0,1.0,74.60294657244712,7.0,0.0,0.0,1.0,0.0
46.0,swap,74.50624630436204,18.0,2.0,74.50365739688031,7.0,1.0,0.0,0.0,0.0
47.0,add,74.49918528247508,18.0,2.0,74.50365739688031,7.0,1.0,0.0,1.0,0.0
48.0,delete,74.62432201324238,18.0,2.0,74.50365739688031,6.0,1.0,0.0,0.0,0.0
49.0,swap,74.48910022354177,18.0,2.0,74.50365739688031,6.0,1.0,1.0,0.0,0.0
50.0,swap,74.69072118946465,19.0,4.0,74.73271221875918,6.0,0.0,1.0,0.0,1.0
51.0,add,74.1998704583202,19.0,4.0,74.73271221875918,6.0,0.0,1.0,0.0,2.0
52.0,delete,74.1998704583202,19.0,4.0,74.73271221875918,6.0,0.0,1.0,0.0,0.0
53.0,swap,74.82721878290363,19.0,4.0,74.73271221875918,5.0,0.0,1.0,1.0,1.0
54.0,swap,74.56669742471821,20.0,2.0,74.54428974432118,6.0,2.0,0.0,0.0,0.0
55.0,swap,74.5853021212492,21.0,4.0,74.5853021212492,5.0,2.0,0.0,1.0,0.0
56.0,add,74.5853021212492,21.0,4.0,74.5853021212492,5.0,2.0,0.0,1.0,1.0
57.0,delete,74.59772258389344,21.0,4.0,74.5853021212492,4.0,2.0,0.0,1.0,0.0
58.0,swap,74.51665566018761,21.0,4.0,74.5853021212492,4.0,2.0,0.0,1.0,1.0
59.0,swap,74.66429315093666,22.0,5.0,74.67822256683291,4.0,1.0,0.0,1.0,0.0
60.0,add,74.67822256683291,22.0,5.0,74.67822256683291,4.0,1.0,0.0,2.0,0.0
61.0,delete,74.67822256683294,22.0,5.0,74.67822256683291,4.0,1.0,0.0,0.0,0.0
62.0,swap,74.65003750224865,22.0,5.0,74.67822256683291,3.0,1.0,0.0,2.0,0.0
63.0,add,74.50119298784226,23.0,3.0,74.62234247519794,7.0,1.0,0.0,0.0,0.0
64.0,delete,74.49168800593672,23.0,3.0,74.62234247519794,6.0,0.0,0.0,0.0,0.0
65.0,swap,74.49235810979835,23.0,3.0,74.62234247519794,6.0,0.0,1.0,0.0,0.0
66.0,delete,74.63416553902063,24.0,1.0,74.54803887186142,7.0,0.0,0.0,0.0,0.0
67.0,add,74.7496593955157,25.0,2.0,74.63416553902063,7.0,0.0,0.0,0.0,1.0
68.0,delete,74.68121064875236,25.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,0.0
69.0,swap,74.73002698659903,25.0,2.0,74.63416553902063,6.0,0.0,1.0,0.0,0.0
70.0,add,74.7496593955157,26.0,3.0,74.7496593955157,7.0,0.0,0.0,0.0,2.0
71.0,delete,74.74999701513411,26.0,3.0,74.7496593955157,6.0,0.0,0.0,0.0,1.0
72.0,swap,74.82219812623966,26.0,3.0,74.7496593955157,6.0,0.0,0.0,1.0,1.0
73.0,delete,74.49605353349583,27.0,1.0,74.66446114492935,7.0,0.0,0.0,0.0,0.0
74.0,add,74.63416553902063,28.0,2.0,74.7678784831013,7.0,0.0,0.0,0.0,1.0
75.0,swap,74.8221981262397,29.0,4.0,74.82219812623966,6.0,0.0,0.0,1.0,1.0
76.0,add,74.82219812623966,29.0,4.0,74.82219812623966,6.0,0.0,0.0,1.0,2.0
77.0,delete,74.8718683712405,29.0,4.0,74.82219812623966,5.0,0.0,0.0,1.0,1.0
78.0,swap,74.55357702139595,29.0,4.0,74.82219812623966,6.0,0.0,0.0,1.0,1.0
79.0,add,74.68900378190793,30.0,4.0,74.74999701513411,6.0,0.0,0.0,0.0,2.0
80.0,delete,74.60990605411448,30.0,4.0,74.74999701513411,5.0,0.0,0.0,0.0,1.0
81.0,swap,74.7663933499884,30.0,4.0,74.74999701513411,5.0,0.0,0.0,1.0,1.0
82.0,add,74.71142995991028,31.0,3.0,74.68121064875236,6.0,0.0,1.0,0.0,0.0
83.0,delete,74.65399045576491,31.0,3.0,74.68121064875236,5.0,0.0,0.0,0.0,0.0
84.0,swap,74.58136376681861,31.0,3.0,74.68121064875236,5.0,1.0,0.0,0.0,0.0
85.0,add,74.63416553902063,32.0,2.0,74.73673535854604,7.0,0.0,0.0,0.0,1.0
86.0,add,74.55590154701889,33.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
87.0,delete,74.57922355224049,33.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
88.0,swap,74.63416553902061,33.0,2.0,74.5559015470189,7.0,0.0,0.0,1.0,1.0
89.0,swap,74.78028066581422,34.0,3.0,74.77840795427109,6.0,0.0,1.0,0.0,1.0
90.0,add,74.45281152717583,35.0,4.0,74.7496593955157,7.0,1.0,0.0,0.0,2.0
91.0,delete,74.75685954788763,35.0,4.0,74.7496593955157,6.0,0.0,0.0,0.0,2.0
92.0,swap,74.76411052964596,35.0,4.0,74.7496593955157,6.0,0.0,0.0,0.0,3.0
93.0,swap,74.74372505920992,36.0,3.0,74.73002698659903,6.0,0.0,1.0,0.0,0.0
94.0,add,74.73572819738281,36.0,3.0,74.73002698659903,6.0,0.0,1.0,0.0,1.0
95.0,delete,74.73770593324635,36.0,3.0,74.73002698659903,5.0,0.0,1.0,0.0,0.0
96.0,swap,74.84286757928439,36.0,3.0,74.73002698659903,5.0,0.0,1.0,0.0,1.0
97.0,swap,74.56818620452837,37.0,2.0,74.7580107511445,6.0,1.0,0.0,0.0,0.0
98.0,delete,74.52605412102976,38.0,2.0,74.65699870781154,6.0,0.0,0.0,0.0,0.0
99.0,swap,74.82219812623968,39.0,5.0,74.8221981262397,6.0,0.0,0.0,1.0,1.0
100.0,add,74.8221981262397,39.0,5.0,74.8221981262397,6.0,0.0,0.0,1.0,2.0
101.0,delete,74.89728702095627,39.0,5.0,74.8221981262397,5.0,0.0,0.0,1.0,1.0
102.0,swap,74.82219812623968,39.0,5.0,74.8221981262397,6.0,0.0,0.0,1.0,1.0
103.0,add,74.49605353349583,40.0,2.0,74.49605353349583,7.0,0.0,0.0,0.0,1.0
104.0,delete,74.64840748163559,40.0,2.0,74.49605353349583,6.0,0.0,0.0,0.0,0.0
105.0,swap,74.50231233450023,40.0,2.0,74.49605353349583,6.0,0.0,0.0,1.0,0.0
106.0,delete,74.53988496986284,41.0,1.0,74.68474073985102,7.0,0.0,0.0,0.0,0.0
107.0,change,74.82219812623967,42.0,4.0,74.83721590518302,6.0,0.0,0.0,1.0,1.0
108.0,swap,74.70563085366166,43.0,3.0,74.80530908755314,6.0,0.0,0.0,0.0,2.0
109.0,delete,74.87186837124051,44.0,5.0,74.8718683712405,5.0,0.0,0.0,1.0,1.0
110.0,add,74.8718683712405,44.0,5.0,74.8718683712405,5.0,0.0,0.0,1.0,2.0
111.0,delete,74.81273594751639,44.0,5.0,74.8718683712405,4.0,0.0,0.0,1.0,1.0
112.0,swap,74.9015311613788,44.0,5.0,74.8718683712405,4.0,1.0,0.0,1.0,1.0
113.0,add,74.63416553902063,45.0,3.0,74.63416553902063,7.0,0.0,0.0,0.0,2.0
114.0,delete,74.46841073917916,45.0,3.0,74.63416553902063,6.0,0.0,0.0,0.0,1.0
115.0,swap,74.63257817097822,45.0,3.0,74.63416553902063,7.0,0.0,0.0,1.0,0.0
116.0,add,74.57710034405753,46.0,1.0,74.58129804632472,8.0,0.0,0.0,1.0,0.0
