budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.3840264894679555,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.228380844198361,1.0,1.0,5.808421654950915,9.0,1.0,0.0,0.0,0.0
4.0,add,6.3840264894679555,2.0,2.0,6.3840264894679555,9.0,0.0,0.0,0.0,1.0
5.0,delete,6.837911567389752,2.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,0.0
6.0,swap,5.708442672768078,2.0,2.0,6.3840264894679555,8.0,0.0,1.0,0.0,0.0
7.0,delete,6.229370100288379,3.0,1.0,6.328601804773435,9.0,0.0,0.0,0.0,0.0
8.0,add,6.316967918066094,4.0,3.0,6.837911567389752,8.0,0.0,0.0,0.0,1.0
9.0,delete,7.129244609147308,4.0,3.0,6.837911567389752,7.0,0.0,0.0,0.0,0.0
10.0,swap,7.129244609147199,4.0,3.0,6.837911567389752,7.0,0.0,0.0,1.0,0.0
11.0,add,6.229370100288379,5.0,2.0,6.229370100288379,9.0,0.0,0.0,0.0,1.0
12.0,delete,6.5804560093213205,5.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,0.0
13.0,swap,5.028556988645305,5.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,1.0
14.0,delete,6.229370100288219,6.0,1.0,6.359783413999793,9.0,0.0,0.0,0.0,0.0
15.0,delete,6.742667735615357,7.0,2.0,6.8533421759375885,8.0,0.0,0.0,0.0,0.0
16.0,swap,7.129244609147198,8.0,4.0,7.129244609147199,7.0,0.0,0.0,1.0,0.0
17.0,add,7.129244609147199,8.0,4.0,7.129244609147199,7.0,0.0,0.0,1.0,1.0
18.0,delete,7.354952808987816,8.0,4.0,7.129244609147199,6.0,0.0,0.0,1.0,0.0
19.0,swap,7.350734042465124,8.0,4.0,7.129244609147199,6.0,0.0,0.0,1.0,1.0
20.0,add,6.229370100288219,9.0,2.0,6.229370100288219,9.0,0.0,0.0,0.0,1.0
21.0,delete,6.580474937186034,9.0,2.0,6.229370100288219,8.0,0.0,0.0,0.0,0.0
22.0,swap,6.581917789285845,9.0,2.0,6.229370100288219,8.0,0.0,0.0,1.0,0.0
23.0,add,6.742667735615357,10.0,3.0,6.742667735615357,8.0,0.0,0.0,1.0,0.0
24.0,delete,7.008013168153635,10.0,3.0,6.742667735615357,7.0,0.0,0.0,0.0,0.0
25.0,swap,7.052245884576395,10.0,3.0,6.742667735615357,7.0,0.0,1.0,0.0,0.0
26.0,delete,6.737666730415292,11.0,2.0,6.99359494145487,8.0,0.0,0.0,0.0,0.0
27.0,swap,7.108215365844212,12.0,3.0,7.218684135778906,7.0,0.0,0.0,1.0,0.0
28.0,delete,7.354952808987815,13.0,5.0,7.354952808987816,6.0,0.0,0.0,1.0,0.0
29.0,add,6.9842553940453564,13.0,5.0,7.354952808987816,6.0,0.0,0.0,1.0,1.0
30.0,delete,7.354952808987816,13.0,5.0,7.354952808987816,6.0,0.0,0.0,0.0,0.0
31.0,swap,7.481440501686414,13.0,5.0,7.354952808987816,5.0,0.0,1.0,1.0,0.0
32.0,swap,6.2281501823449,14.0,2.0,6.228380844198361,9.0,1.0,0.0,0.0,0.0
33.0,add,6.228380844198362,14.0,2.0,6.228380844198361,9.0,2.0,0.0,0.0,0.0
34.0,delete,6.003120014329821,14.0,2.0,6.228380844198361,8.0,1.0,0.0,0.0,0.0
35.0,swap,6.008467338416319,14.0,2.0,6.228380844198361,8.0,2.0,0.0,0.0,0.0
36.0,swap,7.350734042465121,15.0,5.0,7.350734042465124,6.0,0.0,0.0,1.0,1.0
37.0,add,6.970731720580962,15.0,5.0,7.350734042465124,6.0,0.0,0.0,1.0,2.0
38.0,delete,7.350734042465124,15.0,5.0,7.350734042465124,6.0,0.0,0.0,1.0,0.0
39.0,swap,6.957414154903501,15.0,5.0,7.350734042465124,5.0,0.0,1.0,1.0,1.0
40.0,swap,7.113631298380196,16.0,3.0,7.214775108490061,7.0,0.0,0.0,0.0,1.0
41.0,delete,7.350734042465124,17.0,4.0,7.306110864539043,6.0,0.0,0.0,1.0,0.0
42.0,delete,7.350734042465124,18.0,5.0,7.350734042465124,6.0,0.0,0.0,1.0,0.0
43.0,add,7.350734042465124,18.0,5.0,7.350734042465124,6.0,0.0,0.0,1.0,1.0
44.0,delete,7.390817626016332,18.0,5.0,7.350734042465124,5.0,0.0,0.0,1.0,0.0
45.0,swap,7.495503224697751,18.0,5.0,7.350734042465124,5.0,0.0,0.0,1.0,1.0
46.0,delete,6.229370100288218,19.0,1.0,6.866455715939112,9.0,0.0,0.0,0.0,0.0
47.0,swap,7.495503224697752,20.0,6.0,7.495503224697751,5.0,0.0,0.0,1.0,1.0
48.0,add,7.495503224697751,20.0,6.0,7.495503224697751,5.0,0.0,0.0,2.0,1.0
49.0,delete,7.568713600217145,20.0,6.0,7.495503224697751,4.0,0.0,0.0,1.0,1.0
50.0,swap,7.591389201792605,20.0,6.0,7.495503224697751,4.0,0.0,1.0,1.0,1.0
51.0,add,7.104230414008262,21.0,4.0,7.113631298380196,7.0,0.0,0.0,1.0,1.0
52.0,delete,7.063082854361038,21.0,4.0,7.113631298380196,6.0,0.0,0.0,0.0,1.0
53.0,swap,6.061247830736455,21.0,4.0,7.113631298380196,6.0,1.0,0.0,0.0,1.0
54.0,add,7.129244609147308,22.0,4.0,7.129244609147308,7.0,0.0,0.0,0.0,1.0
55.0,delete,7.101455860194065,22.0,4.0,7.129244609147308,6.0,0.0,0.0,0.0,0.0
56.0,swap,7.350734042465123,22.0,4.0,7.129244609147308,6.0,0.0,0.0,0.0,1.0
57.0,delete,7.334315001049937,23.0,4.0,7.401441896586425,6.0,0.0,0.0,1.0,0.0
