budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9318978893120227,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
2.0,delete,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.41493656343447655,1.0,1.0,0.9346645654712499,3.0,1.0,0.0,0.0,0.0
4.0,add,0.9318978893120227,2.0,2.0,0.9318978893120227,4.0,0.0,0.0,1.0,0.0
5.0,add,0.9318978893120227,2.0,2.0,0.9318978893120227,4.0,1.0,0.0,1.0,0.0
6.0,delete,0.26699321547178084,2.0,2.0,0.9318978893120227,3.0,0.0,0.0,1.0,0.0
7.0,swap,0.26699321547178084,2.0,2.0,0.9318978893120227,3.0,0.0,0.0,1.0,1.0
8.0,add,0.9346645654712504,3.0,1.0,0.6659360197759259,4.0,1.0,0.0,0.0,0.0
9.0,add,0.9346645654712509,4.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
10.0,add,0.9346645654712499,4.0,2.0,0.9346645654712504,4.0,2.0,0.0,0.0,0.0
11.0,delete,0.9346645654712499,4.0,2.0,0.9346645654712504,4.0,0.0,0.0,0.0,0.0
12.0,swap,0.19472690292603906,4.0,2.0,0.9346645654712504,3.0,1.0,1.0,0.0,0.0
13.0,add,0.934664565471252,5.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
14.0,add,0.9288459652466232,5.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
15.0,delete,0.41493656343447627,5.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,0.0
16.0,swap,0.26620866986289676,5.0,3.0,0.9346645654712509,3.0,1.0,0.0,1.0,0.0
17.0,add,0.9346645654712499,6.0,1.0,0.7005515019789942,4.0,0.0,0.0,0.0,1.0
18.0,add,0.9288459652466221,7.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
19.0,delete,0.2677858814627586,7.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
20.0,swap,0.20719931510624293,7.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,2.0
21.0,add,0.9346645654712499,8.0,3.0,0.9346645654712499,4.0,2.0,0.0,0.0,0.0
22.0,add,0.929159556071246,8.0,3.0,0.9346645654712499,4.0,2.0,0.0,1.0,0.0
23.0,delete,0.2677858814627587,8.0,3.0,0.9346645654712499,3.0,2.0,0.0,0.0,0.0
24.0,swap,0.41493656343447605,8.0,3.0,0.9346645654712499,3.0,2.0,0.0,1.0,0.0
25.0,add,0.9318978893120227,9.0,3.0,0.9318978893120227,4.0,0.0,0.0,1.0,0.0
26.0,add,0.9318978893120247,9.0,3.0,0.9318978893120227,4.0,1.0,0.0,1.0,0.0
27.0,delete,0.9346645654712499,9.0,3.0,0.9318978893120227,4.0,0.0,0.0,0.0,0.0
28.0,swap,0.023563599008178917,9.0,3.0,0.9318978893120227,3.0,0.0,1.0,1.0,0.0
29.0,change,0.9318978893120227,10.0,2.0,0.7507843664830998,4.0,0.0,0.0,1.0,0.0
30.0,change,0.9318978893120227,11.0,3.0,0.9318978893120227,4.0,0.0,0.0,1.0,0.0
31.0,add,0.08798762608938387,11.0,3.0,0.9318978893120227,4.0,0.0,1.0,1.0,0.0
32.0,delete,0.26699321547178084,11.0,3.0,0.9318978893120227,3.0,0.0,0.0,1.0,0.0
33.0,swap,0.266993215471781,11.0,3.0,0.9318978893120227,3.0,1.0,0.0,1.0,0.0
34.0,change,0.9346645654712509,12.0,2.0,0.6958640658972999,4.0,1.0,0.0,0.0,0.0
35.0,change,0.9346645654712499,13.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
36.0,add,0.9288459652466227,13.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
37.0,delete,0.2677858814627587,13.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,0.0
38.0,swap,0.2865047968601901,13.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,1.0
39.0,add,0.3852675213540878,14.0,2.0,0.6962422263821961,4.0,1.0,1.0,0.0,0.0
40.0,add,0.9346645654712504,15.0,4.0,0.934664565471252,4.0,1.0,0.0,0.0,0.0
41.0,add,0.934664565471252,15.0,4.0,0.934664565471252,4.0,1.0,0.0,0.0,1.0
42.0,delete,0.9346645654712499,15.0,4.0,0.934664565471252,4.0,0.0,0.0,0.0,0.0
43.0,swap,0.9291595560712466,15.0,4.0,0.934664565471252,4.0,0.0,0.0,1.0,0.0
44.0,add,0.9346645654712499,16.0,1.0,0.6700352109401011,4.0,0.0,0.0,0.0,1.0
45.0,add,0.3938724716484846,17.0,2.0,0.9346645654712499,4.0,0.0,1.0,0.0,1.0
46.0,delete,0.2677858814627586,17.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
47.0,swap,0.27019059299891013,17.0,2.0,0.9346645654712499,3.0,0.0,1.0,0.0,1.0
48.0,change,0.9346645654712499,18.0,2.0,0.7546385254631122,4.0,1.0,0.0,0.0,0.0
49.0,change,0.9346645654712499,19.0,3.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
50.0,add,0.11236404592965045,19.0,3.0,0.9346645654712499,4.0,1.0,1.0,0.0,0.0
51.0,delete,0.9346645654712499,19.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,0.0
52.0,swap,0.041741808826083714,19.0,3.0,0.9346645654712499,3.0,1.0,1.0,0.0,0.0
53.0,change,0.9346645654712509,20.0,3.0,0.9335635635912501,4.0,1.0,0.0,0.0,0.0
54.0,add,0.9346645654712509,21.0,5.0,0.934664565471252,4.0,1.0,0.0,0.0,1.0
55.0,add,0.934664565471252,21.0,5.0,0.934664565471252,4.0,1.0,0.0,0.0,2.0
