budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.04207897977473342,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,-0.13563389586980037,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.08085407090030464,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
4.0,add,0.04207897977473336,2.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,0.0
5.0,add,0.04207897977473342,2.0,2.0,0.04207897977473342,4.0,1.0,0.0,0.0,1.0
6.0,delete,0.28482178217269083,2.0,2.0,0.04207897977473342,3.0,1.0,0.0,0.0,0.0
7.0,swap,0.2770447550325722,2.0,2.0,0.04207897977473342,3.0,2.0,0.0,0.0,0.0
8.0,add,-0.08085407090030464,3.0,2.0,-0.08085407090030464,3.0,0.0,0.0,0.0,2.0
9.0,delete,-0.060574287960367845,3.0,2.0,-0.08085407090030464,2.0,0.0,0.0,0.0,1.0
10.0,swap,-0.05502945143618931,3.0,2.0,-0.08085407090030464,2.0,0.0,1.0,0.0,1.0
11.0,add,-0.1732685478721674,4.0,2.0,-0.13563389586980037,3.0,0.0,0.0,0.0,1.0
12.0,delete,-0.48394415534774804,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
13.0,swap,-0.4839441553477481,4.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,1.0
14.0,add,0.04207897977473338,5.0,1.0,0.13762069530589266,4.0,0.0,0.0,0.0,1.0
15.0,add,0.042078979774733405,6.0,2.0,0.04207897977473338,4.0,1.0,0.0,0.0,1.0
16.0,delete,-0.13563389586980037,6.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
17.0,swap,0.21808967800661627,6.0,2.0,0.04207897977473338,3.0,1.0,0.0,0.0,1.0
18.0,delete,0.28482178217269083,7.0,3.0,0.28482178217269083,3.0,1.0,0.0,0.0,0.0
