budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.5478695352056,1.0,1.0,74.5559015470189,8.0,0.0,0.0,0.0,1.0
2.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.60575376216727,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
4.0,add,74.60575376216727,2.0,2.0,74.60575376216727,7.0,0.0,0.0,0.0,2.0
5.0,delete,74.49059356037839,2.0,2.0,74.60575376216727,6.0,0.0,0.0,0.0,1.0
6.0,swap,74.55316758757426,2.0,2.0,74.60575376216727,7.0,0.0,0.0,0.0,1.0
7.0,add,74.5559015470189,3.0,2.0,74.5478695352056,8.0,0.0,0.0,0.0,2.0
8.0,delete,74.54279308451422,3.0,2.0,74.5478695352056,7.0,0.0,0.0,0.0,1.0
9.0,swap,74.61664231414838,3.0,2.0,74.5478695352056,7.0,1.0,0.0,0.0,1.0
10.0,add,74.53988496986284,4.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
11.0,delete,74.50231233450025,4.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
12.0,swap,74.69194420282099,4.0,2.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
13.0,delete,74.49605353349583,5.0,1.0,74.56850661926173,7.0,0.0,0.0,0.0,0.0
14.0,add,74.57290522066302,6.0,1.0,74.56580162022178,8.0,0.0,1.0,0.0,0.0
15.0,swap,74.63416553902063,7.0,1.0,74.5638171680718,7.0,1.0,0.0,0.0,0.0
16.0,swap,74.63416553902063,8.0,2.0,74.63416553902063,7.0,1.0,0.0,0.0,0.0
17.0,add,74.63416553902063,8.0,2.0,74.63416553902063,7.0,1.0,0.0,0.0,1.0
18.0,delete,74.64840748163557,8.0,2.0,74.63416553902063,6.0,1.0,0.0,0.0,0.0
19.0,swap,74.6812106487523,8.0,2.0,74.63416553902063,6.0,1.0,0.0,1.0,0.0
