budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.726024573542114,1.0,1.0,5.808421654950915,10.0,0.0,1.0,0.0,0.0
2.0,delete,6.198463037155184,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.2293701002883815,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
4.0,add,6.2293701002883815,2.0,2.0,6.2293701002883815,9.0,0.0,0.0,0.0,2.0
5.0,delete,6.2293701002883815,2.0,2.0,6.2293701002883815,9.0,0.0,0.0,0.0,0.0
6.0,swap,6.225922471400927,2.0,2.0,6.2293701002883815,9.0,0.0,0.0,0.0,1.0
7.0,add,5.9810650052600245,3.0,2.0,6.198463037155184,9.0,0.0,1.0,0.0,0.0
8.0,delete,6.72005903857372,3.0,2.0,6.198463037155184,8.0,0.0,0.0,0.0,0.0
9.0,swap,6.548544161363447,3.0,2.0,6.198463037155184,8.0,0.0,1.0,0.0,0.0
10.0,delete,6.213703418118816,4.0,1.0,6.362032810588094,9.0,0.0,0.0,0.0,0.0
11.0,add,6.213703418118816,5.0,2.0,6.213703418118816,9.0,0.0,0.0,0.0,1.0
12.0,delete,6.580456009321185,5.0,2.0,6.213703418118816,8.0,0.0,0.0,0.0,0.0
13.0,swap,5.96508206392924,5.0,2.0,6.213703418118816,8.0,0.0,0.0,1.0,0.0
14.0,swap,6.231147051064895,6.0,1.0,6.228508193066518,9.0,1.0,0.0,0.0,0.0
15.0,add,6.72005903857372,7.0,3.0,6.72005903857372,8.0,0.0,0.0,0.0,1.0
16.0,delete,7.003049940433459,7.0,3.0,6.72005903857372,7.0,0.0,0.0,0.0,0.0
17.0,swap,6.999469257575356,7.0,3.0,6.72005903857372,7.0,0.0,1.0,0.0,0.0
18.0,delete,6.384026489467956,8.0,1.0,6.467604944402087,9.0,0.0,0.0,0.0,0.0
19.0,add,6.384026489467956,9.0,2.0,6.384026489467956,9.0,0.0,0.0,0.0,1.0
20.0,delete,6.737666730415431,9.0,2.0,6.384026489467956,8.0,0.0,0.0,0.0,0.0
21.0,swap,6.837911567389752,9.0,2.0,6.384026489467956,8.0,1.0,0.0,0.0,0.0
22.0,swap,6.837911567389752,10.0,3.0,6.837911567389752,8.0,1.0,0.0,0.0,0.0
23.0,add,6.837911567389752,10.0,3.0,6.837911567389752,8.0,1.0,0.0,0.0,1.0
24.0,delete,7.113631298380196,10.0,3.0,6.837911567389752,7.0,1.0,0.0,0.0,0.0
25.0,swap,6.54418600092353,10.0,3.0,6.837911567389752,7.0,1.0,0.0,0.0,1.0
26.0,add,6.737666730415431,11.0,3.0,6.737666730415431,8.0,0.0,0.0,0.0,1.0
27.0,delete,6.601322313809829,11.0,3.0,6.737666730415431,7.0,0.0,0.0,0.0,0.0
28.0,swap,7.007094084834269,11.0,3.0,6.737666730415431,7.0,0.0,0.0,0.0,1.0
29.0,swap,6.715110361940637,12.0,2.0,6.834310400294596,8.0,0.0,0.0,1.0,0.0
30.0,delete,6.837911567389752,13.0,2.0,6.77093746486874,8.0,0.0,0.0,0.0,0.0
31.0,swap,6.714570244695894,14.0,3.0,6.715110361940637,8.0,0.0,0.0,1.0,0.0
32.0,add,5.828399264492546,14.0,3.0,6.715110361940637,8.0,0.0,1.0,1.0,0.0
33.0,delete,6.55943769108309,14.0,3.0,6.715110361940637,7.0,0.0,0.0,1.0,0.0
34.0,swap,7.111481342274532,14.0,3.0,6.715110361940637,7.0,0.0,0.0,1.0,1.0
35.0,delete,6.548762143404908,15.0,2.0,6.860659318789064,8.0,0.0,0.0,0.0,0.0
36.0,add,6.3219898569089095,16.0,3.0,6.837911567389752,8.0,0.0,0.0,0.0,1.0
37.0,delete,7.129244609147199,16.0,3.0,6.837911567389752,7.0,0.0,0.0,0.0,0.0
38.0,swap,6.734918022340734,16.0,3.0,6.837911567389752,7.0,1.0,0.0,0.0,0.0
39.0,add,6.384026489467956,17.0,3.0,6.384026489467956,9.0,0.0,0.0,0.0,2.0
40.0,delete,6.7137550535568975,17.0,3.0,6.384026489467956,8.0,0.0,0.0,0.0,1.0
41.0,swap,6.7137550535568975,17.0,3.0,6.384026489467956,8.0,1.0,0.0,0.0,1.0
42.0,swap,6.634289739941189,18.0,3.0,6.548544161363447,8.0,0.0,1.0,0.0,0.0
43.0,add,6.5485441613634565,18.0,3.0,6.548544161363447,8.0,0.0,1.0,1.0,0.0
44.0,delete,6.8343858944884905,18.0,3.0,6.548544161363447,7.0,0.0,1.0,0.0,0.0
45.0,swap,6.7851490651876984,18.0,3.0,6.548544161363447,7.0,0.0,2.0,0.0,0.0
