budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9346645654712509,1.0,1.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.41493656343447627,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
4.0,add,0.9346645654712499,2.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
5.0,add,0.5111930854011825,2.0,2.0,0.9346645654712509,4.0,1.0,1.0,0.0,0.0
6.0,delete,0.9346645654712499,2.0,2.0,0.9346645654712509,4.0,0.0,0.0,0.0,0.0
7.0,swap,0.41493656343447677,2.0,2.0,0.9346645654712509,3.0,1.0,0.0,1.0,0.0
8.0,add,0.9346645654712509,3.0,1.0,0.7460246690498821,4.0,1.0,0.0,0.0,0.0
9.0,add,0.9346645654712509,4.0,2.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
10.0,add,0.3118829960998814,4.0,2.0,0.9346645654712509,4.0,1.0,1.0,0.0,0.0
11.0,delete,0.9346645654712499,4.0,2.0,0.9346645654712509,4.0,0.0,0.0,0.0,0.0
12.0,swap,0.10613035475698278,4.0,2.0,0.9346645654712509,3.0,1.0,1.0,0.0,0.0
13.0,add,0.41493656343447627,5.0,2.0,0.41493656343447627,3.0,0.0,0.0,0.0,1.0
14.0,delete,0.11888131581666003,5.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,0.0
15.0,swap,0.19438179577316275,5.0,2.0,0.41493656343447627,2.0,0.0,0.0,0.0,1.0
16.0,add,0.2677858814627587,6.0,2.0,0.2677858814627586,3.0,0.0,0.0,1.0,1.0
17.0,delete,0.08208499862389883,6.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,1.0
18.0,swap,0.2677858814627586,6.0,2.0,0.2677858814627586,3.0,0.0,0.0,0.0,1.0
19.0,add,0.9346645654712499,7.0,3.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
20.0,delete,0.2677858814627586,7.0,3.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
