budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.042078979774733447,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.13563389586980043,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,add,0.04207897977473338,2.0,2.0,0.042078979774733447,4.0,1.0,0.0,0.0,0.0
5.0,add,0.04207897977473342,2.0,2.0,0.042078979774733447,4.0,1.0,0.0,1.0,0.0
6.0,delete,-0.13563389586980035,2.0,2.0,0.042078979774733447,3.0,1.0,0.0,0.0,0.0
7.0,swap,-0.08085407090030464,2.0,2.0,0.042078979774733447,3.0,1.0,0.0,0.0,1.0
8.0,add,-0.13563389586980043,3.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,0.0
9.0,delete,-0.060574287960367845,3.0,2.0,-0.13563389586980043,2.0,0.0,0.0,0.0,0.0
10.0,swap,-0.48394415534774815,3.0,2.0,-0.13563389586980043,2.0,0.0,0.0,1.0,0.0
11.0,swap,-0.13563389586980046,4.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,0.0
12.0,add,-0.13563389586980043,4.0,2.0,-0.13563389586980043,3.0,0.0,0.0,1.0,1.0
13.0,delete,-0.01582414414688095,4.0,2.0,-0.13563389586980043,2.0,0.0,0.0,1.0,0.0
14.0,swap,-0.015824144146881047,4.0,2.0,-0.13563389586980043,2.0,0.0,0.0,2.0,0.0
15.0,add,0.042078979774733405,5.0,1.0,-0.01805020548918095,4.0,0.0,0.0,1.0,0.0
16.0,add,0.042078979774733405,6.0,2.0,0.042078979774733405,4.0,0.0,0.0,1.0,0.0
17.0,add,0.042078979774733405,6.0,2.0,0.042078979774733405,4.0,0.0,0.0,1.0,1.0
18.0,delete,0.2848217821726909,6.0,2.0,0.042078979774733405,3.0,0.0,0.0,1.0,0.0
19.0,swap,0.15520123873834601,6.0,2.0,0.042078979774733405,3.0,0.0,1.0,1.0,0.0
20.0,swap,-0.14283124411860085,7.0,1.0,-0.08770999518063267,3.0,0.0,1.0,0.0,0.0
21.0,delete,0.2848217821726909,8.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
22.0,add,0.28482178217269105,8.0,3.0,0.2848217821726909,3.0,1.0,0.0,1.0,0.0
23.0,delete,-0.06057428796036786,8.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
24.0,swap,0.24286395095910254,8.0,3.0,0.2848217821726909,2.0,1.0,0.0,1.0,0.0
25.0,delete,-0.13563389586980037,9.0,1.0,-0.20394655876192921,3.0,0.0,0.0,0.0,0.0
26.0,add,0.04207897977473338,10.0,1.0,0.08771015429524635,4.0,0.0,0.0,0.0,1.0
27.0,swap,-0.06494336152866398,11.0,2.0,-0.14283124411860085,3.0,0.0,1.0,0.0,0.0
28.0,add,-0.14283124411860085,11.0,2.0,-0.14283124411860085,3.0,0.0,1.0,0.0,1.0
29.0,delete,-0.13563389586980037,11.0,2.0,-0.14283124411860085,3.0,0.0,0.0,0.0,0.0
30.0,swap,-0.13563389586980032,11.0,2.0,-0.14283124411860085,3.0,0.0,0.0,1.0,0.0
31.0,add,-0.021174670982054427,12.0,2.0,0.04207897977473338,4.0,0.0,1.0,0.0,1.0
32.0,delete,-0.13563389586980037,12.0,2.0,0.04207897977473338,3.0,0.0,0.0,0.0,1.0
33.0,swap,-0.19800023129057817,12.0,2.0,0.04207897977473338,3.0,0.0,1.0,0.0,1.0
34.0,add,-0.1356338958698004,13.0,2.0,-0.13563389586980037,3.0,1.0,0.0,0.0,0.0
35.0,delete,-0.060574287960367845,13.0,2.0,-0.13563389586980037,2.0,0.0,0.0,0.0,0.0
