budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.045349014505055456,1.0,1.0,0.9346645654712499,3.0,0.0,1.0,0.0,0.0
4.0,add,0.934664565471252,2.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
5.0,delete,0.2677858814627586,2.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
6.0,swap,0.2677858814627586,2.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,2.0
7.0,add,0.7416444845445529,3.0,2.0,0.2677858814627586,3.0,0.0,1.0,0.0,0.0
8.0,delete,0.07672193957051464,3.0,2.0,0.2677858814627586,2.0,0.0,0.0,0.0,0.0
9.0,swap,0.05462773408730097,3.0,2.0,0.2677858814627586,2.0,0.0,1.0,0.0,0.0
10.0,add,0.5842598480043036,4.0,1.0,0.6012252234670048,4.0,0.0,1.0,0.0,0.0
11.0,swap,0.04493470859132247,5.0,2.0,0.045349014505055456,3.0,0.0,1.0,0.0,0.0
12.0,add,0.045567881589510584,5.0,2.0,0.045349014505055456,3.0,0.0,1.0,1.0,0.0
13.0,delete,0.012992710188580728,5.0,2.0,0.045349014505055456,2.0,0.0,1.0,0.0,0.0
14.0,swap,0.41493656343447627,5.0,2.0,0.045349014505055456,3.0,0.0,0.0,0.0,1.0
15.0,add,0.6632584754269846,6.0,2.0,0.5842598480043036,4.0,0.0,1.0,0.0,0.0
16.0,add,0.584259848004303,6.0,2.0,0.5842598480043036,4.0,1.0,1.0,0.0,0.0
17.0,delete,0.16739324906603845,6.0,2.0,0.5842598480043036,3.0,0.0,1.0,0.0,0.0
18.0,swap,0.1390823718998808,6.0,2.0,0.5842598480043036,3.0,0.0,1.0,0.0,1.0
19.0,add,0.9346645654712509,7.0,3.0,0.934664565471252,4.0,1.0,0.0,0.0,1.0
20.0,add,0.5393359239203872,7.0,3.0,0.934664565471252,4.0,1.0,1.0,0.0,1.0
21.0,delete,0.2677858814627587,7.0,3.0,0.934664565471252,3.0,1.0,0.0,0.0,1.0
22.0,swap,0.7616756666615416,7.0,3.0,0.934664565471252,4.0,1.0,1.0,0.0,0.0
23.0,delete,0.2865047968601896,8.0,1.0,0.28519500991628177,3.0,0.0,0.0,0.0,0.0
24.0,add,0.9346645654712504,9.0,1.0,0.5420474402911899,4.0,1.0,0.0,0.0,0.0
25.0,add,0.2865047968601896,10.0,2.0,0.2865047968601896,3.0,0.0,0.0,0.0,1.0
26.0,delete,0.08208499862389883,10.0,2.0,0.2865047968601896,2.0,0.0,0.0,0.0,0.0
27.0,swap,0.009752303981006199,10.0,2.0,0.2865047968601896,2.0,0.0,1.0,0.0,0.0
28.0,add,0.9346645654712504,11.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
29.0,add,0.854975072048771,11.0,2.0,0.9346645654712504,4.0,1.0,1.0,0.0,0.0
30.0,delete,0.9346645654712499,11.0,2.0,0.9346645654712504,4.0,0.0,0.0,0.0,0.0
31.0,swap,0.2677858814627586,11.0,2.0,0.9346645654712504,3.0,1.0,0.0,1.0,0.0
32.0,add,0.9346645654712509,12.0,3.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
33.0,add,0.9346645654712504,12.0,3.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
