budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.042078979774733447,1.0,1.0,0.04207897977473338,4.0,1.0,0.0,0.0,0.0
2.0,delete,0.2848217821726909,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.28482178217269083,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,add,0.2848217821726909,2.0,2.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
5.0,delete,-0.060574287960367845,2.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
6.0,swap,-0.023301413113178432,2.0,2.0,0.2848217821726909,2.0,0.0,1.0,0.0,0.0
7.0,swap,0.2848217821726909,3.0,2.0,0.28482178217269083,3.0,0.0,0.0,1.0,0.0
8.0,add,-0.19845191972393958,3.0,2.0,0.28482178217269083,3.0,1.0,0.0,1.0,0.0
9.0,delete,-0.015824144146880936,3.0,2.0,0.28482178217269083,2.0,0.0,0.0,1.0,0.0
10.0,swap,0.3512881771660213,3.0,2.0,0.28482178217269083,2.0,0.0,0.0,2.0,0.0
11.0,add,0.042078979774733405,4.0,2.0,0.042078979774733447,4.0,1.0,0.0,0.0,0.0
12.0,add,-0.1865467450243135,4.0,2.0,0.042078979774733447,4.0,1.0,1.0,0.0,0.0
13.0,delete,-0.13563389586980046,4.0,2.0,0.042078979774733447,3.0,1.0,0.0,0.0,0.0
14.0,swap,0.28482178217269083,4.0,2.0,0.042078979774733447,3.0,1.0,0.0,1.0,0.0
15.0,swap,-0.13563389586980043,5.0,1.0,0.14133113552811646,3.0,0.0,0.0,1.0,0.0
16.0,delete,-0.13563389586980037,6.0,1.0,0.12144196581795888,3.0,0.0,0.0,0.0,0.0
17.0,swap,0.35128817716602123,7.0,3.0,0.3512881771660213,2.0,0.0,0.0,2.0,0.0
18.0,add,0.16188873149765287,7.0,3.0,0.3512881771660213,2.0,0.0,0.0,2.0,1.0
19.0,delete,0.35128817716602123,7.0,3.0,0.3512881771660213,2.0,0.0,0.0,1.0,0.0
20.0,swap,0.35128817716602123,7.0,3.0,0.3512881771660213,2.0,0.0,0.0,2.0,0.0
21.0,swap,0.28482178217269083,8.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
22.0,add,-0.1127630180295883,8.0,3.0,0.2848217821726909,3.0,1.0,0.0,1.0,0.0
23.0,delete,-0.06057428796036793,8.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
24.0,swap,0.2848217821726909,8.0,3.0,0.2848217821726909,3.0,0.0,0.0,0.0,1.0
25.0,swap,-0.13563389586980037,9.0,1.0,0.15593437879442318,3.0,0.0,0.0,1.0,0.0
26.0,add,-0.08651503480756371,10.0,3.0,0.2848217821726909,3.0,1.0,0.0,0.0,1.0
27.0,delete,0.2848217821726909,10.0,3.0,0.2848217821726909,3.0,0.0,0.0,0.0,0.0
28.0,swap,0.11422439833927706,10.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,1.0
29.0,swap,0.3512881771660212,11.0,2.0,0.31340828803234755,2.0,1.0,0.0,1.0,0.0
30.0,swap,0.35128817716602123,12.0,3.0,0.3512881771660212,2.0,1.0,0.0,1.0,0.0
31.0,add,0.22794189937245973,12.0,3.0,0.3512881771660212,2.0,2.0,0.0,1.0,0.0
32.0,delete,0.35128817716602123,12.0,3.0,0.3512881771660212,2.0,1.0,0.0,0.0,0.0
33.0,swap,0.3379884089092063,12.0,3.0,0.3512881771660212,2.0,0.0,1.0,1.0,0.0
34.0,delete,0.35128817716602123,13.0,4.0,0.35128817716602123,2.0,1.0,0.0,0.0,0.0
35.0,add,0.3512881771660213,13.0,4.0,0.35128817716602123,2.0,2.0,0.0,0.0,0.0
36.0,delete,0.3512881771660213,13.0,4.0,0.35128817716602123,2.0,0.0,0.0,0.0,0.0
