budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.55611351967593,1.0,1.0,74.5559015470189,8.0,0.0,1.0,0.0,0.0
2.0,delete,74.53988496986284,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.54599748162782,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
4.0,add,74.55568645410746,2.0,2.0,74.55611351967593,8.0,0.0,1.0,0.0,0.0
5.0,add,74.55611351967593,2.0,2.0,74.55611351967593,8.0,1.0,1.0,0.0,0.0
6.0,delete,74.61759972719226,2.0,2.0,74.55611351967593,7.0,0.0,1.0,0.0,0.0
7.0,swap,74.65047016103418,2.0,2.0,74.55611351967593,7.0,0.0,2.0,0.0,0.0
8.0,swap,74.54854592300954,3.0,2.0,74.54599748162782,7.0,0.0,0.0,1.0,0.0
9.0,add,74.54599748162781,3.0,2.0,74.54599748162782,7.0,1.0,0.0,1.0,0.0
10.0,delete,74.55316758757426,3.0,2.0,74.54599748162782,7.0,0.0,0.0,0.0,0.0
11.0,swap,74.39011618121248,3.0,2.0,74.54599748162782,6.0,0.0,0.0,1.0,1.0
12.0,add,74.53988496986284,4.0,2.0,74.53988496986284,7.0,1.0,0.0,0.0,0.0
13.0,delete,74.4374273315449,4.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
14.0,swap,74.45508962908235,4.0,2.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
15.0,add,74.54609523151865,5.0,1.0,74.58719667633716,8.0,0.0,0.0,0.0,1.0
16.0,add,74.5698675642781,6.0,2.0,74.54609523151865,8.0,0.0,0.0,1.0,1.0
17.0,delete,74.54950443020003,6.0,2.0,74.54609523151865,7.0,0.0,0.0,0.0,1.0
18.0,swap,74.56230941917758,6.0,2.0,74.54609523151865,7.0,0.0,1.0,0.0,1.0
19.0,delete,74.62027420950717,7.0,1.0,74.49307172508823,7.0,0.0,0.0,0.0,0.0
20.0,add,74.62027420950717,8.0,2.0,74.62027420950717,7.0,0.0,0.0,0.0,1.0
21.0,delete,74.64494185732727,8.0,2.0,74.62027420950717,6.0,0.0,0.0,0.0,0.0
22.0,swap,74.54245278512022,8.0,2.0,74.62027420950717,6.0,0.0,1.0,0.0,0.0
23.0,swap,74.69435607995509,9.0,1.0,74.51676493101039,7.0,0.0,1.0,0.0,0.0
24.0,swap,74.69239937078028,10.0,2.0,74.69435607995509,7.0,0.0,1.0,0.0,0.0
25.0,add,74.69435607995509,10.0,2.0,74.69435607995509,7.0,0.0,1.0,0.0,1.0
26.0,delete,74.67240838916362,10.0,2.0,74.69435607995509,6.0,0.0,1.0,0.0,0.0
27.0,swap,74.5396278039862,10.0,2.0,74.69435607995509,7.0,0.0,0.0,1.0,0.0
28.0,add,74.56577923470216,11.0,3.0,74.5698675642781,8.0,0.0,0.0,1.0,1.0
29.0,add,74.5698675642781,11.0,3.0,74.5698675642781,8.0,0.0,0.0,1.0,2.0
30.0,delete,74.64483522377272,11.0,3.0,74.5698675642781,7.0,0.0,0.0,1.0,1.0
31.0,swap,74.6099592659693,11.0,3.0,74.5698675642781,7.0,0.0,0.0,2.0,1.0
32.0,add,74.69402771924801,12.0,3.0,74.69435607995509,7.0,0.0,1.0,0.0,1.0
33.0,add,74.64911003016171,12.0,3.0,74.69435607995509,7.0,1.0,1.0,0.0,1.0
34.0,delete,74.65830424793403,12.0,3.0,74.69435607995509,6.0,0.0,1.0,0.0,1.0
35.0,swap,74.58651227561859,12.0,3.0,74.69435607995509,6.0,0.0,2.0,0.0,1.0
36.0,add,74.69752988746907,13.0,3.0,74.64494185732727,6.0,0.0,0.0,0.0,1.0
37.0,delete,74.63013414026925,13.0,3.0,74.64494185732727,5.0,0.0,0.0,0.0,0.0
38.0,swap,74.62876229450923,13.0,3.0,74.64494185732727,5.0,0.0,1.0,0.0,0.0
39.0,delete,74.63416553902063,14.0,1.0,74.57787784400566,7.0,0.0,0.0,0.0,0.0
40.0,swap,74.53439332047098,15.0,1.0,74.60463761798961,7.0,1.0,0.0,0.0,0.0
41.0,add,74.62586473241656,16.0,2.0,74.63416553902063,7.0,0.0,0.0,1.0,0.0
42.0,delete,74.52482483630274,16.0,2.0,74.63416553902063,6.0,0.0,0.0,0.0,0.0
43.0,swap,74.64840748163557,16.0,2.0,74.63416553902063,6.0,1.0,0.0,0.0,0.0
44.0,swap,74.53139391349187,17.0,2.0,74.53439332047098,7.0,1.0,0.0,0.0,0.0
45.0,add,74.53439332047098,17.0,2.0,74.53439332047098,7.0,1.0,0.0,0.0,1.0
46.0,delete,74.68426896271406,17.0,2.0,74.53439332047098,6.0,1.0,0.0,0.0,0.0
47.0,swap,74.6763077728128,17.0,2.0,74.53439332047098,6.0,2.0,0.0,0.0,0.0
48.0,add,74.54189096813833,18.0,1.0,74.58109240889095,8.0,0.0,1.0,0.0,0.0
49.0,add,74.54238806664246,19.0,2.0,74.54189096813833,8.0,0.0,1.0,0.0,0.0
50.0,add,74.54189096813835,19.0,2.0,74.54189096813833,8.0,1.0,1.0,0.0,0.0
51.0,delete,74.51406549785176,19.0,2.0,74.54189096813833,7.0,0.0,1.0,0.0,0.0
52.0,swap,74.54332037097558,19.0,2.0,74.54189096813833,7.0,1.0,1.0,0.0,0.0
53.0,swap,74.64840748163557,20.0,3.0,74.64840748163557,6.0,1.0,0.0,0.0,0.0
54.0,add,74.65000068851494,20.0,3.0,74.64840748163557,6.0,1.0,0.0,1.0,0.0
55.0,delete,74.6089425247063,20.0,3.0,74.64840748163557,5.0,1.0,0.0,0.0,0.0
56.0,swap,74.621689949154,20.0,3.0,74.64840748163557,5.0,1.0,0.0,1.0,0.0
57.0,delete,74.68267623266884,21.0,3.0,74.68426896271406,6.0,1.0,0.0,0.0,0.0
58.0,add,74.68426896271406,21.0,3.0,74.68426896271406,6.0,2.0,0.0,0.0,0.0
59.0,delete,74.67771224438785,21.0,3.0,74.68426896271406,5.0,1.0,0.0,0.0,0.0
60.0,swap,74.61123739100803,21.0,3.0,74.68426896271406,5.0,2.0,0.0,0.0,0.0
61.0,add,74.60668208642734,22.0,3.0,74.62027420950717,7.0,0.0,1.0,0.0,1.0
62.0,delete,74.5201274476482,22.0,3.0,74.62027420950717,6.0,0.0,0.0,0.0,1.0
63.0,swap,74.67691179517195,22.0,3.0,74.62027420950717,6.0,1.0,0.0,0.0,1.0
64.0,swap,74.69430348816825,23.0,3.0,74.69239937078028,7.0,0.0,1.0,0.0,0.0
65.0,add,74.69043106071332,23.0,3.0,74.69239937078028,7.0,0.0,1.0,0.0,1.0
66.0,delete,74.56550568688323,23.0,3.0,74.69239937078028,6.0,0.0,1.0,0.0,0.0
67.0,swap,74.48296952228203,23.0,3.0,74.69239937078028,6.0,0.0,2.0,0.0,0.0
68.0,add,74.53988496986284,24.0,3.0,74.53988496986284,7.0,1.0,0.0,0.0,0.0
69.0,add,74.55886506289738,24.0,3.0,74.53988496986284,7.0,1.0,1.0,0.0,0.0
70.0,delete,74.43742733154488,24.0,3.0,74.53988496986284,6.0,1.0,0.0,0.0,0.0
71.0,swap,74.67538154067434,24.0,3.0,74.53988496986284,6.0,1.0,0.0,1.0,0.0
72.0,swap,74.66573639057488,25.0,3.0,74.65047016103418,7.0,0.0,2.0,0.0,0.0
73.0,add,74.6552653856,25.0,3.0,74.65047016103418,7.0,1.0,2.0,0.0,0.0
74.0,delete,74.64083204021316,25.0,3.0,74.65047016103418,6.0,0.0,2.0,0.0,0.0
75.0,swap,74.63174963899422,25.0,3.0,74.65047016103418,6.0,1.0,2.0,0.0,0.0
76.0,swap,74.67636163028631,26.0,3.0,74.6763077728128,6.0,2.0,0.0,0.0,0.0
77.0,add,74.6763077728128,26.0,3.0,74.6763077728128,6.0,3.0,0.0,0.0,0.0
78.0,delete,74.58080544503107,26.0,3.0,74.6763077728128,5.0,2.0,0.0,0.0,0.0
79.0,swap,74.59781151807942,26.0,3.0,74.6763077728128,5.0,3.0,0.0,0.0,0.0
80.0,swap,74.52180979904563,27.0,3.0,74.54332037097558,7.0,1.0,1.0,0.0,0.0
81.0,add,74.54332037097556,27.0,3.0,74.54332037097558,7.0,2.0,1.0,0.0,0.0
82.0,delete,74.65669547878689,27.0,3.0,74.54332037097558,6.0,1.0,1.0,0.0,0.0
83.0,swap,74.5703942809096,27.0,3.0,74.54332037097558,6.0,2.0,1.0,0.0,0.0
84.0,add,74.55316758757426,28.0,3.0,74.55316758757426,7.0,0.0,0.0,0.0,1.0
85.0,delete,74.71381164012078,28.0,3.0,74.55316758757426,6.0,0.0,0.0,0.0,0.0
86.0,swap,74.6923223634995,28.0,3.0,74.55316758757426,6.0,1.0,0.0,0.0,0.0
87.0,delete,74.66150801835664,29.0,3.0,74.67240838916362,6.0,0.0,1.0,0.0,0.0
88.0,add,74.70127381359967,29.0,3.0,74.67240838916362,6.0,0.0,2.0,0.0,0.0
89.0,delete,74.5338436342787,29.0,3.0,74.67240838916362,5.0,0.0,1.0,0.0,0.0
90.0,swap,74.71143208817989,29.0,3.0,74.67240838916362,5.0,1.0,1.0,0.0,0.0
91.0,add,74.62534771035632,30.0,3.0,74.62586473241656,7.0,0.0,0.0,1.0,0.0
92.0,add,74.62586473241656,30.0,3.0,74.62586473241656,7.0,0.0,0.0,1.0,1.0
93.0,delete,74.52605412102974,30.0,3.0,74.62586473241656,6.0,0.0,0.0,1.0,0.0
94.0,swap,74.4341485545338,30.0,3.0,74.62586473241656,6.0,1.0,0.0,1.0,0.0
95.0,swap,74.54812151681469,31.0,3.0,74.54854592300954,7.0,0.0,0.0,1.0,0.0
96.0,add,74.67700037662819,31.0,3.0,74.54854592300954,7.0,0.0,1.0,1.0,0.0
97.0,delete,74.43688672343258,31.0,3.0,74.54854592300954,6.0,0.0,0.0,1.0,0.0
98.0,swap,74.65144887682703,31.0,3.0,74.54854592300954,6.0,0.0,0.0,2.0,0.0
99.0,delete,74.59911067035877,32.0,3.0,74.61759972719226,7.0,0.0,1.0,0.0,0.0
100.0,add,74.59505951760865,32.0,3.0,74.61759972719226,7.0,0.0,1.0,1.0,0.0
101.0,delete,74.6426076967808,32.0,3.0,74.61759972719226,6.0,0.0,1.0,0.0,0.0
102.0,swap,74.64417836896664,32.0,3.0,74.61759972719226,6.0,0.0,2.0,0.0,0.0
103.0,swap,74.62511772502192,33.0,1.0,74.61730694133719,7.0,1.0,0.0,0.0,0.0
104.0,swap,74.55719447513867,34.0,3.0,74.56230941917758,7.0,0.0,1.0,0.0,1.0
105.0,add,74.56230941917758,34.0,3.0,74.56230941917758,7.0,1.0,1.0,0.0,1.0
106.0,delete,74.66398341300851,34.0,3.0,74.56230941917758,6.0,0.0,1.0,0.0,1.0
107.0,swap,74.63354762506015,34.0,3.0,74.56230941917758,6.0,0.0,1.0,1.0,1.0
108.0,swap,74.62296432964689,35.0,2.0,74.62511772502192,7.0,1.0,0.0,0.0,0.0
109.0,add,74.62511772502192,35.0,2.0,74.62511772502192,7.0,1.0,0.0,0.0,1.0
110.0,delete,74.69406439835815,35.0,2.0,74.62511772502192,6.0,1.0,0.0,0.0,0.0
111.0,swap,74.62027420950716,35.0,2.0,74.62511772502192,7.0,0.0,0.0,1.0,0.0
112.0,swap,74.54758320081214,36.0,3.0,74.54245278512022,6.0,0.0,1.0,0.0,0.0
113.0,add,74.54245278512022,36.0,3.0,74.54245278512022,6.0,0.0,1.0,0.0,1.0
114.0,delete,74.59001588234662,36.0,3.0,74.54245278512022,5.0,0.0,1.0,0.0,0.0
115.0,swap,74.34118419606884,36.0,3.0,74.54245278512022,5.0,0.0,1.0,1.0,0.0
116.0,delete,74.6943260085379,37.0,3.0,74.69406439835815,6.0,1.0,0.0,0.0,0.0
117.0,add,74.69406439835815,37.0,3.0,74.69406439835815,6.0,1.0,0.0,1.0,0.0
118.0,delete,74.65826350619122,37.0,3.0,74.69406439835815,5.0,1.0,0.0,0.0,0.0
119.0,swap,74.72733359673772,37.0,3.0,74.69406439835815,5.0,1.0,0.0,1.0,0.0
120.0,add,74.62298546180489,38.0,3.0,74.62511772502192,7.0,1.0,0.0,0.0,1.0
121.0,add,74.61642424493154,38.0,3.0,74.62511772502192,7.0,1.0,1.0,0.0,1.0
