budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.229370100288218,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,5.468147616604213,1.0,1.0,5.808421654950915,9.0,1.0,0.0,0.0,0.0
4.0,add,6.249320509664026,2.0,2.0,6.229370100288218,9.0,0.0,0.0,1.0,0.0
5.0,delete,6.5487621434047725,2.0,2.0,6.229370100288218,8.0,0.0,0.0,0.0,0.0
6.0,swap,6.724065070021633,2.0,2.0,6.229370100288218,8.0,0.0,1.0,0.0,0.0
7.0,delete,6.229370100288379,3.0,1.0,6.437879455844663,9.0,0.0,0.0,0.0,0.0
8.0,add,6.229436156351122,4.0,2.0,6.229370100288379,9.0,0.0,0.0,1.0,0.0
9.0,delete,6.004109270419879,4.0,2.0,6.229370100288379,8.0,0.0,0.0,0.0,0.0
10.0,swap,6.737666730415424,4.0,2.0,6.229370100288379,8.0,1.0,0.0,0.0,0.0
11.0,swap,6.678681645841309,5.0,3.0,6.724065070021633,8.0,0.0,1.0,0.0,0.0
12.0,add,6.724065070021633,5.0,3.0,6.724065070021633,8.0,0.0,1.0,1.0,0.0
13.0,delete,6.600049997922314,5.0,3.0,6.724065070021633,7.0,0.0,1.0,0.0,0.0
14.0,swap,6.811815156781518,5.0,3.0,6.724065070021633,7.0,1.0,1.0,0.0,0.0
15.0,delete,5.521084501744535,6.0,1.0,6.480559329285019,9.0,0.0,0.0,0.0,0.0
16.0,add,5.808421654950915,7.0,2.0,5.808421654950915,10.0,0.0,0.0,0.0,2.0
17.0,delete,5.75324413063205,7.0,2.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
18.0,swap,6.229370100288379,7.0,2.0,5.808421654950915,9.0,0.0,0.0,0.0,2.0
19.0,add,6.13753155388771,8.0,3.0,6.5487621434047725,8.0,0.0,0.0,0.0,1.0
20.0,delete,6.83587960979894,8.0,3.0,6.5487621434047725,7.0,0.0,0.0,0.0,0.0
21.0,swap,6.806114413874775,8.0,3.0,6.5487621434047725,7.0,0.0,1.0,0.0,0.0
22.0,swap,6.000661641532226,9.0,2.0,6.7077353881176816,8.0,0.0,0.0,0.0,1.0
23.0,add,6.249145290607413,10.0,3.0,6.249320509664026,9.0,0.0,0.0,1.0,0.0
24.0,add,6.251607444220939,10.0,3.0,6.249320509664026,9.0,0.0,0.0,2.0,0.0
25.0,delete,6.757617139791099,10.0,3.0,6.249320509664026,8.0,0.0,0.0,1.0,0.0
26.0,swap,6.071208829820058,10.0,3.0,6.249320509664026,8.0,1.0,0.0,1.0,0.0
27.0,swap,6.737666730415423,11.0,3.0,6.737666730415424,8.0,1.0,0.0,0.0,0.0
28.0,add,6.328848965149086,11.0,3.0,6.737666730415424,8.0,1.0,0.0,0.0,1.0
29.0,delete,7.022778207289853,11.0,3.0,6.737666730415424,7.0,1.0,0.0,0.0,0.0
30.0,swap,6.730516287041092,11.0,3.0,6.737666730415424,8.0,0.0,0.0,1.0,0.0
31.0,swap,6.590531947098564,12.0,2.0,6.711495384062175,8.0,0.0,0.0,0.0,1.0
32.0,add,6.169734631451638,13.0,3.0,6.590531947098564,8.0,0.0,0.0,0.0,2.0
33.0,delete,7.033960325402223,13.0,3.0,6.590531947098564,7.0,0.0,0.0,0.0,1.0
34.0,swap,6.5080974174483766,13.0,3.0,6.590531947098564,7.0,0.0,0.0,0.0,2.0
35.0,add,6.229775196587315,14.0,3.0,6.229436156351122,9.0,0.0,0.0,1.0,0.0
36.0,add,6.229436156351122,14.0,3.0,6.229436156351122,9.0,0.0,0.0,1.0,1.0
37.0,delete,6.742733791678234,14.0,3.0,6.229436156351122,8.0,0.0,0.0,1.0,0.0
38.0,swap,6.58054099324877,14.0,3.0,6.229436156351122,8.0,1.0,0.0,1.0,0.0
39.0,delete,7.022778207289854,15.0,4.0,7.022778207289853,7.0,1.0,0.0,0.0,0.0
40.0,add,7.022778207289853,15.0,4.0,7.022778207289853,7.0,1.0,0.0,0.0,1.0
41.0,delete,7.227860207637773,15.0,4.0,7.022778207289853,6.0,1.0,0.0,0.0,0.0
42.0,swap,7.2641528560873665,15.0,4.0,7.022778207289853,6.0,1.0,1.0,0.0,0.0
43.0,swap,6.742667735615496,16.0,2.0,6.799797747693578,8.0,0.0,0.0,1.0,0.0
44.0,swap,6.742667735615493,17.0,3.0,6.742667735615496,8.0,0.0,0.0,1.0,0.0
45.0,add,6.742667735615496,17.0,3.0,6.742667735615496,8.0,0.0,0.0,1.0,1.0
46.0,delete,6.621785639771633,17.0,3.0,6.742667735615496,7.0,0.0,0.0,1.0,0.0
47.0,swap,6.600527309843292,17.0,3.0,6.742667735615496,7.0,0.0,0.0,1.0,1.0
48.0,delete,6.3840264894679555,18.0,1.0,6.554525444300618,9.0,0.0,0.0,0.0,0.0
49.0,add,6.3840264894679555,19.0,2.0,6.3840264894679555,9.0,0.0,0.0,0.0,1.0
50.0,delete,6.837911567389752,19.0,2.0,6.3840264894679555,8.0,0.0,0.0,0.0,0.0
51.0,swap,6.742667735615357,19.0,2.0,6.3840264894679555,8.0,1.0,0.0,0.0,0.0
52.0,add,6.3282938419257215,20.0,3.0,6.837911567389752,8.0,0.0,0.0,0.0,1.0
53.0,delete,6.7480464950986185,20.0,3.0,6.837911567389752,7.0,0.0,0.0,0.0,0.0
54.0,swap,7.113631298380197,20.0,3.0,6.837911567389752,7.0,0.0,0.0,1.0,0.0
55.0,swap,6.742667735615356,21.0,3.0,6.742667735615357,8.0,1.0,0.0,0.0,0.0
56.0,add,6.742667735615358,21.0,3.0,6.742667735615357,8.0,2.0,0.0,0.0,0.0
57.0,delete,7.022778207289646,21.0,3.0,6.742667735615357,7.0,1.0,0.0,0.0,0.0
