budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9346645654712499,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.024168698727418943,1.0,1.0,0.9346645654712499,3.0,0.0,1.0,0.0,0.0
4.0,add,0.9346645654712499,2.0,2.0,0.9346645654712499,4.0,0.0,0.0,0.0,2.0
5.0,delete,0.2677858814627586,2.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
6.0,swap,0.20165014898508762,2.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,1.0
7.0,add,0.9291595560712466,3.0,1.0,0.5846912903475865,4.0,0.0,0.0,1.0,0.0
8.0,add,0.9291595560712466,4.0,2.0,0.9291595560712466,4.0,0.0,0.0,1.0,0.0
9.0,add,0.929159556071246,4.0,2.0,0.9291595560712466,4.0,1.0,0.0,1.0,0.0
10.0,delete,0.41254423370054644,4.0,2.0,0.9291595560712466,3.0,0.0,0.0,1.0,0.0
11.0,swap,0.08208499862389883,4.0,2.0,0.9291595560712466,3.0,0.0,0.0,1.0,1.0
12.0,add,0.9291595560712466,5.0,3.0,0.9291595560712466,4.0,0.0,0.0,1.0,0.0
13.0,add,0.07353125414783068,5.0,3.0,0.9291595560712466,4.0,0.0,1.0,1.0,0.0
14.0,delete,0.26620866986289704,5.0,3.0,0.9291595560712466,3.0,0.0,0.0,1.0,0.0
15.0,swap,0.2865047968601896,5.0,3.0,0.9291595560712466,3.0,0.0,0.0,2.0,0.0
16.0,add,0.9346645654712499,6.0,1.0,0.5520213337592842,4.0,0.0,0.0,0.0,1.0
17.0,add,0.9288459652466221,7.0,2.0,0.9346645654712499,4.0,0.0,0.0,1.0,1.0
18.0,delete,0.41493656343447627,7.0,2.0,0.9346645654712499,3.0,0.0,0.0,0.0,1.0
19.0,swap,0.18887560283756202,7.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,1.0
20.0,add,0.9288459652466221,8.0,3.0,0.9288459652466221,4.0,0.0,0.0,1.0,1.0
21.0,add,0.9116634827020548,8.0,3.0,0.9288459652466221,4.0,0.0,0.0,2.0,1.0
22.0,delete,0.2847212084617923,8.0,3.0,0.9288459652466221,3.0,0.0,0.0,1.0,1.0
23.0,swap,0.1876997888977839,8.0,3.0,0.9288459652466221,3.0,0.0,0.0,1.0,2.0
24.0,add,0.9288459652466221,9.0,3.0,0.9346645654712499,4.0,0.0,0.0,1.0,2.0
25.0,delete,0.41493656343447627,9.0,3.0,0.9346645654712499,3.0,0.0,0.0,0.0,2.0
26.0,swap,0.9346645654712504,9.0,3.0,0.9346645654712499,4.0,1.0,0.0,0.0,1.0
27.0,add,0.9346645654712509,10.0,2.0,0.8032779149058997,4.0,1.0,0.0,0.0,1.0
28.0,add,0.9346645654712509,11.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,1.0
29.0,add,0.9318978893120237,11.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,1.0
30.0,delete,0.1888756028375619,11.0,3.0,0.9346645654712509,3.0,1.0,0.0,0.0,1.0
31.0,swap,0.2677858814627587,11.0,3.0,0.9346645654712509,3.0,2.0,0.0,0.0,1.0
32.0,swap,0.934664565471252,12.0,4.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
33.0,add,0.9318978893120227,12.0,4.0,0.9346645654712504,4.0,1.0,0.0,1.0,1.0
