budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.5871125297375,1.0,1.0,74.5559015470189,8.0,0.0,0.0,1.0,0.0
2.0,delete,74.54076886114966,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.62027420950716,1.0,1.0,74.5559015470189,7.0,0.0,0.0,1.0,0.0
4.0,swap,74.62027420950717,2.0,2.0,74.62027420950716,7.0,0.0,0.0,1.0,0.0
5.0,add,74.59980873405162,2.0,2.0,74.62027420950716,7.0,0.0,1.0,1.0,0.0
6.0,delete,74.68854868443445,2.0,2.0,74.62027420950716,6.0,0.0,0.0,1.0,0.0
7.0,swap,74.68854868443445,2.0,2.0,74.62027420950716,6.0,0.0,0.0,1.0,1.0
8.0,add,74.58773823315117,3.0,2.0,74.5871125297375,8.0,0.0,0.0,1.0,0.0
9.0,add,74.5871125297375,3.0,2.0,74.5871125297375,8.0,0.0,0.0,1.0,1.0
10.0,delete,74.65290608297937,3.0,2.0,74.5871125297375,7.0,0.0,0.0,1.0,0.0
11.0,swap,74.63562383948718,3.0,2.0,74.5871125297375,7.0,0.0,0.0,1.0,1.0
12.0,add,74.57829980546248,4.0,2.0,74.54076886114966,7.0,0.0,0.0,0.0,1.0
13.0,delete,74.39026641504398,4.0,2.0,74.54076886114966,6.0,0.0,0.0,0.0,0.0
14.0,swap,74.59395094813878,4.0,2.0,74.54076886114966,6.0,0.0,1.0,0.0,0.0
15.0,swap,74.58457862125829,5.0,1.0,74.64349090438698,7.0,0.0,1.0,0.0,0.0
16.0,swap,74.61117001317302,6.0,2.0,74.58457862125829,7.0,0.0,1.0,0.0,0.0
17.0,add,74.58457862125829,6.0,2.0,74.58457862125829,7.0,0.0,1.0,0.0,1.0
18.0,delete,74.69246522409627,6.0,2.0,74.58457862125829,6.0,0.0,1.0,0.0,0.0
19.0,swap,74.64078573700202,6.0,2.0,74.58457862125829,6.0,0.0,1.0,1.0,0.0
20.0,add,74.5559015470189,7.0,1.0,74.61009864301855,8.0,0.0,0.0,0.0,1.0
21.0,add,74.54802962846779,8.0,2.0,74.5559015470189,8.0,0.0,0.0,1.0,1.0
22.0,delete,74.54076886114966,8.0,2.0,74.5559015470189,7.0,0.0,0.0,0.0,1.0
23.0,swap,74.53261566936523,8.0,2.0,74.5559015470189,7.0,0.0,1.0,0.0,1.0
24.0,delete,74.68854868443445,9.0,3.0,74.68854868443445,6.0,0.0,0.0,1.0,0.0
25.0,add,74.43427995230256,9.0,3.0,74.68854868443445,6.0,0.0,0.0,1.0,1.0
26.0,delete,74.64348763633286,9.0,3.0,74.68854868443445,5.0,0.0,0.0,1.0,0.0
27.0,swap,74.64122281219397,9.0,3.0,74.68854868443445,5.0,1.0,0.0,1.0,0.0
28.0,swap,74.66782217547768,10.0,1.0,74.62418370171333,7.0,0.0,0.0,0.0,1.0
29.0,add,74.66782217547768,11.0,2.0,74.66782217547768,7.0,1.0,0.0,0.0,1.0
30.0,delete,74.62234247519794,11.0,2.0,74.66782217547768,7.0,0.0,0.0,0.0,0.0
31.0,swap,74.43019510447917,11.0,2.0,74.66782217547768,6.0,0.0,1.0,0.0,1.0
32.0,delete,74.53988496986284,12.0,1.0,74.52582150744873,7.0,0.0,0.0,0.0,0.0
33.0,delete,74.69907919124894,13.0,3.0,74.69246522409627,6.0,0.0,1.0,0.0,0.0
34.0,add,74.69246522409627,13.0,3.0,74.69246522409627,6.0,0.0,1.0,0.0,1.0
35.0,delete,74.68476732301816,13.0,3.0,74.69246522409627,5.0,0.0,1.0,0.0,0.0
36.0,swap,74.63764674903831,13.0,3.0,74.69246522409627,5.0,1.0,1.0,0.0,0.0
37.0,add,74.66782217547771,14.0,3.0,74.66782217547768,7.0,1.0,0.0,0.0,1.0
38.0,add,74.66782217547768,14.0,3.0,74.66782217547768,7.0,2.0,0.0,0.0,1.0
39.0,delete,74.62234247519794,14.0,3.0,74.66782217547768,7.0,1.0,0.0,0.0,0.0
40.0,swap,74.66782217547768,14.0,3.0,74.66782217547768,7.0,0.0,0.0,0.0,2.0
41.0,delete,74.65184382790068,15.0,3.0,74.65290608297937,7.0,0.0,0.0,1.0,0.0
42.0,add,74.63485692368305,15.0,3.0,74.65290608297937,7.0,0.0,1.0,1.0,0.0
43.0,delete,74.69375353067888,15.0,3.0,74.65290608297937,6.0,0.0,0.0,1.0,0.0
44.0,swap,74.61499957801013,15.0,3.0,74.65290608297937,7.0,0.0,0.0,1.0,0.0
45.0,add,74.5559015470189,16.0,1.0,74.60178944472054,8.0,1.0,0.0,0.0,0.0
46.0,swap,74.64078573700198,17.0,3.0,74.64078573700202,6.0,0.0,1.0,1.0,0.0
47.0,add,74.63909714361401,17.0,3.0,74.64078573700202,6.0,0.0,1.0,2.0,0.0
48.0,delete,74.64602088546322,17.0,3.0,74.64078573700202,5.0,0.0,1.0,1.0,0.0
49.0,swap,74.64602088546319,17.0,3.0,74.64078573700202,5.0,0.0,1.0,2.0,0.0
50.0,add,74.62234247519794,18.0,3.0,74.62234247519794,7.0,0.0,0.0,0.0,1.0
51.0,delete,74.69064450339273,18.0,3.0,74.62234247519794,6.0,0.0,0.0,0.0,0.0
52.0,swap,74.41300856123992,18.0,3.0,74.62234247519794,6.0,1.0,0.0,0.0,0.0
53.0,add,74.45314362763433,19.0,2.0,74.53988496986284,7.0,0.0,0.0,0.0,1.0
54.0,delete,74.50231233450025,19.0,2.0,74.53988496986284,6.0,0.0,0.0,0.0,0.0
55.0,swap,74.4326126365653,19.0,2.0,74.53988496986284,6.0,0.0,1.0,0.0,0.0
56.0,add,74.5559015470189,20.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
57.0,add,74.5559015470189,20.0,2.0,74.5559015470189,8.0,1.0,0.0,0.0,1.0
58.0,delete,74.62234247519793,20.0,2.0,74.5559015470189,7.0,1.0,0.0,0.0,0.0
59.0,swap,74.5621365062592,20.0,2.0,74.5559015470189,7.0,1.0,1.0,0.0,0.0
60.0,swap,74.62687655643592,21.0,3.0,74.61117001317302,7.0,0.0,1.0,0.0,0.0
61.0,add,74.61117001317302,21.0,3.0,74.61117001317302,7.0,0.0,1.0,0.0,1.0
62.0,delete,74.67362451597268,21.0,3.0,74.61117001317302,6.0,0.0,1.0,0.0,0.0
63.0,swap,74.53458916077139,21.0,3.0,74.61117001317302,6.0,0.0,1.0,1.0,0.0
64.0,swap,74.68854868443444,22.0,3.0,74.68854868443445,6.0,0.0,0.0,1.0,1.0
65.0,add,74.68854868443445,22.0,3.0,74.68854868443445,6.0,0.0,0.0,1.0,2.0
66.0,delete,74.68854868443448,22.0,3.0,74.68854868443445,6.0,0.0,0.0,0.0,1.0
67.0,swap,74.69277172491725,22.0,3.0,74.68854868443445,6.0,0.0,0.0,0.0,2.0
68.0,swap,74.62799672142663,23.0,1.0,74.63339315755121,7.0,0.0,0.0,1.0,0.0
69.0,swap,74.62796987233199,24.0,2.0,74.62799672142663,7.0,0.0,0.0,1.0,0.0
70.0,add,74.62799672142663,24.0,2.0,74.62799672142663,7.0,0.0,0.0,1.0,1.0
71.0,delete,74.65352898430145,24.0,2.0,74.62799672142663,6.0,0.0,0.0,1.0,0.0
72.0,swap,74.71522690409637,24.0,2.0,74.62799672142663,6.0,0.0,0.0,1.0,1.0
73.0,swap,74.71548449642738,25.0,3.0,74.71522690409637,6.0,0.0,0.0,1.0,1.0
74.0,add,74.71522690409637,25.0,3.0,74.71522690409637,6.0,1.0,0.0,1.0,1.0
75.0,delete,74.88021258657605,25.0,3.0,74.71522690409637,5.0,0.0,0.0,1.0,1.0
76.0,swap,74.56393735181494,25.0,3.0,74.71522690409637,5.0,0.0,0.0,1.0,2.0
77.0,delete,74.65356707618801,26.0,3.0,74.65352898430145,6.0,0.0,0.0,1.0,0.0
78.0,add,74.65352898430145,26.0,3.0,74.65352898430145,6.0,0.0,0.0,1.0,1.0
79.0,delete,74.64840748163559,26.0,3.0,74.65352898430145,6.0,0.0,0.0,0.0,0.0
80.0,swap,74.63013414026923,26.0,3.0,74.65352898430145,5.0,0.0,0.0,2.0,0.0
81.0,add,74.6280296112326,27.0,3.0,74.62799672142663,7.0,0.0,0.0,1.0,1.0
82.0,add,74.62799672142663,27.0,3.0,74.62799672142663,7.0,0.0,0.0,1.0,2.0
83.0,delete,74.62799672142663,27.0,3.0,74.62799672142663,7.0,0.0,0.0,1.0,0.0
84.0,swap,74.63416553902063,27.0,3.0,74.62799672142663,7.0,0.0,0.0,0.0,2.0
85.0,swap,74.62811828124048,28.0,3.0,74.62796987233199,7.0,0.0,0.0,1.0,0.0
86.0,add,74.7491016821456,28.0,3.0,74.62796987233199,7.0,0.0,0.0,1.0,1.0
87.0,delete,74.69530689122126,28.0,3.0,74.62796987233199,6.0,0.0,0.0,1.0,0.0
88.0,swap,74.64576252611666,28.0,3.0,74.62796987233199,6.0,0.0,0.0,2.0,0.0
89.0,swap,74.62027420950716,29.0,3.0,74.62027420950717,7.0,0.0,0.0,1.0,0.0
90.0,add,74.62027420950717,29.0,3.0,74.62027420950717,7.0,0.0,0.0,1.0,1.0
91.0,delete,74.46459110340069,29.0,3.0,74.62027420950717,6.0,0.0,0.0,1.0,0.0
92.0,swap,74.68974818016424,29.0,3.0,74.62027420950717,6.0,0.0,1.0,1.0,0.0
93.0,swap,74.61747534105311,30.0,2.0,74.71801764860223,6.0,0.0,1.0,1.0,0.0
94.0,swap,74.63764292702515,31.0,3.0,74.63562383948718,7.0,0.0,0.0,1.0,1.0
95.0,add,74.62274783694451,31.0,3.0,74.63562383948718,7.0,0.0,0.0,2.0,1.0
96.0,delete,74.57922355224049,31.0,3.0,74.63562383948718,7.0,0.0,0.0,0.0,1.0
97.0,swap,74.57922355224049,31.0,3.0,74.63562383948718,7.0,1.0,0.0,0.0,1.0
98.0,swap,74.60385523558452,32.0,3.0,74.61747534105311,6.0,0.0,1.0,1.0,0.0
99.0,add,74.61747534105311,32.0,3.0,74.61747534105311,6.0,0.0,1.0,1.0,1.0
100.0,delete,74.55589113760725,32.0,3.0,74.61747534105311,5.0,0.0,1.0,1.0,0.0
101.0,swap,74.66023220608058,32.0,3.0,74.61747534105311,5.0,0.0,2.0,1.0,0.0
102.0,add,74.55750000611022,33.0,3.0,74.58457862125829,7.0,0.0,1.0,0.0,1.0
103.0,add,74.58457862125829,33.0,3.0,74.58457862125829,7.0,0.0,1.0,0.0,2.0
104.0,delete,74.64078573700198,33.0,3.0,74.58457862125829,6.0,0.0,1.0,0.0,1.0
105.0,swap,74.50357522695826,33.0,3.0,74.58457862125829,6.0,0.0,1.0,0.0,2.0
106.0,delete,74.62234247519794,34.0,3.0,74.62234247519793,7.0,1.0,0.0,0.0,0.0
107.0,add,74.62234247519794,34.0,3.0,74.62234247519793,7.0,2.0,0.0,0.0,0.0
108.0,delete,74.62234247519794,34.0,3.0,74.62234247519793,7.0,0.0,0.0,0.0,0.0
109.0,swap,74.69520564932549,34.0,3.0,74.62234247519793,6.0,1.0,0.0,0.0,1.0
110.0,add,74.55323549960679,35.0,3.0,74.54802962846779,8.0,0.0,0.0,1.0,1.0
111.0,add,74.5420139411251,35.0,3.0,74.54802962846779,8.0,0.0,0.0,1.0,2.0
112.0,delete,74.6154787188822,35.0,3.0,74.54802962846779,7.0,0.0,0.0,1.0,1.0
113.0,swap,74.5348189829157,35.0,3.0,74.54802962846779,7.0,0.0,0.0,1.0,2.0
114.0,add,74.66782217547768,36.0,2.0,74.65872623542174,7.0,0.0,0.0,1.0,1.0
115.0,add,74.66782217547767,37.0,3.0,74.66782217547768,7.0,0.0,0.0,1.0,1.0
