budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.198463037155184,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.211367044395903,1.0,1.0,5.808421654950915,9.0,0.0,0.0,1.0,0.0
4.0,swap,6.20738709030545,2.0,2.0,6.211367044395903,9.0,0.0,0.0,1.0,0.0
5.0,add,6.211367044395903,2.0,2.0,6.211367044395903,9.0,1.0,0.0,1.0,0.0
6.0,delete,6.561666150645494,2.0,2.0,6.211367044395903,8.0,0.0,0.0,1.0,0.0
7.0,swap,6.558531981359429,2.0,2.0,6.211367044395903,8.0,1.0,0.0,1.0,0.0
8.0,add,6.198463037155184,3.0,2.0,6.198463037155184,9.0,0.0,0.0,0.0,1.0
9.0,delete,6.72005903857372,3.0,2.0,6.198463037155184,8.0,0.0,0.0,0.0,0.0
10.0,swap,6.564366409542426,3.0,2.0,6.198463037155184,8.0,0.0,0.0,1.0,0.0
11.0,delete,6.229370100288219,4.0,1.0,6.4203378806066285,9.0,0.0,0.0,0.0,0.0
12.0,add,6.72005903857372,5.0,3.0,6.72005903857372,8.0,0.0,0.0,0.0,1.0
13.0,delete,6.552392818819367,5.0,3.0,6.72005903857372,7.0,0.0,0.0,0.0,0.0
14.0,swap,7.018399075051151,5.0,3.0,6.72005903857372,7.0,0.0,0.0,0.0,1.0
15.0,delete,5.944910314388305,6.0,2.0,6.75272749275449,8.0,0.0,0.0,0.0,0.0
16.0,swap,6.567534707656816,7.0,3.0,6.564366409542426,8.0,0.0,0.0,1.0,0.0
17.0,add,6.560131882264808,7.0,3.0,6.564366409542426,8.0,0.0,0.0,1.0,1.0
18.0,delete,6.841135746519033,7.0,3.0,6.564366409542426,7.0,0.0,0.0,1.0,0.0
19.0,swap,6.809754194847473,7.0,3.0,6.564366409542426,7.0,0.0,0.0,2.0,0.0
20.0,delete,6.229370100288379,8.0,1.0,6.5326953385258,9.0,0.0,0.0,0.0,0.0
21.0,swap,6.5150049260559175,9.0,2.0,6.6685845881661105,8.0,1.0,0.0,0.0,0.0
22.0,delete,6.840940450181778,10.0,4.0,6.841135746519033,7.0,0.0,0.0,1.0,0.0
23.0,add,6.841135746519033,10.0,4.0,6.841135746519033,7.0,0.0,0.0,1.0,1.0
24.0,delete,7.026222322153971,10.0,4.0,6.841135746519033,6.0,0.0,0.0,1.0,0.0
25.0,swap,6.874493377868966,10.0,4.0,6.841135746519033,6.0,0.0,1.0,1.0,0.0
26.0,swap,6.809754194847472,11.0,4.0,6.809754194847473,7.0,0.0,0.0,2.0,0.0
27.0,add,6.767602937003329,11.0,4.0,6.809754194847473,7.0,0.0,1.0,2.0,0.0
28.0,delete,7.201168121127197,11.0,4.0,6.809754194847473,6.0,0.0,0.0,2.0,0.0
29.0,swap,6.809754194847475,11.0,4.0,6.809754194847473,7.0,0.0,0.0,1.0,1.0
30.0,swap,6.640602644880178,12.0,2.0,6.7877856579596925,8.0,0.0,1.0,0.0,0.0
31.0,swap,6.714428372948515,13.0,3.0,6.640602644880178,8.0,0.0,1.0,0.0,0.0
32.0,add,6.640602644880178,13.0,3.0,6.640602644880178,8.0,1.0,1.0,0.0,0.0
33.0,delete,6.993223753681805,13.0,3.0,6.640602644880178,7.0,0.0,1.0,0.0,0.0
34.0,swap,6.39783597585061,13.0,3.0,6.640602644880178,7.0,0.0,2.0,0.0,0.0
35.0,delete,6.377768260131945,14.0,3.0,6.884785528648555,7.0,0.0,0.0,1.0,0.0
36.0,swap,6.929539030039771,15.0,3.0,6.879606728534588,7.0,0.0,1.0,1.0,0.0
37.0,swap,6.983404596138357,16.0,4.0,6.929539030039771,7.0,0.0,1.0,1.0,0.0
38.0,add,6.929539030039771,16.0,4.0,6.929539030039771,7.0,0.0,1.0,1.0,1.0
39.0,delete,7.2028292198844985,16.0,4.0,6.929539030039771,6.0,0.0,1.0,1.0,0.0
40.0,swap,6.851402514648023,16.0,4.0,6.929539030039771,6.0,0.0,2.0,1.0,0.0
41.0,delete,7.204460813819589,17.0,5.0,7.2028292198844985,6.0,0.0,1.0,1.0,0.0
42.0,add,7.2028292198844985,17.0,5.0,7.2028292198844985,6.0,0.0,1.0,1.0,1.0
43.0,delete,7.255348796889153,17.0,5.0,7.2028292198844985,6.0,0.0,0.0,1.0,0.0
44.0,swap,6.803270508050107,17.0,5.0,7.2028292198844985,5.0,1.0,1.0,1.0,0.0
45.0,swap,6.84654890473626,18.0,3.0,6.982904098004765,7.0,0.0,0.0,1.0,1.0
46.0,delete,6.213703418118816,19.0,1.0,6.738823591236722,9.0,0.0,0.0,0.0,0.0
47.0,swap,6.85152490620898,20.0,4.0,6.84654890473626,7.0,0.0,0.0,1.0,1.0
48.0,add,6.84654890473626,20.0,4.0,6.84654890473626,7.0,0.0,0.0,1.0,2.0
49.0,delete,7.057469897848922,20.0,4.0,6.84654890473626,6.0,0.0,0.0,1.0,1.0
50.0,swap,6.84654890473626,20.0,4.0,6.84654890473626,7.0,0.0,0.0,1.0,1.0
51.0,swap,6.9319933269484855,21.0,5.0,6.983404596138357,7.0,0.0,1.0,1.0,0.0
52.0,add,6.990830967534537,21.0,5.0,6.983404596138357,7.0,0.0,1.0,2.0,0.0
53.0,delete,6.874858217466867,21.0,5.0,6.983404596138357,7.0,0.0,1.0,0.0,0.0
54.0,swap,6.869341245202978,21.0,5.0,6.983404596138357,6.0,0.0,1.0,1.0,1.0
55.0,delete,7.116653481171652,22.0,4.0,7.133747711705569,6.0,0.0,1.0,1.0,0.0
56.0,swap,6.7141117801726775,23.0,2.0,6.856112906404974,8.0,0.0,0.0,1.0,0.0
57.0,swap,6.715644056193736,24.0,3.0,6.7141117801726775,8.0,0.0,0.0,1.0,0.0
