budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.11195942020369691,1.0,1.0,0.873597849947558,3.0,0.0,1.0,0.0,0.0
4.0,add,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
5.0,delete,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
6.0,swap,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
7.0,add,0.8696825154081719,3.0,1.0,0.8710251813381729,4.0,0.0,0.0,1.0,0.0
8.0,add,0.8696825154081719,4.0,2.0,0.8696825154081719,4.0,0.0,0.0,1.0,0.0
9.0,add,0.8696825154081719,4.0,2.0,0.8696825154081719,4.0,0.0,0.0,1.0,1.0
10.0,delete,0.3040764312848323,4.0,2.0,0.8696825154081719,3.0,0.0,0.0,1.0,0.0
11.0,swap,0.26659909213401584,4.0,2.0,0.8696825154081719,3.0,1.0,0.0,1.0,0.0
12.0,add,0.8696825154081719,5.0,3.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
13.0,delete,0.3040764312848323,5.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
14.0,swap,0.2677858814627575,5.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
15.0,add,0.873597849947558,6.0,1.0,0.6754473852626516,4.0,0.0,0.0,0.0,1.0
16.0,add,0.8684525127287878,7.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
17.0,delete,0.2677858814627575,7.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
18.0,swap,0.3040764312848323,7.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,2.0
19.0,add,0.8684525127287878,8.0,3.0,0.8684525127287878,4.0,0.0,0.0,1.0,1.0
20.0,add,0.866164230387068,8.0,3.0,0.8684525127287878,4.0,0.0,0.0,1.0,2.0
21.0,delete,0.2662086698628963,8.0,3.0,0.8684525127287878,3.0,0.0,0.0,1.0,1.0
22.0,swap,0.8532479788325797,8.0,3.0,0.8684525127287878,4.0,0.0,0.0,2.0,0.0
23.0,swap,0.8684525127287878,9.0,3.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
24.0,add,0.8202011601781602,9.0,3.0,0.8684525127287878,4.0,0.0,1.0,1.0,0.0
