budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.04207897977473338,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,-0.07374899403841786,1.0,1.0,0.04207897977473338,4.0,0.0,1.0,0.0,0.0
2.0,delete,0.28482178217269094,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,0.0,0.0
3.0,swap,-0.1356338958698004,1.0,1.0,0.04207897977473338,3.0,0.0,0.0,1.0,0.0
4.0,add,0.2848217821726909,2.0,2.0,0.28482178217269094,3.0,0.0,0.0,1.0,0.0
5.0,delete,-0.060574287960367845,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,0.0
6.0,swap,-0.015824144146880895,2.0,2.0,0.28482178217269094,2.0,0.0,0.0,0.0,1.0
7.0,delete,-0.13563389586980037,3.0,1.0,0.12331128305953327,3.0,0.0,0.0,0.0,0.0
8.0,add,0.28482178217269094,4.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
9.0,add,0.2848217821726909,4.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,1.0
10.0,delete,0.35128817716602123,4.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
11.0,swap,0.2848217821726909,4.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
12.0,add,0.2848217821726909,5.0,2.0,0.29811506117135694,3.0,0.0,0.0,1.0,0.0
13.0,delete,0.3512881771660213,6.0,4.0,0.35128817716602123,2.0,0.0,0.0,1.0,0.0
14.0,add,0.35128817716602123,6.0,4.0,0.35128817716602123,2.0,0.0,0.0,2.0,0.0
15.0,delete,-0.11704094364207557,6.0,4.0,0.35128817716602123,1.0,0.0,0.0,1.0,0.0
16.0,swap,-0.7344880036636461,6.0,4.0,0.35128817716602123,1.0,0.0,1.0,1.0,0.0
17.0,delete,0.2848217821726909,7.0,1.0,0.12137385351795989,3.0,0.0,0.0,0.0,0.0
18.0,add,0.2848217821726909,8.0,2.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
19.0,delete,-0.015824144146880936,8.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,0.0
20.0,swap,0.3512881771660213,8.0,2.0,0.2848217821726909,2.0,0.0,0.0,0.0,1.0
21.0,add,0.16188873149765293,9.0,3.0,0.3512881771660213,2.0,0.0,0.0,0.0,2.0
22.0,delete,0.3512881771660213,9.0,3.0,0.3512881771660213,2.0,0.0,0.0,0.0,0.0
23.0,swap,-0.11704094364207557,9.0,3.0,0.3512881771660213,1.0,0.0,0.0,1.0,1.0
24.0,add,0.2848217821726908,10.0,3.0,0.2848217821726909,3.0,0.0,0.0,1.0,0.0
25.0,add,0.3117025186585002,10.0,3.0,0.2848217821726909,3.0,0.0,1.0,1.0,0.0
26.0,delete,-0.06057428796036793,10.0,3.0,0.2848217821726909,2.0,0.0,0.0,1.0,0.0
27.0,swap,-0.060574287960367845,10.0,3.0,0.2848217821726909,2.0,1.0,0.0,1.0,0.0
28.0,swap,0.35128817716602123,11.0,2.0,0.18685603554690494,2.0,0.0,0.0,1.0,0.0
29.0,swap,0.35128817716602123,12.0,3.0,0.35128817716602123,2.0,0.0,0.0,1.0,0.0
