budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.5559015470189,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add,74.55590154701893,1.0,1.0,74.5559015470189,8.0,1.0,0.0,0.0,0.0
2.0,delete,74.62234247519794,1.0,1.0,74.5559015470189,7.0,0.0,0.0,0.0,0.0
3.0,swap,74.49266963405485,1.0,1.0,74.5559015470189,7.0,0.0,1.0,0.0,0.0
4.0,add,74.62234247519794,2.0,2.0,74.62234247519794,7.0,1.0,0.0,0.0,0.0
5.0,delete,74.44448781867587,2.0,2.0,74.62234247519794,6.0,0.0,0.0,0.0,0.0
6.0,swap,74.67205216615551,2.0,2.0,74.62234247519794,6.0,0.0,0.0,0.0,1.0
7.0,delete,74.57922355224049,3.0,1.0,74.59030623380681,7.0,0.0,0.0,0.0,0.0
8.0,add,74.63582021396923,4.0,3.0,74.67205216615551,6.0,0.0,1.0,0.0,1.0
9.0,delete,74.62177165462958,4.0,3.0,74.67205216615551,5.0,0.0,0.0,0.0,1.0
10.0,swap,74.63048030301617,4.0,3.0,74.67205216615551,5.0,1.0,0.0,0.0,1.0
11.0,swap,74.49168800593671,5.0,2.0,74.64003108444263,6.0,0.0,0.0,1.0,0.0
12.0,add,74.62234247519794,6.0,3.0,74.62234247519794,7.0,1.0,0.0,0.0,0.0
13.0,add,74.62178093770498,6.0,3.0,74.62234247519794,7.0,1.0,0.0,1.0,0.0
14.0,delete,74.44448781867585,6.0,3.0,74.62234247519794,6.0,1.0,0.0,0.0,0.0
15.0,swap,74.73402852915346,6.0,3.0,74.62234247519794,6.0,1.0,1.0,0.0,0.0
16.0,delete,74.53988496986284,7.0,1.0,74.59560372505781,7.0,0.0,0.0,0.0,0.0
17.0,add,74.6406991200227,8.0,4.0,74.63582021396923,6.0,0.0,1.0,0.0,1.0
18.0,add,74.63582021396923,8.0,4.0,74.63582021396923,6.0,0.0,1.0,0.0,2.0
19.0,delete,74.70691440188533,8.0,4.0,74.63582021396923,5.0,0.0,1.0,0.0,1.0
20.0,swap,74.71880142213448,8.0,4.0,74.63582021396923,6.0,1.0,1.0,0.0,0.0
21.0,add,74.6616118504915,9.0,3.0,74.6676110743962,6.0,0.0,1.0,0.0,1.0
22.0,swap,74.7188891422117,10.0,5.0,74.71880142213448,6.0,1.0,1.0,0.0,0.0
23.0,add,74.71880142213448,10.0,5.0,74.71880142213448,6.0,1.0,1.0,0.0,1.0
24.0,delete,74.49719311164324,10.0,5.0,74.71880142213448,5.0,1.0,1.0,0.0,0.0
25.0,swap,74.72106719139188,10.0,5.0,74.71880142213448,5.0,1.0,2.0,0.0,0.0
26.0,swap,74.63114092273655,11.0,2.0,74.64797215854226,6.0,0.0,0.0,0.0,1.0
27.0,delete,74.68765353556095,12.0,5.0,74.70691440188533,5.0,0.0,1.0,0.0,1.0
28.0,add,74.70691440188533,12.0,5.0,74.70691440188533,5.0,1.0,1.0,0.0,1.0
29.0,delete,74.67096148233996,12.0,5.0,74.70691440188533,4.0,0.0,1.0,0.0,1.0
30.0,swap,74.6295508877715,12.0,5.0,74.70691440188533,5.0,0.0,0.0,1.0,1.0
31.0,add,74.67205216615551,13.0,3.0,74.66790702838652,6.0,0.0,0.0,0.0,2.0
32.0,add,74.60207964199877,14.0,4.0,74.67205216615551,6.0,0.0,1.0,0.0,2.0
33.0,delete,74.62177165462957,14.0,4.0,74.67205216615551,5.0,0.0,0.0,0.0,2.0
