budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,5.808421654950915,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1.0,add,5.808421654950915,1.0,1.0,5.808421654950915,10.0,0.0,0.0,0.0,1.0
2.0,delete,6.2293701002883815,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,0.0
3.0,swap,6.384026489467956,1.0,1.0,5.808421654950915,9.0,0.0,0.0,0.0,1.0
4.0,add,6.384026489467956,2.0,2.0,6.384026489467956,9.0,0.0,0.0,0.0,2.0
5.0,delete,6.742667735615493,2.0,2.0,6.384026489467956,8.0,0.0,0.0,0.0,1.0
6.0,swap,6.179809740357862,2.0,2.0,6.384026489467956,8.0,0.0,0.0,0.0,2.0
7.0,swap,5.501962747600274,3.0,1.0,6.422632613727316,9.0,0.0,0.0,0.0,1.0
8.0,add,6.742611700676362,4.0,3.0,6.742667735615493,8.0,0.0,0.0,1.0,1.0
9.0,delete,7.026464368123197,4.0,3.0,6.742667735615493,7.0,0.0,0.0,0.0,1.0
10.0,swap,6.600527309843292,4.0,3.0,6.742667735615493,7.0,0.0,0.0,1.0,1.0
11.0,delete,6.7137550535568975,5.0,2.0,6.778067778564585,8.0,0.0,0.0,0.0,1.0
12.0,add,6.15219017096558,6.0,4.0,7.026464368123197,7.0,0.0,1.0,0.0,1.0
13.0,delete,7.236355873709786,6.0,4.0,7.026464368123197,6.0,0.0,0.0,0.0,1.0
14.0,swap,7.257528646095501,6.0,4.0,7.026464368123197,6.0,0.0,1.0,0.0,1.0
15.0,swap,6.226313433556771,7.0,1.0,6.576827193790012,9.0,0.0,0.0,1.0,0.0
16.0,delete,7.0227782072898535,8.0,3.0,6.918134764723516,7.0,0.0,0.0,0.0,1.0
17.0,add,7.0224719903819075,9.0,4.0,7.0227782072898535,7.0,0.0,1.0,0.0,1.0
18.0,delete,6.9485101140221355,9.0,4.0,7.0227782072898535,6.0,0.0,0.0,0.0,1.0
19.0,swap,6.833245938125401,9.0,4.0,7.0227782072898535,6.0,0.0,1.0,0.0,1.0
20.0,delete,6.73766673041529,10.0,2.0,6.858258925700451,8.0,0.0,0.0,0.0,1.0
21.0,add,7.014381775195642,11.0,5.0,7.0224719903819075,7.0,0.0,1.0,0.0,1.0
22.0,add,6.5535566236036304,11.0,5.0,7.0224719903819075,7.0,1.0,1.0,0.0,1.0
23.0,delete,7.240368044463918,11.0,5.0,7.0224719903819075,6.0,0.0,1.0,0.0,1.0
24.0,swap,6.922306551287396,11.0,5.0,7.0224719903819075,6.0,1.0,1.0,0.0,1.0
25.0,delete,7.021854596966572,12.0,3.0,6.935846525271995,7.0,0.0,0.0,0.0,1.0
26.0,add,7.021854596966572,13.0,4.0,7.021854596966572,7.0,0.0,0.0,1.0,1.0
27.0,delete,7.236355873709786,13.0,4.0,7.021854596966572,6.0,0.0,0.0,0.0,1.0
28.0,swap,7.218096739571844,13.0,4.0,7.021854596966572,6.0,1.0,0.0,0.0,1.0
29.0,add,6.9632215507323165,14.0,5.0,7.236355873709786,6.0,0.0,0.0,0.0,2.0
30.0,delete,7.497546631020149,14.0,5.0,7.236355873709786,5.0,0.0,0.0,0.0,1.0
31.0,swap,7.497546631020148,14.0,5.0,7.236355873709786,5.0,0.0,0.0,1.0,1.0
32.0,delete,6.964431425527026,15.0,4.0,7.298667671620599,6.0,0.0,0.0,0.0,1.0
33.0,add,7.497546631020149,16.0,6.0,7.497546631020149,5.0,0.0,0.0,0.0,2.0
34.0,delete,7.575678333611185,16.0,6.0,7.497546631020149,4.0,0.0,0.0,0.0,1.0
35.0,swap,7.497546631020149,16.0,6.0,7.497546631020149,5.0,0.0,0.0,1.0,0.0
36.0,delete,7.2149939650257915,17.0,5.0,7.517079556667908,5.0,0.0,0.0,0.0,1.0
37.0,swap,7.49754663102015,18.0,6.0,7.497546631020148,5.0,0.0,0.0,1.0,1.0
38.0,add,7.497546631020148,18.0,6.0,7.497546631020148,5.0,0.0,0.0,1.0,2.0
39.0,delete,7.590536399155113,18.0,6.0,7.497546631020148,4.0,0.0,0.0,1.0,1.0
40.0,swap,7.497546631020149,18.0,6.0,7.497546631020148,5.0,0.0,0.0,0.0,2.0
41.0,delete,7.345352553466823,19.0,4.0,7.386772612684788,6.0,0.0,0.0,0.0,1.0
42.0,swap,6.2294240133496,20.0,1.0,6.976377645787082,9.0,0.0,0.0,1.0,0.0
43.0,swap,7.35876557708905,21.0,5.0,7.516144584647141,5.0,0.0,0.0,0.0,2.0
44.0,delete,7.5905363991551145,22.0,7.0,7.590536399155113,4.0,0.0,0.0,1.0,1.0
45.0,add,7.590536399155113,22.0,7.0,7.590536399155113,4.0,0.0,0.0,1.0,2.0
46.0,delete,7.705950063691906,22.0,7.0,7.590536399155113,3.0,0.0,0.0,1.0,1.0
47.0,swap,7.5206927907154775,22.0,7.0,7.590536399155113,3.0,1.0,0.0,1.0,1.0
48.0,delete,6.717409204953971,23.0,2.0,7.158181295257746,8.0,0.0,0.0,0.0,1.0
49.0,delete,7.497546631020148,24.0,6.0,7.599650410374544,5.0,0.0,0.0,1.0,0.0
50.0,swap,7.376443648067509,25.0,5.0,7.531340980369318,5.0,0.0,0.0,1.0,1.0
51.0,delete,7.705950063691906,26.0,8.0,7.705950063691906,3.0,0.0,0.0,1.0,1.0
52.0,add,7.535586808248961,26.0,8.0,7.705950063691906,3.0,0.0,0.0,1.0,2.0
53.0,delete,7.6361064552522695,26.0,8.0,7.705950063691906,2.0,0.0,0.0,1.0,1.0
54.0,swap,7.795050278006042,26.0,8.0,7.705950063691906,2.0,0.0,0.0,2.0,1.0
55.0,delete,6.621785639771632,27.0,3.0,7.279463146730791,7.0,0.0,0.0,0.0,1.0
56.0,delete,7.736540434250638,28.0,7.0,7.675728733778217,3.0,0.0,0.0,1.0,1.0
57.0,delete,7.497546631020149,29.0,6.0,7.6277302474857,5.0,0.0,0.0,0.0,1.0
