budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.9346645654712499,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.9288459652466221,1.0,1.0,0.9346645654712499,4.0,0.0,0.0,1.0,0.0
2.0,delete,0.2677858814627586,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2677858814627587,1.0,1.0,0.9346645654712499,3.0,0.0,0.0,1.0,0.0
4.0,add,0.9288459652466221,2.0,2.0,0.9288459652466221,4.0,0.0,0.0,1.0,0.0
5.0,add,0.10836408783462916,2.0,2.0,0.9288459652466221,4.0,0.0,1.0,1.0,0.0
6.0,delete,0.9346645654712499,2.0,2.0,0.9288459652466221,4.0,0.0,0.0,0.0,0.0
7.0,swap,0.4123534442381374,2.0,2.0,0.9288459652466221,3.0,1.0,0.0,1.0,0.0
8.0,add,0.9346645654712504,3.0,1.0,0.6626148056074521,4.0,1.0,0.0,0.0,0.0
9.0,add,0.9346645654712509,4.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,0.0
10.0,add,0.9346645654712504,4.0,2.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
11.0,delete,0.9346645654712499,4.0,2.0,0.9346645654712504,4.0,0.0,0.0,0.0,0.0
12.0,swap,0.2677858814627587,4.0,2.0,0.9346645654712504,3.0,2.0,0.0,0.0,0.0
13.0,add,0.9346645654712509,5.0,3.0,0.9346645654712509,4.0,1.0,0.0,0.0,0.0
14.0,add,0.9288459652466206,5.0,3.0,0.9346645654712509,4.0,1.0,0.0,1.0,0.0
15.0,delete,0.9346645654712499,5.0,3.0,0.9346645654712509,4.0,0.0,0.0,0.0,0.0
16.0,swap,0.2677858814627587,5.0,3.0,0.9346645654712509,3.0,2.0,0.0,0.0,0.0
17.0,add,0.9346645654712499,6.0,1.0,0.7418199392169216,4.0,1.0,0.0,0.0,0.0
18.0,add,0.9346645654712504,7.0,2.0,0.9346645654712499,4.0,1.0,0.0,0.0,0.0
19.0,add,0.9288459652466211,7.0,2.0,0.9346645654712499,4.0,1.0,0.0,1.0,0.0
20.0,delete,0.2677858814627586,7.0,2.0,0.9346645654712499,3.0,1.0,0.0,0.0,0.0
21.0,swap,0.26620866986289676,7.0,2.0,0.9346645654712499,3.0,1.0,0.0,1.0,0.0
22.0,add,0.934664565471252,8.0,3.0,0.9346645654712504,4.0,1.0,0.0,0.0,1.0
23.0,add,0.7222814494945784,8.0,3.0,0.9346645654712504,4.0,1.0,1.0,0.0,1.0
